,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2013-03-31,819864000.0,516569000.0,303295000.0,141363000.0,88902000.0,9.53,141363000.0,141363000.0,9636000.0,899075000.0,1285565000.0,2184640000.0,10933350000.0,13117990000.0,6514785000.0,1732250000.0,2446785000.0,8961570000.0,4156421000.0,0.0,55554000.0,-14442000.0,-340986000.0,0.0,231189000.0,503.5,0
2013-06-30,1031769000.0,805501000.0,226268100.0,74217000.0,27756000.0,2.23,74217000.0,74217000.0,12464000.0,2099038000.0,3434759000.0,5533797000.0,17966180000.0,23499980000.0,14223970000.0,2249819000.0,2950164000.0,17174130000.0,6325849000.0,0.0,184417000.0,-11976000.0,739684000.0,0.0,-22210000.0,526.95,0
2013-09-30,1191665000.0,885498000.0,306167000.0,122752900.0,65599000.0,4.69,122752900.0,122752900.0,14001000.0,2715493000.0,3269083000.0,5984576000.0,17824000000.0,23808580000.0,14348690000.0,2250479000.0,2997547000.0,17346240000.0,6462340000.0,0.0,302486000.0,-10259000.0,114779000.0,0.0,-19440000.0,517.77,0
2013-12-31,1279785000.0,921017000.0,358767900.0,137414100.0,98764000.0,6.98,137414100.0,137414100.0,12538000.0,2765452000.0,3098189000.0,5863641000.0,18091870000.0,23955510000.0,14171240000.0,2256227000.0,3106260000.0,17277500000.0,6678010000.0,190066000.0,203064000.0,-11048000.0,-326090000.0,0.0,-14172000.0,580.35,0
2014-03-31,1239655000.0,897808000.0,341847000.0,145680100.0,87716000.0,6.28,145680100.0,145680100.0,13995000.0,2785449000.0,3351788000.0,6137237000.0,18315760000.0,24452990000.0,14572440000.0,2255824000.0,2972364000.0,17544810000.0,6908186000.0,0.0,22417000.0,-10725000.0,180448000.0,0.0,-30942000.0,596.1,0
2014-06-30,1258971000.0,976393000.0,282577900.0,84148000.0,40068000.0,2.67,84148000.0,84148000.0,13984000.0,2526758000.0,3505240000.0,6031998000.0,19134270000.0,25166270000.0,14955800000.0,2258522000.0,3058817000.0,18014620000.0,7151654000.0,0.0,214648000.0,-7229000.0,-423965000.0,0.0,-7855000.0,655.64,0
2014-09-30,1299286000.0,921459000.0,377827000.0,133129000.0,75803000.0,5.42,133129000.0,133129000.0,13981000.0,2348882000.0,3289613000.0,5638495000.0,19437940000.0,25076440000.0,14683910000.0,2273795000.0,3209154000.0,17893070000.0,7183369000.0,0.0,299563000.0,-34396000.0,-437823000.0,0.0,-7942000.0,636.15,0
2014-12-31,1335755000.0,867688900.0,468066000.0,194862700.0,117595000.0,8.1,194862700.0,194862800.0,13984000.0,2482394000.0,3106092000.0,5588486000.0,19611880000.0,25200360000.0,14231780000.0,2253594000.0,3366573000.0,17598350000.0,7602002000.0,203580000.0,180164000.0,-29782000.0,59135000.0,0.0,-20385000.0,682.84,0
2015-03-31,1302154000.0,787680000.0,514474100.0,268833000.0,190992000.0,13.57,268833000.0,268833000.0,13972000.0,2508697000.0,3257195000.0,5765892000.0,19487500000.0,25253390000.0,14071790000.0,2249554000.0,3304204000.0,17375990000.0,7877398000.0,0.0,22832000.0,-23606000.0,30662000.0,0.0,-33448000.0,768.96,0
2015-06-30,1304605000.0,915845900.0,388759000.0,129574100.0,91369000.0,6.76,129574100.0,129574100.0,13975000.0,2375115000.0,3436533000.0,5811648000.0,19554490000.0,25366140000.0,14373130000.0,2246875000.0,3243135000.0,17616260000.0,7749876000.0,0.0,215203000.0,-15336000.0,-318985000.0,0.0,-14845000.0,800.68,0
2015-09-30,1342764000.0,850356000.0,492408100.0,182745100.0,102519000.0,7.43,182745100.0,182745100.0,13983000.0,2632995000.0,3308574000.0,5941569000.0,19240000000.0,25181570000.0,14244090000.0,2240517000.0,3233974000.0,17478060000.0,7703507000.0,0.0,312350000.0,-23113000.0,120155000.0,0.0,-8388000.0,801.86,0
2015-12-31,1420460000.0,839943100.0,580516700.0,279253400.0,197892000.0,14.23,279253400.0,279253500.0,13978000.0,3070141000.0,3180491000.0,6250632000.0,18688480000.0,24939120000.0,13766250000.0,2239271000.0,3332252000.0,17098510000.0,7840609000.0,200987000.0,100766000.0,-17700000.0,231617000.0,0.0,-17530000.0,883.35,0
2016-03-31,1376182000.0,838652000.0,537530000.0,245177000.0,160370000.0,11.21,245177000.0,245177000.0,13994000.0,2738632000.0,3530178000.0,6268810000.0,19416420000.0,25685230000.0,14123620000.0,2299756000.0,3315043000.0,17438670000.0,8246563000.0,0.0,-104569000.0,-14900000.0,-236849000.0,0.0,-8802000.0,891.57,0
2016-06-30,1375937000.0,887136000.0,488801000.0,193688000.0,78797000.0,5.44,193688000.0,193688000.0,14012000.0,2361838000.0,3523719000.0,5885557000.0,20450070000.0,26335630000.0,14142710000.0,2602432000.0,3747341000.0,17890050000.0,8445573000.0,0.0,174783000.0,-19734000.0,-773490000.0,0.0,238712000.0,952.78,0
2016-09-30,1431282000.0,951926000.0,479356000.0,152632900.0,83796000.0,5.62,152632900.0,152632900.0,14033000.0,2540369000.0,3416867000.0,5957236000.0,20446410000.0,26403640000.0,14145030000.0,2589350000.0,3724338000.0,17869370000.0,8534275000.0,0.0,254143000.0,-14931000.0,-45299000.0,0.0,-26917000.0,928.77,0
2016-12-31,1428625000.0,870154900.0,558470200.0,213671100.0,132726000.0,9.14,213671100.0,213671000.0,14013000.0,2085164000.0,3354834000.0,5439998000.0,20435300000.0,25875300000.0,13660480000.0,2574529000.0,3747407000.0,17407890000.0,8467411000.0,212870000.0,210266000.0,-14109000.0,-582843000.0,0.0,-50974000.0,904.5,0
2017-03-31,1411751000.0,984997000.0,426754000.0,127351000.0,69869000.0,3.91,127351000.0,127351000.0,13998000.0,2114691000.0,3439359000.0,5554050000.0,20846630000.0,26400680000.0,13996970000.0,2581605000.0,3752457000.0,17749430000.0,8651250000.0,0.0,11946000.0,-15864000.0,37657000.0,0.0,-26542000.0,975.86,0
2017-06-30,1481493000.0,924248000.0,557245000.0,240463000.0,149660000.0,10.34,240463000.0,240463000.0,13977000.0,2586243000.0,3650224000.0,6236467000.0,20966870000.0,27203340000.0,14346390000.0,2485671000.0,3904434000.0,18250820000.0,8952516000.0,0.0,225999000.0,-19714000.0,399119000.0,0.0,-172077000.0,975.86,0
2017-09-30,1506148000.0,1472404000.0,33743900.0,-329906100.0,-259141000.0,-18.82,-329906100.0,-329906100.0,13947000.0,2355665000.0,4127677000.0,6483342000.0,22036070000.0,28519410000.0,15532380000.0,2471419000.0,4080188000.0,19612570000.0,8906844000.0,0.0,360758000.0,-14521000.0,-531001000.0,0.0,-100696000.0,1067.98,0
2017-12-31,1662267000.0,1073576000.0,588691200.0,178698600.0,434881000.0,30.48,178698600.0,178698600.0,13964000.0,2500846000.0,6312843000.0,8813689000.0,23991320000.0,32805020000.0,18289480000.0,3099230000.0,5013959000.0,23303440000.0,9501581000.0,203871000.0,259826000.0,-24553000.0,-650232000.0,0.0,555630000.0,1139.13,0
2018-03-31,1575471000.0,1039508000.0,535962900.0,105009900.0,-64306000.0,-4.25,105009900.0,105009900.0,13932000.0,2441652000.0,6508543000.0,8950195000.0,23916280000.0,32866470000.0,18692130000.0,3048096000.0,4853188000.0,23545320000.0,9321150000.0,0.0,57672000.0,-23262000.0,-68244000.0,0.0,-74696000.0,1170.25,0
2018-06-30,1987013000.0,1050748000.0,936264900.0,311280900.0,278231000.0,20.01,311280900.0,311280900.0,13925000.0,2244396000.0,6774659000.0,9019055000.0,24227980000.0,33247030000.0,18779870000.0,3024306000.0,4989752000.0,23769620000.0,9477414000.0,0.0,249862000.0,-28835000.0,-377395000.0,0.0,-36767000.0,1084.35,0
2018-09-30,2235949000.0,1178807000.0,1057142000.0,555605000.0,409438000.0,28.56,555605000.0,555605000.0,13917000.0,2626942000.0,6791271000.0,9418214000.0,24540090000.0,33958300000.0,19186570000.0,2993243000.0,4991585000.0,24178150000.0,9780154000.0,0.0,455642000.0,-25261000.0,-7576000.0,0.0,-60306000.0,1188.49,0
2018-12-31,1042852000.0,1329163000.0,-286311200.0,-932136600.0,-751543000.0,-53.88,-932136600.0,-932136500.0,13923000.0,2396432000.0,6914473000.0,9310904000.0,23995360000.0,33306260000.0,19226290000.0,3009577000.0,4979675000.0,24205960000.0,9100302000.0,427044000.0,129681000.0,-29235000.0,-344024000.0,0.0,-7216000.0,1038.05,0
2019-03-31,2472488000.0,1142958000.0,1329530000.0,794830100.0,576427000.0,42.81,794830100.0,794830100.0,13895000.0,2764405000.0,7251472000.0,10015880000.0,24720850000.0,34736730000.0,19605080000.0,3058968000.0,5313301000.0,24918380000.0,9818346000.0,0.0,18723000.0,-10801000.0,342120000.0,0.0,-69000.0,996.24,0
2019-06-30,2439116000.0,1140436000.0,1298680000.0,666445800.0,497298000.0,36.1,666445800.0,666445800.0,13866000.0,2641466000.0,7564716000.0,10206180000.0,26215400000.0,36421590000.0,19970120000.0,3625744000.0,6038384000.0,26008500000.0,10413080000.0,0.0,230435000.0,-24650000.0,-863766000.0,0.0,520225000.0,1089.6,0
2019-09-30,2033058000.0,1227353000.0,805705000.0,262248000.0,205637000.0,13.97,262248000.0,262248000.0,13849000.0,3199769000.0,7302550000.0,10502320000.0,26533880000.0,37036200000.0,20091580000.0,3896962000.0,6309743000.0,26401330000.0,10634870000.0,0.0,462800000.0,-44057000.0,-135512000.0,0.0,250488000.0,1181.9,0
2019-12-31,2581530000.0,1258536000.0,1322994000.0,753822000.0,511104000.0,36.34,753822000.0,753821800.0,13861000.0,3500353000.0,7280514000.0,10780870000.0,26692950000.0,37473820000.0,20178850000.0,3534183000.0,6216547000.0,26395400000.0,11078420000.0,269239000.0,562162000.0,-43868000.0,121999000.0,0.0,-411327000.0,1143.17,0
2020-03-31,335666000.0,1571511000.0,-1235845000.0,-1805330000.0,-1405763000.0,-100.6,-1805330000.0,-1805330000.0,13815000.0,4458324000.0,7528521000.0,11986850000.0,24061940000.0,36048790000.0,20484920000.0,3593954000.0,5831539000.0,26316460000.0,9732330000.0,0.0,65678000.0,-29907000.0,906619000.0,0.0,20907000.0,927.89,0
2020-06-30,3132015000.0,1202578000.0,1929437000.0,1242260000.0,921768000.0,65.81,1242260000.0,1242260000.0,13808000.0,5627372000.0,7835138000.0,13462510000.0,25605120000.0,39067630000.0,21106690000.0,3606109000.0,6550693000.0,27657380000.0,11410250000.0,0.0,423063000.0,-20761000.0,147037000.0,0.0,586623000.0,923.17,0
2020-09-30,2911735000.0,1356071000.0,1555664000.0,692391800.0,452726000.0,31.07,692391800.0,692391800.0,13809000.0,5262553000.0,7669918000.0,12932470000.0,27237550000.0,40170020000.0,21684120000.0,3498311000.0,6578138000.0,28262260000.0,11907760000.0,0.0,772847000.0,-22103000.0,-1031165000.0,0.0,-131909000.0,973.7,0
2020-12-31,3355650000.0,1354428000.0,2001222000.0,1144563000.0,828898900.0,59.44,1144563000.0,1144563000.0,13811000.0,5216649000.0,7919548000.0,13136200000.0,28573860000.0,41710050000.0,22219080000.0,3484023000.0,6676296000.0,28895370000.0,12814680000.0,307069000.0,475999000.0,-28530000.0,-534239000.0,0.0,-41065000.0,1033.3,0
2021-03-31,2900194000.0,1406661000.0,1493533000.0,745357200.0,573694000.0,42.09,745357200.0,745357200.0,13819000.0,4497904000.0,8443318000.0,12941220000.0,30101800000.0,43043030000.0,22977330000.0,3564949000.0,6880531000.0,29857860000.0,13185160000.0,0.0,318124000.0,-30650000.0,-1077587000.0,0.0,53707000.0,1139.62,0
2021-06-30,3500772000.0,1363319000.0,2137453000.0,1079271000.0,774110000.0,57.12,1079271000.0,1079271000.0,13793000.0,4351818000.0,9111487000.0,13463300000.0,32178210000.0,45641510000.0,23908780000.0,4160175000.0,7734680000.0,31643460000.0,13998050000.0,0.0,495048000.0,-25088000.0,-1159752000.0,0.0,510574000.0,1186.71,0
2021-09-30,2687354000.0,1517997000.0,1169357000.0,241688000.0,188070000.0,15.12,241688000.0,241688000.0,13758000.0,4507011000.0,9265623000.0,13772630000.0,32923800000.0,46696440000.0,24628450000.0,4268290000.0,8027757000.0,32656220000.0,14040220000.0,0.0,809270000.0,-25020000.0,-495152000.0,0.0,-124897000.0,1195.13,0
2021-12-31,3758104000.0,1586967000.0,2171137000.0,1177184000.0,853128900.0,62.65,1177184000.0,1177185000.0,13768000.0,4880947000.0,9707493000.0,14588440000.0,33888660000.0,48477100000.0,25082160000.0,4361266000.0,8654729000.0,33736890000.0,14740210000.0,336393000.0,651625000.0,-64491000.0,-205311000.0,0.0,-69617000.0,1234.0,0
2022-03-31,2606236000.0,1562737000.0,1043499000.0,-42144800.0,-52843000.0,-6.58,-42144800.0,-42144800.0,13652000.0,5207583000.0,9878164000.0,15085750000.0,33899510000.0,48985260000.0,26225020000.0,4428692000.0,8653508000.0,34878530000.0,14106730000.0,0.0,414873000.0,-51696000.0,-49976000.0,0.0,-18850000.0,1475.24,0
2022-06-30,1792207000.0,1668279000.0,123928000.0,-1179171000.0,-934359000.0,-69.19,-1179171000.0,-1179171000.0,13612000.0,4911317000.0,10444360000.0,15355680000.0,32591090000.0,47946770000.0,26880330000.0,4502237000.0,8299111000.0,35179440000.0,12767330000.0,0.0,506116000.0,-58848000.0,-353385000.0,0.0,-367859000.0,1293.25,0
2022-09-30,3066145000.0,1828585000.0,1237560000.0,72743200.0,65369000.0,3.51,72743200.0,72743200.0,13564000.0,4795868000.0,11215190000.0,16011050000.0,32410300000.0,48421360000.0,28128130000.0,4131165000.0,7934499000.0,36062640000.0,12358720000.0,0.0,959283000.0,-98738000.0,-879964000.0,0.0,-104345000.0,1084.22,0
