,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2014-03-31,2396000000.0,712000000.0,1684000000.0,850000000.0,292000000.0,159000000.0,0.33,479767500.0,5893000000.0,106007000000.0,42445000000.0,148452000000.0,0.0,63386000000.0,68295000000.0,70607000000.0,133993000000.0,14459000000.0,738000000.0,932000000.0,2147000000.0,0.0,-2716000000.0,27.9
2014-06-30,2468000000.0,728000000.0,1740000000.0,884000000.0,347000000.0,258000000.0,0.54,481350000.0,5777000000.0,107043000000.0,42894000000.0,149937000000.0,0.0,64797000000.0,67913000000.0,70262000000.0,135059000000.0,14878000000.0,677000000.0,581000000.0,-2057000000.0,0.0,1359000000.0,23.91
2014-09-30,2484000000.0,671000000.0,1813000000.0,844000000.0,420000000.0,356000000.0,0.74,481611100.0,5699000000.0,105785000000.0,43410000000.0,149195000000.0,0.0,64337000000.0,67299000000.0,69668000000.0,134005000000.0,15190000000.0,718000000.0,945000000.0,-85000000.0,0.0,-937000000.0,23.14
2014-12-31,2319000000.0,672000000.0,1647000000.0,827000000.0,187000000.0,109000000.0,0.23,481155000.0,5576000000.0,108245000000.0,43386000000.0,151631000000.0,0.0,67477000000.0,66380000000.0,68755000000.0,136232000000.0,15399000000.0,803000000.0,945000000.0,-3217000000.0,-268000000.0,2149000000.0,23.62
2015-03-31,2327000000.0,612000000.0,1715000000.0,811000000.0,282000000.0,509000000.0,1.06,482247900.0,7686000000.0,109891000000.0,43633000000.0,153524000000.0,0.0,69456000000.0,65760000000.0,68134000000.0,137590000000.0,15934000000.0,759000000.0,247000000.0,805000000.0,0.0,1009000000.0,20.98
2015-06-30,2298000000.0,608000000.0,1690000000.0,864000000.0,263000000.0,-1069000000.0,-2.22,482847000.0,5858000000.0,113254000000.0,43218000000.0,156472000000.0,0.0,73908000000.0,65852000000.0,68269000000.0,142177000000.0,14295000000.0,707000000.0,1496000000.0,-5997000000.0,0.0,2723000000.0,22.43
2015-09-30,2434000000.0,604000000.0,1830000000.0,885000000.0,417000000.0,230000000.0,0.48,483073300.0,5227000000.0,114031000000.0,42074000000.0,156105000000.0,0.0,71607000000.0,67461000000.0,69899000000.0,141506000000.0,14599000000.0,664000000.0,2227000000.0,-1827000000.0,0.0,-1029000000.0,20.38
2015-12-31,2480000000.0,605000000.0,1875000000.0,908000000.0,431000000.0,-952000000.0,-1.97,482873000.0,6380000000.0,118832000000.0,39749000000.0,158581000000.0,0.0,76474000000.0,66234000000.0,68668000000.0,145142000000.0,13439000000.0,671000000.0,1141000000.0,-2984000000.0,-2571000000.0,2741000000.0,18.64
2016-03-31,2485000000.0,648000000.0,1837000000.0,930000000.0,397000000.0,235000000.0,0.49,484233000.0,5001000000.0,116667000000.0,39838000000.0,156505000000.0,0.0,78189000000.0,62044000000.0,64493000000.0,142682000000.0,13823000000.0,653000000.0,1202000000.0,651000000.0,-15000000.0,-3234000000.0,18.72
2016-06-30,2443000000.0,651000000.0,1792000000.0,945000000.0,413000000.0,345000000.0,0.71,485370000.0,5731000000.0,119154000000.0,38777000000.0,157931000000.0,0.0,80815000000.0,61040000000.0,63505000000.0,144320000000.0,13611000000.0,588000000.0,1234000000.0,-1910000000.0,-15000000.0,1405000000.0,17.07
