,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2013-03-31,6328000000.0,3153000000.0,3175000000.0,1863000000.0,1312000000.0,890000000.0,2.36,2479000000.0,1312000000.0,377700000.0,243000000.0,22070000000.0,22313000000.0,81584000000.0,103897000000.0,66707000000.0,5851000000.0,11594000000.0,78301000000.0,25596000000.0,1167000000.0,530000000.0,-6000000.0,303000000.0,-175000000.0,-914000000.0,84.19,0
2013-06-30,6674000000.0,3530000000.0,3144000000.0,1881000000.0,1263000000.0,918000000.0,2.44,2429000000.0,1263000000.0,375900000.0,308000000.0,21516000000.0,21824000000.0,80076000000.0,101900000000.0,66020000000.0,5852000000.0,10990000000.0,77010000000.0,24890000000.0,1166000000.0,722000000.0,-53000000.0,-211000000.0,-191000000.0,-443000000.0,79.92,0
2013-09-30,6452000000.0,3297000000.0,3155000000.0,1887000000.0,1268000000.0,858000000.0,2.33,2428000000.0,1268000000.0,368900000.0,295000000.0,21122000000.0,21417000000.0,81268000000.0,102685000000.0,65757000000.0,6346000000.0,12117000000.0,77874000000.0,24811000000.0,1160000000.0,1637000000.0,-6000000.0,-1199000000.0,-183000000.0,-457000000.0,84.77,0
2013-12-31,6737000000.0,3327000000.0,3410000000.0,1947000000.0,1463000000.0,980000000.0,2.73,2658000000.0,1463000000.0,370300000.0,294000000.0,20967000000.0,21261000000.0,82551000000.0,103812000000.0,67371000000.0,6346000000.0,11645000000.0,79016000000.0,24796000000.0,1195000000.0,927000000.0,-42000000.0,197000000.0,-180000000.0,-1125000000.0,90.54,0
2014-03-31,6708000000.0,3315000000.0,3393000000.0,1831000000.0,1562000000.0,1045000000.0,2.98,2739000000.0,1562000000.0,350900000.0,260000000.0,21104000000.0,21364000000.0,82770000000.0,104134000000.0,67236000000.0,6347000000.0,11511000000.0,78747000000.0,25387000000.0,1177000000.0,703000000.0,-9000000.0,75000000.0,-176000000.0,-810000000.0,85.1,0
2014-06-30,6785000000.0,3826000000.0,2959000000.0,1966000000.0,993000000.0,678000000.0,1.98,2173000000.0,993000000.0,343000000.0,311000000.0,21230000000.0,21541000000.0,83270000000.0,104811000000.0,67713000000.0,6347000000.0,11566000000.0,79279000000.0,25532000000.0,1180000000.0,625000000.0,-27000000.0,412000000.0,-189000000.0,-989000000.0,94.07,0
2014-09-30,6886000000.0,3520000000.0,3366000000.0,2015000000.0,1351000000.0,912000000.0,2.7199999999999998,2546000000.0,1351000000.0,335100000.0,367000000.0,20933000000.0,21300000000.0,83222000000.0,104522000000.0,67441000000.0,6348000000.0,11760000000.0,79201000000.0,25321000000.0,1195000000.0,1840000000.0,-5000000.0,-889000000.0,-184000000.0,-889000000.0,93.94,0
2014-12-31,6795000000.0,3209000000.0,3586000000.0,2034000000.0,1552000000.0,1030000000.0,3.15,2746000000.0,1552000000.0,338800000.0,374000000.0,20598000000.0,20972000000.0,82106000000.0,103078000000.0,66387000000.0,6349000000.0,11855000000.0,78242000000.0,24836000000.0,1194000000.0,525000000.0,8000000.0,608000000.0,-180000000.0,-1121000000.0,105.85,0
2015-03-31,6629000000.0,3431000000.0,3198000000.0,1958000000.0,1240000000.0,827000000.0,2.58,2428000000.0,1240000000.0,320800000.0,308000000.0,20896000000.0,21204000000.0,81487000000.0,102691000000.0,65829000000.0,6349000000.0,12015000000.0,77844000000.0,24847000000.0,1188000000.0,199000000.0,-6000000.0,474000000.0,-177000000.0,-731000000.0,108.13,0
2015-06-30,6710000000.0,3547000000.0,3163000000.0,1995000000.0,1168000000.0,806000000.0,2.56,2335000000.0,1168000000.0,314800000.0,317000000.0,20984000000.0,21301000000.0,80363000000.0,101664000000.0,65887000000.0,6350000000.0,11656000000.0,77543000000.0,24121000000.0,1167000000.0,676000000.0,-63000000.0,291000000.0,-192000000.0,-962000000.0,96.66,0
