,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2013-03-31,6208000000.0,3913000000.0,2295000000.0,817000000.0,1361000000.0,892000000.0,0.9550000000000001,1432000000.0,1432000000.0,932924000.0,2596000000.0,1710000000.0,4306000000.0,116232000000.0,120538000000.0,92951000000.0,4283000000.0,12052000000.0,105003000000.0,15535000000.0,0.0,3832000000.0,-3085000000.0,-159000000.0,-156000000.0,26.01,0
2013-06-30,6044000000.0,3789000000.0,2255000000.0,780000000.0,1358000000.0,889000000.0,0.9550000000000001,1427000000.0,1427000000.0,930426000.0,2388000000.0,889000000.0,3277000000.0,113036000000.0,116313000000.0,90626000000.0,4946000000.0,11991000000.0,102617000000.0,13696000000.0,0.0,1866000000.0,-2725000000.0,-156000000.0,682000000.0,29.06,0
2013-09-30,5886000000.0,3873000000.0,2013000000.0,824000000.0,1069000000.0,702000000.0,0.755,1140000000.0,1140000000.0,928648000.0,2749000000.0,950000000.0,3699000000.0,116219000000.0,119918000000.0,93937000000.0,4953000000.0,11323000000.0,105260000000.0,14658000000.0,0.0,1461000000.0,-1711000000.0,-157000000.0,607000000.0,31.0,0
2013-12-31,5801000000.0,3766000000.0,2035000000.0,875000000.0,1028000000.0,675000000.0,0.73,1110000000.0,1110000000.0,929004000.0,2543000000.0,1165000000.0,3708000000.0,117599000000.0,121307000000.0,89402000000.0,4897000000.0,17285000000.0,106687000000.0,14620000000.0,0.0,3388000000.0,-3570000000.0,-163000000.0,3000000.0,33.4,0
2014-03-31,5640000000.0,3586000000.0,2054000000.0,828000000.0,1104000000.0,732000000.0,0.805,1184000000.0,1184000000.0,909462000.0,1994000000.0,732000000.0,2726000000.0,120566000000.0,123292000000.0,92890000000.0,4913000000.0,14726000000.0,107616000000.0,15676000000.0,0.0,1615000000.0,-2123000000.0,-163000000.0,-32000000.0,31.52,0
2014-06-30,5838000000.0,3662000000.0,2176000000.0,813000000.0,1238000000.0,810000000.0,0.895,1319000000.0,1319000000.0,905118000.0,2252000000.0,884000000.0,3136000000.0,124735000000.0,127871000000.0,95424000000.0,4925000000.0,14889000000.0,110313000000.0,17558000000.0,0.0,1517000000.0,-1471000000.0,-161000000.0,233000000.0,31.12,0
2014-09-30,5736000000.0,3716000000.0,2020000000.0,837000000.0,1074000000.0,706000000.0,0.78,1151000000.0,1151000000.0,902492000.0,2666000000.0,870000000.0,3536000000.0,123717000000.0,127253000000.0,90200000000.0,4558000000.0,19200000000.0,109400000000.0,17853000000.0,0.0,1445000000.0,-550000000.0,-162000000.0,-523000000.0,29.12,0
2014-12-31,5514000000.0,3409000000.0,2105000000.0,891000000.0,1075000000.0,703000000.0,0.785,1154000000.0,1154000000.0,902408000.0,4658000000.0,842000000.0,5500000000.0,114267000000.0,119767000000.0,83933000000.0,5282000000.0,17487000000.0,101420000000.0,18347000000.0,0.0,1973000000.0,-97000000.0,-168000000.0,175000000.0,30.55,0
2015-03-31,5226000000.0,3282000000.0,1944000000.0,807000000.0,1013000000.0,663000000.0,0.76,1096000000.0,1096000000.0,874612000.0,4363000000.0,700000000.0,5063000000.0,116338000000.0,121401000000.0,85564000000.0,6282000000.0,17200000000.0,102764000000.0,18637000000.0,0.0,1460000000.0,-2078000000.0,-165000000.0,322000000.0,32.01,0
2015-06-30,5287000000.0,3262000000.0,2025000000.0,805000000.0,874000000.0,573000000.0,0.665,948000000.0,948000000.0,863344000.0,3103000000.0,839000000.0,3942000000.0,111639000000.0,115581000000.0,84581000000.0,5425000000.0,13982000000.0,98563000000.0,17018000000.0,0.0,1643000000.0,-1488000000.0,-163000000.0,-1409000000.0,31.1,0
2015-09-30,5040000000.0,3253000000.0,1787000000.0,812000000.0,864000000.0,567000000.0,0.66,931000000.0,931000000.0,857470000.0,3520000000.0,762000000.0,4282000000.0,113173000000.0,117455000000.0,87185000000.0,5009000000.0,13015000000.0,100200000000.0,17255000000.0,0.0,1667000000.0,-517000000.0,-161000000.0,-739000000.0,29.07,0
2015-12-31,5319000000.0,3252000000.0,2067000000.0,1248000000.0,1111000000.0,730000000.0,0.86,1176000000.0,1176000000.0,861308000.0,4350000000.0,705000000.0,5055000000.0,113201000000.0,118256000000.0,87631000000.0,4971000000.0,12917000000.0,100548000000.0,17708000000.0,1066000000.0,2006000000.0,-814000000.0,-167000000.0,-361000000.0,29.95,0
2016-03-31,5451000000.0,3358000000.0,2093000000.0,855000000.0,1117000000.0,731000000.0,0.875,1182000000.0,1182000000.0,837496000.0,3449000000.0,723000000.0,4172000000.0,123594000000.0,127766000000.0,94128000000.0,4984000000.0,13617000000.0,107745000000.0,20021000000.0,0.0,1331000000.0,-1487000000.0,-167000000.0,-766000000.0,31.57,0
2016-06-30,5437000000.0,3599000000.0,1838000000.0,938000000.0,834000000.0,548000000.0,0.665,900000000.0,900000000.0,823706000.0,3700000000.0,758000000.0,4458000000.0,136829000000.0,141287000000.0,103066000000.0,5009000000.0,15671000000.0,118737000000.0,22550000000.0,0.0,1523000000.0,-942000000.0,-163000000.0,-515000000.0,36.08,0
2016-09-30,5716000000.0,3731000000.0,1985000000.0,957000000.0,963000000.0,629000000.0,0.77,1028000000.0,1028000000.0,817038000.0,5270000000.0,689000000.0,5959000000.0,138142000000.0,144101000000.0,105556000000.0,5765000000.0,15760000000.0,121316000000.0,22785000000.0,0.0,1266000000.0,-209000000.0,-162000000.0,446000000.0,35.94,0
2016-12-31,5955000000.0,3599000000.0,2356000000.0,1187000000.0,1153000000.0,751000000.0,0.925,1225000000.0,1225000000.0,822942000.0,4859000000.0,669000000.0,5528000000.0,124291000000.0,129819000000.0,93726000000.0,5360000000.0,15611000000.0,109337000000.0,20482000000.0,1141000000.0,1867000000.0,-1217000000.0,-166000000.0,-784000000.0,34.8,0
2017-03-31,5309000000.0,3380000000.0,1929000000.0,969000000.0,898000000.0,592000000.0,0.74,1254000000.0,960000000.0,802259000.0,4205000000.0,618000000.0,4823000000.0,128827000000.0,133650000000.0,97624000000.0,5250000000.0,15686000000.0,113310000000.0,20340000000.0,294000000.0,1757000000.0,-1527000000.0,-166000000.0,-876000000.0,36.21,0
2017-06-30,5428000000.0,3374000000.0,2054000000.0,948000000.0,1045000000.0,713000000.0,0.9,1389000000.0,1106000000.0,792865000.0,4264000000.0,871000000.0,5135000000.0,130259000000.0,135394000000.0,98458000000.0,5252000000.0,15433000000.0,113891000000.0,21503000000.0,283000000.0,1408000000.0,-990000000.0,-162000000.0,-355000000.0,38.84,0
2017-09-30,5506000000.0,3415000000.0,2091000000.0,957000000.0,1075000000.0,716000000.0,0.905,1405000000.0,1134000000.0,788958000.0,4927000000.0,937000000.0,5864000000.0,130219000000.0,136083000000.0,98713000000.0,5248000000.0,15393000000.0,114106000000.0,21977000000.0,271000000.0,1431000000.0,-370000000.0,-163000000.0,-382000000.0,40.69,0
2017-12-31,5424000000.0,3328000000.0,2096000000.0,1038000000.0,1000000000.0,2583000000.0,2.995,1342000000.0,1058000000.0,792042000.0,3491000000.0,827000000.0,4318000000.0,132899000000.0,137217000000.0,99147000000.0,5289000000.0,13472000000.0,112619000000.0,24598000000.0,284000000.0,1532000000.0,-2544000000.0,-170000000.0,-452000000.0,43.89,0
2018-03-31,5464000000.0,3379000000.0,2085000000.0,1047000000.0,982000000.0,717000000.0,0.92,1352000000.0,1038000000.0,778550000.0,4080000000.0,906000000.0,4986000000.0,142370000000.0,147356000000.0,105399000000.0,5372000000.0,17670000000.0,123069000000.0,24287000000.0,314000000.0,1238000000.0,-199000000.0,-195000000.0,-473000000.0,43.76,0
2018-06-30,5589000000.0,3369000000.0,2220000000.0,1035000000.0,1131000000.0,832000000.0,1.08,1488000000.0,1185000000.0,772949000.0,3847000000.0,892000000.0,4739000000.0,137247000000.0,141986000000.0,102310000000.0,5315000000.0,15876000000.0,118186000000.0,23800000000.0,303000000.0,1569000000.0,-1244000000.0,-201000000.0,-515000000.0,43.02,0
