,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,17683000000.0,12298000000.0,5385000000.0,0.0,1247000000.0,956000000.0,0.87,1247000000.0,1247000000.0,1096926000.0,9983000000.0,23052000000.0,33035000000.0,808650000000.0001,841685000000.0001,3293000000.0,437175000000.0,22917000000.0,339638000000.0,776813000000.0001,64872000000.0,0.0,2733000000.0,-9719000000.0,-203000000.0,1324000000.0,33.89
2013-06-30,15721000000.0,11135000000.0,4586000000.0,0.0,561000000.0,471000000.0,0.43,561000000.0,561000000.0,1097889000.0,9184000000.0,23283000000.0,32467000000.0,783195000000.0001,815662000000.0001,3293000000.0,421487000000.0,22773000000.0,333767000000.0,755254000000.0001,60408000000.0,0.0,4581000000.0,1866000000.0,-302000000.0,-7114000000.0,40.78
2013-09-30,16337000000.0,11384000000.0,4953000000.0,0.0,976000000.0,942000000.0,0.84,976000000.0,976000000.0,1104893000.0,11376000000.0,23473000000.0,34849000000.0,787794000000.0001,822643000000.0001,3293000000.0,422645000000.0,22448000000.0,338730000000.0,761375000000.0001,61268000000.0,0.0,2670000000.0,1278000000.0,-303000000.0,-1794000000.0,41.84
2013-12-31,18458000000.0,12728000000.0,5730000000.0,0.0,1268000000.0,877000000.0,0.77,1268000000.0,1268000000.0,1105580000.0,7585000000.0,21859000000.0,29444000000.0,855852000000.0001,885296000000.0001,3368000000.0,421855000000.0,22849000000.0,401345000000.0,823200000000.0001,62096000000.0,547000000.0,6147000000.0,-8590000000.0,-311000000.0,-1323000000.0,48.06
2014-03-31,17085000000.0,11096000000.0,5989000000.0,0.0,1826000000.0,1298000000.0,1.1400000000000001,1826000000.0,1826000000.0,1126923000.0,8573000000.0,23031000000.0,31604000000.0,859299000000.0001,890903000000.0001,3293000000.0,421249000000.0,20989000000.0,403322000000.0,824571000000.0001,66332000000.0,0.0,2484000000.0,2164000000.0,-311000000.0,-3659000000.0,47.06
2014-06-30,18266000000.0,12094000000.0,6172000000.0,0.0,1950000000.0,1335000000.0,1.17,1950000000.0,1950000000.0,1127986000.0,7393000000.0,23730000000.0,31123000000.0,879997000000.0001,911120000000.0,3293000000.0,425796000000.0,20979000000.0,415150000000.0,840946000000.0001,70174000000.0,0.0,4437000000.0,-8864000000.0,-395000000.0,3225000000.0,49.52
2014-09-30,18846000000.0,11676000000.0,7170000000.0,0.0,2952000000.0,2064000000.0,1.81,2952000000.0,2952000000.0,1125166000.0,8783000000.0,23814000000.0,32597000000.0,876030000000.0001,908627000000.0,3293000000.0,426362000000.0,20585000000.0,410966000000.0,837328000000.0001,71299000000.0,0.0,4029000000.0,-4969000000.0,-395000000.0,2411000000.0,47.88
2014-12-31,19119000000.0,12555000000.0,6564000000.0,0.0,2076000000.0,1490000000.0,1.3,2076000000.0,2076000000.0,1128700000.0,10808000000.0,22244000000.0,33052000000.0,869285000000.0001,902337000000.0,3293000000.0,420434000000.0,20482000000.0,409343000000.0,829777000000.0001,72560000000.0,102000000.0,5426000000.0,-3386000000.0,-398000000.0,279000000.0,48.21
2015-03-31,18710000000.0,11591000000.0,7119000000.0,0.0,3059000000.0,2128000000.0,1.87,3059000000.0,3059000000.0,1125704000.0,8127000000.0,24190000000.0,32317000000.0,887473000000.0001,919790000000.0,3293000000.0,419847000000.0,21910000000.0,425629000000.0,845476000000.0001,74314000000.0,0.0,2686000000.0,-6900000000.0,-394000000.0,1723000000.0,45.05
2015-06-30,16166000000.0,10981000000.0,5185000000.0,0.0,1113000000.0,1042000000.0,0.92,1113000000.0,1113000000.0,1117808000.0,8074000000.0,24872000000.0,32946000000.0,865463000000.0001,898409000000.0001,3293000000.0,413903000000.0,20934000000.0,414609000000.0,828512000000.0001,69897000000.0,0.0,4202000000.0,140000000.0,-420000000.0,-4287000000.0,49.9
