,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2166700000.0,1142800000.0,1023900000.0,228200000.0,178300000.0,0.61,318700000.0,228200000.0,294100000.0,1661200000.0,1175200000.0,2836400000.0,197926500000.0,200762900000.0,46500000.0,60248800000.0,2790500000.0,130687500000.0,190936300000.0,9826600000.0,90500000.0,595900000.0,6700000.0,-1525400000.0,-67600000.0,-1586500000.0,34.03
2013-06-30,2210600000.0,1143200000.0,1067400000.0,265600100.0,222300000.0,0.75,351900100.0,265600100.0,294100000.0,1110500000.0,1219000000.0,2329500000.0,194183200000.0,196512700000.0,175300000.0,59314000000.0,2578600000.0,127789800000.0,187103800000.0,9408900000.0,86300000.0,187700000.0,-18600000.0,-397200000.0,-67600000.0,-341200000.0,37.45
2013-09-30,2239600000.0,1144700000.0,1094900000.0,320300200.0,245700000.0,0.8200000000000001,394000200.0,320300200.0,294900000.0,1707100000.0,1160700000.0,2867800000.0,198819600000.0,201687400000.0,175500000.0,59656000000.0,2593300000.0,132658000000.0,192314000000.0,9373400000.0,73700000.0,614300000.0,-10800000.0,489800000.0,-76500000.0,-507500000.0,42.82
2013-12-31,2672600000.0,1441900000.0,1230700000.0,309899700.0,233400000.0,0.78,400399700.0,309899800.0,294600000.0,2371800000.0,1241000000.0,3612800000.0,204578600000.0,208191400000.0,150600000.0,59494000000.0,2601400000.0,138920400000.0,198414400000.0,9777000000.0,90500000.0,823300000.0,-36700000.0,206500000.0,-76700000.0,-365100000.0,49.31
2014-03-31,2478600000.0,1273200000.0,1205400000.0,376400100.0,284000000.0,0.9500000000000001,491800100.0,376400100.0,295800000.0,1393100000.0,1199300000.0,2592400000.0,208601500000.0,211193900000.0,148800000.0,59702900000.0,2516000000.0,141433100000.0,201136000000.0,10057900000.0,115400000.0,591300000.0,-49800000.0,-835300000.0,-82700000.0,-734700000.0,45.99
2014-06-30,2606700000.0,1313000000.0,1293700000.0,407500000.0,306300000.0,1.03,516600000.0,407500000.0,294700000.0,1742300000.0,1232300000.0,2974600000.0,215347700000.0,218322300000.0,148600000.0,59807000000.0,2529400000.0,148056000000.0,207863000000.0,10459300000.0,109100000.0,786000000.0,-43500000.0,338700000.0,-94100000.0,-775500000.0,50.48
2014-09-30,2484300000.0,1158000000.0,1326300000.0,393800000.0,230400000.0,0.77,574900000.0,393800000.0,294200000.0,1270800000.0,1189300000.0,2460100000.0,213962700000.0,216422800000.0,126300000.0,59018500000.0,2529200000.0,147035300000.0,206053800000.0,10369000000.0,181100000.0,820300000.0,-24200000.0,-330700000.0,-99900000.0,-961100000.0,52.47
2014-12-31,2908000000.0,1664200000.0,1243799000.0,317199500.0,270700000.0,0.91,448299500.0,317199200.0,294700000.0,1863900000.0,1213000000.0,3076900000.0,216010100000.0,219087000000.0,28000000.0,59604000000.0,2531200000.0,149251000000.0,208855000000.0,10232000000.0,131100000.0,905300000.0,-18500000.0,-345400000.0,-99900000.0,33200000.0,51.94
2015-03-31,2657300000.0,1278000000.0,1379300000.0,458100100.0,414200000.0,1.3900000000000001,561200100.0,458100100.0,294800000.0,1452000000.0,1230000000.0,2682000000.0,219812900000.0,222494900000.0,27200000.0,59431200000.0,2514600000.0,152571600000.0,212002800000.0,10492100000.0,103100000.0,630900000.0,-32800000.0,-229500000.0,-106300000.0,-813300000.0,51.37
2015-06-30,3259200000.0,2095700000.0,1163500000.0,294499800.0,241100000.0,0.81,376299700.0,294499800.0,295000000.0,2264400000.0,1282700000.0,3547100000.0,218723600000.0,222270700000.0,26600000.0,59828100000.0,3315900000.0,152680000000.0,212508100000.0,9762600000.0,81800000.0,1486500000.0,-34500000.0,-707600000.0,-112000000.0,33500000.0,51.29
2015-09-30,3240900000.0,1910300000.0,1330600000.0,369200000.0,300400000.0,1.01,556799900.0,369200000.0,295000000.0,2514200000.0,1401600000.0,3915800000.0,211449600000.0,215365400000.0,221600000.0,61678000000.0,3286100000.0,144001600000.0,205679600000.0,9685800000.0,187600000.0,1205600000.0,-29000000.0,-829700000.0,-111900000.0,-126100000.0,47.34
2015-12-31,2807000000.0,1577200000.0,1229800000.0,309000500.0,253600000.0,0.86,400300500.0,309001000.0,294400000.0,2564800000.0,1429300000.0,3994100000.0,214666200000.0,218660300000.0,181100000.0,62559100000.0,3265200000.0,146723800000.0,209282900000.0,9377400000.0,91300000.0,1054100000.0,-40100000.0,-1400800000.0,-110800000.0,397300000.0,44.98
2016-03-31,3036600000.0,1697300000.0,1339300000.0,439800000.0,368000000.0,1.25,585200100.0,439800000.0,291500000.0,2142900000.0,1309500000.0,3452400000.0,214117600000.0,217570000000.0,122600000.0,64572000000.0,3269100000.0,142888400000.0,207460400000.0,10109600000.0,145400000.0,895500000.0,-44200000.0,-1853300000.0,-110400000.0,535900000.0,39.45
2016-06-30,3025700000.0,1697900000.0,1327800000.0,399899900.0,322300000.0,1.1,519299900.0,399899900.0,289900000.0,2255400000.0,1504800000.0,3760200000.0,219314000000.0,223074200000.0,25900000.0,66691400000.0,3270200000.0,145815100000.0,212506500000.0,10567700000.0,119400000.0,1230100000.0,-30500000.0,-1820700000.0,-112800000.0,703100000.0,41.11
2016-09-30,2818000000.0,1527700000.0,1290300000.0,370700200.0,308200000.0,1.07,509500200.0,370700200.0,288100000.0,2218200000.0,1382800000.0,3601000000.0,226766600000.0,230367600000.0,39900000.0,67233900000.0,3278200000.0,152269900000.0,219503800000.0,10863800000.0,138800000.0,801700000.0,-34400000.0,-823600000.0,-117900000.0,-15300000.0,51.51
2016-12-31,3513799000.0,2146900000.0,1366899000.0,381298600.0,318000000.0,1.1,449398600.0,381299100.0,289400000.0,2719600000.0,1361900000.0,4081500000.0,223932800000.0,228014300000.0,51400000.0,67896100000.0,3125700000.0,149824400000.0,217720500000.0,10293800000.0,68100000.0,930500000.0,-45800000.0,-656300000.0,-123800000.0,227200000.0,57.86
2017-03-31,3049400000.0,1692200000.0,1357200000.0,413999800.0,348900000.0,1.19,514399800.0,413999800.0,288300000.0,1534700000.0,1447000000.0,2981700000.0,232514300000.0,235496000000.0,59500000.0,68746800000.0,3126200000.0,156064300000.0,224811100000.0,10684900000.0,100400000.0,522900000.0,-43800000.0,-1831000000.0,-130000000.0,123200000.0,63.11
2017-06-30,3178300000.0,1884000000.0,1294300000.0,365600100.0,309500000.0,1.07,467600100.0,365600100.0,288900000.0,2006400000.0,1381400000.0,3387800000.0,236766100000.0,240153900000.0,42000000.0,69686900000.0,3126800000.0,159229000000.0,228915900000.0,11238000000.0,102000000.0,1306200000.0,-60300000.0,-673300000.0,-132700000.0,-161200000.0,64.07
2017-09-30,4627800000.0,2537200000.0,2090600000.0,1157800000.0,810200000.0,2.8,1274000000.0,1157800000.0,289300000.0,2795000000.0,1516600000.0,4311600000.0,243622000000.0,247933600000.0,58800000.0,71322700000.0,3175400000.0,164543600000.0,235866300000.0,12067300000.0,116200000.0,1799600000.0,-29200000.0,-813400000.0,-135800000.0,-197600000.0,64.34
