,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2839000000.0,2470000000.0,369000000.0,369000000.0,239000000.0,0.88,350000000.0,369000000.0,270266000.0,3107000000.0,7727000000.0,10834000000.0,213507000000.0,224341000000.0,706000000.0,96921000000.0,4889000000.0,112558000000.0,209479000000.0,14862000000.0,-19000000.0,-251000000.0,-1289000000.0,-33000000.0,417000000.0,32.61
2013-06-30,2999000000.0,2516000000.0,483000000.0,483000000.0,317000000.0,1.19,465000000.0,483000000.0,266367000.0,2574000000.0,7603000000.0,10177000000.0,213144000000.0,223321000000.0,506000000.0,96933000000.0,5050000000.0,113071000000.0,210004000000.0,13317000000.0,-18000000.0,306000000.0,-1514000000.0,-32000000.0,675000000.0,36.47
2013-09-30,3009000000.0,2500000000.0,509000000.0,509000000.0,337000000.0,1.28,490000000.0,509000000.0,263546000.0,2650000000.0,7737000000.0,10387000000.0,219537000000.0,229924000000.0,503000000.0,96421000000.0,5365000000.0,120114000000.0,216535000000.0,13389000000.0,-19000000.0,449000000.0,-1011000000.0,-32000000.0,638000000.0,41.99
2013-12-31,3122000000.0,2587000000.0,535000000.0,535000000.0,351000000.0,1.34,517000000.0,535000000.0,265631000.0,2364000000.0,7237000000.0,9601000000.0,227344000000.0,236945000000.0,501000000.0,95646000000.0,5320000000.0,127847000000.0,223493000000.0,13452000000.0,-18000000.0,295000000.0,-896000000.0,-31000000.0,315000000.0,51.62
2014-03-31,3176000000.0,2682000000.0,494000000.0,494000000.0,329000000.0,1.25,475000000.0,494000000.0,262739000.0,1849000000.0,7260000000.0,9109000000.0,232840000000.0,241949000000.0,0.0,97158000000.0,5380000000.0,130305000000.0,227463000000.0,14486000000.0,-19000000.0,263000000.0,-377000000.0,-42000000.0,-401000000.0,50.67
2014-06-30,3282000000.0,2678000000.0,604000000.0,604000000.0,398000000.0,1.52,586000000.0,604000000.0,262272000.0,1509000000.0,7236000000.0,8745000000.0,240380000000.0,249125000000.0,250000000.0,98171000000.0,5170000000.0,135503000000.0,233674000000.0,15451000000.0,-18000000.0,108000000.0,-728000000.0,-42000000.0,280000000.0,51.44
2014-09-30,3411000000.0,2743000000.0,668000000.0,668000000.0,439000000.0,1.69,650000000.0,668000000.0,260372000.0,1821000000.0,7115000000.0,8936000000.0,239510000000.0,248446000000.0,250000000.0,98690000000.0,5186000000.0,134304000000.0,232994000000.0,15452000000.0,-18000000.0,724000000.0,-617000000.0,-42000000.0,205000000.0,53.58
2014-12-31,3685000000.0,3187000000.0,498000000.0,498000000.0,349000000.0,1.35,479000000.0,498000000.0,260878000.0,3919000000.0,6852000000.0,10771000000.0,242606000000.0,253377000000.0,250000000.0,100378000000.0,5270000000.0,137259000000.0,237637000000.0,15740000000.0,-19000000.0,1431000000.0,-83000000.0,-44000000.0,750000000.0,57.67
2015-03-31,3304000000.0,2874000000.0,430000000.0,430000000.0,300000000.0,1.17,412000000.0,430000000.0,255496000.0,3487000000.0,6696000000.0,10183000000.0,248302000000.0,258485000000.0,250000000.0,101592000000.0,5627000000.0,140670000000.0,242262000000.0,16223000000.0,-18000000.0,296000000.0,-1035000000.0,-52000000.0,307000000.0,57.46
2015-06-30,3381000000.0,2863000000.0,518000000.0,518000000.0,344000000.0,1.37,499000000.0,518000000.0,251849000.0,2327000000.0,6665000000.0,8992000000.0,246222000000.0,255214000000.0,0.0,101116000000.0,5529000000.0,139399000000.0,240515000000.0,14699000000.0,-19000000.0,286000000.0,-1099000000.0,-50000000.0,-347000000.0,59.22
2015-09-30,3716000000.0,3381000000.0,335000000.0,335000000.0,227000000.0,0.91,317000000.0,335000000.0,249228000.0,3772000000.0,6581000000.0,10353000000.0,239179000000.0,249532000000.0,0.0,102387000000.0,5604000000.0,132744000000.0,235131000000.0,14401000000.0,-18000000.0,905000000.0,-13000000.0,-51000000.0,553000000.0,47.46
2015-12-31,3171000000.0,2752000000.0,419000000.0,419000000.0,283000000.0,1.15,400000000.0,419000000.0,250629000.0,3146000000.0,6628000000.0,9774000000.0,242134000000.0,251908000000.0,0.0,102814000000.0,5553000000.0,135477000000.0,238291000000.0,13617000000.0,-19000000.0,756000000.0,-2076000000.0,-51000000.0,694000000.0,50.26
2016-03-31,3243000000.0,2940000000.0,303000000.0,303000000.0,211000000.0,0.8300000000000001,285000000.0,303000000.0,241676000.0,3177000000.0,6628000000.0,9805000000.0,245913000000.0,255718000000.0,0.0,104041000000.0,5650000000.0,137019000000.0,241060000000.0,14658000000.0,-18000000.0,298000000.0,-707000000.0,-60000000.0,440000000.0,39.2
2016-06-30,3307000000.0,2825000000.0,482000000.0,482000000.0,325000000.0,1.37,463000000.0,482000000.0,236463000.0,4113000000.0,6538000000.0,10651000000.0,252377000000.0,263028000000.0,250000000.0,106286000000.0,5460000000.0,140822000000.0,247108000000.0,15920000000.0,-19000000.0,238000000.0,467000000.0,-62000000.0,231000000.0,38.77
2016-09-30,3525000000.0,2847000000.0,678000000.0,678000000.0,467000000.0,2.02,660000000.0,678000000.0,231041000.0,3444000000.0,6415000000.0,9859000000.0,256746000000.0,266605000000.0,250000000.0,106124000000.0,5457000000.0,144158000000.0,250282000000.0,16323000000.0,-18000000.0,144000000.0,-1372000000.0,-58000000.0,559000000.0,46.98
2016-12-31,3255000000.0,2921000000.0,334000000.0,326000000.0,189000000.0,0.8300000000000001,308000000.0,326000000.0,234182000.0,2722000000.0,6312000000.0,9034000000.0,252593000000.0,261627000000.0,0.0,105527000000.0,5345000000.0,141622000000.0,247149000000.0,14478000000.0,-18000000.0,592000000.0,-2054000000.0,-58000000.0,740000000.0,66.27
2017-03-31,3500000000.0,2952000000.0,548000000.0,539000000.0,435000000.0,1.9300000000000002,521000000.0,539000000.0,225620000.0,1923000000.0,6408000000.0,8331000000.0,259137000000.0,267468000000.0,200000000.0,106616000000.0,5133000000.0,145879000000.0,252495000000.0,14973000000.0,-18000000.0,109000000.0,-1499000000.0,-65000000.0,591000000.0,65.45
2017-06-30,3577000000.0,2967000000.0,610000000.0,596000000.0,411000000.0,1.8399999999999999,592000000.0,596000000.0,223555000.0,1978000000.0,6200000000.0,8178000000.0,263473000000.0,271651000000.0,450000000.0,106964000000.0,4901000000.0,148691000000.0,255655000000.0,15996000000.0,-4000000.0,93000000.0,-505000000.0,-67000000.0,467000000.0,67.58
2017-09-30,3511000000.0,2928000000.0,583000000.0,573000000.0,418000000.0,1.8900000000000001,573000000.0,573000000.0,220814000.0,1965000000.0,6034000000.0,7999000000.0,268786000000.0,276785000000.0,450000000.0,107651000000.0,4900000000.0,152820000000.0,260471000000.0,16314000000.0,0.0,407000000.0,-780000000.0,-66000000.0,360000000.0,73.48
2017-12-31,3669000000.0,3079000000.0,590000000.0,-325000000.0,815000000.0,3.73,-326000000.0,-325000000.0,222129000.0,1628000000.0,5896000000.0,7524000000.0,274239000000.0,281763000000.0,450000000.0,108020000000.0,4894000000.0,156421000000.0,264441000000.0,17322000000.0,-1000000.0,179000000.0,-1404000000.0,-64000000.0,888000000.0,76.87
2018-03-31,3609000000.0,3068000000.0,541000000.0,526000000.0,367000000.0,1.6800000000000002,526000000.0,526000000.0,218369000.0,2257000000.0,6065000000.0,8322000000.0,270915000000.0,279237000000.0,250000000.0,108182000000.0,5648000000.0,155070000000.0,263252000000.0,15985000000.0,0.0,140000000.0,-595000000.0,-72000000.0,1084000000.0,73.06
2018-06-30,4020000000.0,3485000000.0,535000000.0,519000000.0,385000000.0,1.76,519000000.0,519000000.0,217997000.0,1775000000.0,19125000000.0,20900000000.0,277932000000.0,298832000000.0,0.0,127140000000.0,5826000000.0,156515000000.0,283655000000.0,15177000000.0,0.0,492000000.0,-1778000000.0,-73000000.0,804000000.0,62.25
2018-09-30,4264000000.0,3645000000.0,619000000.0,601000000.0,490000000.0,2.27,601000000.0,601000000.0,215901000.0,1460000000.0,19429000000.0,20889000000.0,282961000000.0,303850000000.0,0.0,128126000000.0,5804000000.0,160654000000.0,288780000000.0,15070000000.0,-1000000.0,402000000.0,-1867000000.0,-72000000.0,1150000000.0,67.66
2018-12-31,4531000000.0,3968000000.0,563000000.0,536000000.0,399000000.0,1.8900000000000001,528000000.0,536000000.0,215936000.0,2345000000.0,18875000000.0,21220000000.0,276927000000.0,298147000000.0,0.0,130689000000.0,5839000000.0,153108000000.0,283797000000.0,14350000000.0,-8000000.0,909000000.0,-1575000000.0,-72000000.0,1551000000.0,51.31
2019-03-31,3965000000.0,3611000000.0,354000000.0,339000000.0,252000000.0,1.23,331000000.0,339000000.0,204291000.0,1593000000.0,18816000000.0,20409000000.0,293890000000.0,314299000000.0,300000000.0,133807000000.0,5572000000.0,164075000000.0,297882000000.0,16417000000.0,-8000000.0,-1331000000.0,-1133000000.0,-77000000.0,1712000000.0,58.7
2019-06-30,4310000000.0,3804000000.0,506000000.0,491000000.0,363000000.0,1.8,484000000.0,491000000.0,201498000.0,3314000000.0,18034000000.0,21348000000.0,300911000000.0,322259000000.0,300000000.0,136079000000.0,5621000000.0,167725000000.0,303804000000.0,18455000000.0,-7000000.0,-1231000000.0,1074000000.0,-76000000.0,1878000000.0,64.45
2019-09-30,4638000000.0,3207000000.0,1431000000.0,1415000000.0,-161000000.0,-0.81,1407000000.0,1415000000.0,199201000.0,2939000000.0,18336000000.0,21275000000.0,304003000000.0,325278000000.0,300000000.0,137558000000.0,6070000000.0,167721000000.0,305279000000.0,19999000000.0,-8000000.0,-295000000.0,-2226000000.0,-74000000.0,2146000000.0,60.32
2019-12-31,4345000000.0,5325000000.0,-980000000.0,-1000000000.0,432000000.0,2.18,-1008000000.0,-1000000000.0,200609000.0,2563000000.0,18145000000.0,20708000000.0,314053000000.0,334761000000.0,300000000.0,140147000000.0,6067000000.0,174925000000.0,315072000000.0,19689000000.0,-8000000.0,171000000.0,-3214000000.0,-76000000.0,2667000000.0,59.01
2020-03-31,4425000000.0,4311000000.0,114000000.0,102000000.0,52000000.0,0.27,91000000.0,102000000.0,193208000.0,6202000000.0,18157000000.0,24359000000.0,294290000000.0,318649000000.0,0.0,145042000000.0,6748000000.0,157032000000.0,302074000000.0,16575000000.0,-11000000.0,455000000.0,742000000.0,-79000000.0,2442000000.0,26.32
2020-06-30,3517000000.0,3580000000.0,-63000000.0,-77000000.0,-94000000.0,-0.49,-88000000.0,-77000000.0,193229000.0,4201000000.0,17891000000.0,22092000000.0,317567000000.0,339659000000.0,0.0,146417000000.0,6736000000.0,172511000000.0,318928000000.0,20731000000.0,-11000000.0,516000000.0,-4106000000.0,-77000000.0,1589000000.0,36.79
2020-09-30,5361000000.0,4815000000.0,546000000.0,526000000.0,398000000.0,2.06,516000000.0,526000000.0,193251000.0,2595000000.0,17647000000.0,20242000000.0,327562000000.0,347804000000.0,0.0,149426000000.0,6714000000.0,176829000000.0,326255000000.0,21549000000.0,-10000000.0,-630000000.0,-3081000000.0,-77000000.0,2105000000.0,31.33
2020-12-31,4136000000.0,3958000000.0,178000000.0,156000000.0,143000000.0,0.74,147000000.0,156000000.0,193610000.0,1708000000.0,17512000000.0,19220000000.0,346728000000.0,365948000000.0,0.0,152833000000.0,6682000000.0,190416000000.0,343249000000.0,22699000000.0,-9000000.0,193000000.0,-3036000000.0,-78000000.0,1956000000.0,50.31
