,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2013-03-31,1367673000.0,878636000.0,489037000.0,5717000.0,483320000.0,384343000.0,7.5600000000000005,501940000.0,483320000.0,50423000.0,524136000.0,2048485000.0,2572621000.0,17229450000.0,19802070000.0,11851670000.0,818174000.0,1133539000.0,12985210000.0,6816866000.0,18620000.0,259358000.0,-47787000.0,-24231000.0,-235945000.0,129.86,0
2013-06-30,1354543000.0,1008558000.0,345984900.0,6168000.0,339816900.0,275642000.0,5.6,356730900.0,339816900.0,48762000.0,439136000.0,2234793000.0,2673929000.0,16885120000.0,19559050000.0,12030370000.0,528291000.0,905882000.0,12936250000.0,6622800000.0,16914000.0,179584000.0,255096000.0,-23315000.0,-504884000.0,128.26,0
2013-09-30,1401498000.0,1078549000.0,322949000.0,4758000.0,318190900.0,234759000.0,4.85,332977900.0,318190900.0,47925000.0,589534000.0,2411504000.0,3001038000.0,17026880000.0,20027920000.0,12327180000.0,488305000.0,983292000.0,13310470000.0,6717450000.0,14787000.0,386022000.0,-152638000.0,-23174000.0,-70572000.0,145.41,0
2013-12-31,1517122000.0,1049192000.0,467930200.0,8174000.0,459756200.0,364638000.0,7.62,475950200.0,459756200.0,48619000.0,611382000.0,2172331000.0,2783713000.0,17024320000.0,19808040000.0,11835350000.0,488319000.0,1004412000.0,12839760000.0,6968276000.0,16194000.0,273297000.0,-278674000.0,-35961000.0,34908000.0,155.87,0
2014-03-31,1283816000.0,916049000.0,367767000.0,4945000.0,362822000.0,293933000.0,6.26,376408000.0,362822000.0,46479000.0,385404000.0,2216793000.0,2602197000.0,17510200000.0,20112390000.0,11956640000.0,488332000.0,1118246000.0,13074880000.0,7037511000.0,13586000.0,367097000.0,-384435000.0,-34742000.0,-211904000.0,153.05,0
2014-06-30,1452460000.0,1077798000.0,374661900.0,3899000.0,370762800.0,290184000.0,6.26,384272800.0,370762800.0,45441000.0,341570000.0,2379145000.0,2720715000.0,18470930000.0,21191640000.0,12216030000.0,888346000.0,1652750000.0,13868780000.0,7322868000.0,13510000.0,223335000.0,-695255000.0,-34319000.0,432235000.0,160.49,0
2014-09-30,1535880000.0,1191389000.0,344491000.0,9958000.0,334533000.0,274916000.0,6.0,345490000.0,334533000.0,44941000.0,401803000.0,2668783000.0,3070586000.0,18416630000.0,21487210000.0,12490640000.0,888361000.0,1614389000.0,14105030000.0,7382187000.0,10957000.0,335512000.0,-104355000.0,-44307000.0,-181976000.0,162.01,0
2014-12-31,1406791000.0,1044949000.0,361841900.0,4619000.0,357223300.0,340123000.0,7.47,368430300.0,357223000.0,45377000.0,437474000.0,2253599000.0,2691073000.0,18126750000.0,20817820000.0,11902210000.0,638364000.0,1464499000.0,13366700000.0,7451120000.0,11207000.0,128818000.0,425473000.0,-32545000.0,-516453000.0,170.3,0
2015-03-31,1435588000.0,1056990000.0,378598000.0,5463000.0,373135000.0,322978000.0,7.26,386469000.0,373135000.0,44028000.0,398575000.0,2344549000.0,2743124000.0,18524160000.0,21267290000.0,11981530000.0,638365000.0,1619127000.0,13600660000.0,7666630000.0,13334000.0,350569000.0,-265146000.0,-42252000.0,-117290000.0,174.0,0
2015-06-30,1390448000.0,1130606000.0,259842000.0,5925000.0,253917000.0,209057000.0,4.72,266099000.0,253917000.0,43804000.0,338901000.0,2334458000.0,2673359000.0,18809540000.0,21482900000.0,11987430000.0,638366000.0,1768804000.0,13756230000.0,7726662000.0,12182000.0,181068000.0,-154515000.0,-41955000.0,-86430000.0,182.01,0
2015-09-30,1332119000.0,1234785000.0,97334000.0,5924000.0,91410000.0,88553000.0,2.02,104667000.0,91410000.0,43361000.0,401226000.0,2765667000.0,3166893000.0,18515420000.0,21682310000.0,12416450000.0,638367000.0,1779539000.0,14195990000.0,7486320000.0,13257000.0,270204000.0,50569000.0,-41698000.0,-237270000.0,173.34,0
2015-12-31,1518610000.0,1083049000.0,435561000.0,5942000.0,429618900.0,357281000.0,8.32,441746900.0,429619000.0,43415000.0,283658000.0,2635668000.0,2919326000.0,17626090000.0,20545420000.0,11986530000.0,632958000.0,950299000.0,12936830000.0,7608585000.0,12128000.0,306394000.0,-312009000.0,-49202000.0,-132180000.0,183.09,0
2016-03-31,1242046000.0,1047865000.0,194181000.0,7886000.0,186295000.0,171686000.0,4.03,198650000.0,186295000.0,42129000.0,328943000.0,2618701000.0,2947644000.0,17908210000.0,20855850000.0,12038310000.0,638369000.0,977247100.0,13015550000.0,7840299000.0,12355000.0,375476000.0,-208183000.0,-48706000.0,-142800000.0,197.43,0
2016-06-30,1427884000.0,1225395000.0,202489000.0,7117000.0,195372100.0,155692000.0,3.7,207144100.0,195372100.0,41653000.0,429287000.0,2606980000.0,3036267000.0,18245910000.0,21282180000.0,12278590000.0,633067000.0,1018112000.0,13296710000.0,7985468000.0,11772000.0,308090000.0,-88425000.0,-48132000.0,-146802000.0,182.67,0
2016-09-30,1510456000.0,1174276000.0,336180100.0,6400000.0,329780000.0,295394000.0,7.11,343807000.0,329780000.0,41101000.0,435795000.0,2802296000.0,3238091000.0,18424990000.0,21663080000.0,12648240000.0,633122000.0,973747000.0,13621990000.0,8041092000.0,14027000.0,277182000.0,-34366000.0,-47459000.0,-238625000.0,189.97,0
2016-12-31,1613960000.0,1183507000.0,430453100.0,5828000.0,424625100.0,373571900.0,9.14,435638100.0,424625100.0,41329000.0,481922000.0,2682019000.0,3163941000.0,18157560000.0,21321500000.0,12231070000.0,633176000.0,1015039000.0,13246110000.0,8075396000.0,11013000.0,422852000.0,-326899000.0,-51087000.0,-53289000.0,216.4,0
2017-03-31,1484778000.0,1128944000.0,355833900.0,8457000.0,347376800.0,291643000.0,7.12,359122800.0,347376800.0,40529000.0,468240000.0,2892822000.0,3361062000.0,18831890000.0,22192950000.0,12657670000.0,633231000.0,1187408000.0,13845080000.0,8347876000.0,11746000.0,381812000.0,-334287000.0,-51281000.0,-69427000.0,233.81,0
2017-06-30,1530611000.0,1240100000.0,290510900.0,6919000.0,283591900.0,245674000.0,5.98,294320900.0,283591900.0,40624000.0,469205000.0,3035431000.0,3504636000.0,19017250000.0,22521890000.0,12973170000.0,633285000.0,963927000.0,13937090000.0,8584798000.0,10729000.0,252550000.0,-195171000.0,-51304000.0,-51412000.0,254.59,0
2017-09-30,1725471000.0,2616340000.0,-890869100.0,5932000.0,-896801000.0,-639374000.0,-15.73,-884619000.0,-896801000.0,40638000.0,585395000.0,3853786000.0,4439181000.0,19497090000.0,23936270000.0,15046400000.0,633340000.0,920543000.0,15966940000.0,7969331000.0,12182000.0,409856000.0,-235037000.0,-51302000.0,-51405000.0,228.39,0
2017-12-31,1881438000.0,1159977000.0,721461400.0,4615000.0,716846300.0,584808000.0,13.92,728056300.0,716845900.0,40595000.0,635067000.0,3492545000.0,4127612000.0,19464180000.0,23591790000.0,14174660000.0,633395000.0,1047895000.0,15222560000.0,8369232000.0,11210000.0,118475000.0,31918000.0,-53355000.0,-103214000.0,221.26,0
