,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,11070000000.0,10029000000.0,1041000000.0,1119000000.0,761000000.0,2.37,1351000000.0,1119000000.0,321700000.0,3065000000.0,6968000000.0,2895000000.0,14872000000.0,24708000000.0,39580000000.0,150000000.0,12625000000.0,6154000000.0,26651000000.0,39276000000.0,304000000.0,232000000.0,2085000000.0,-106000000.0,-148000000.0,-371000000.0,-770000000.0,96.52
2013-06-30,11408000000.0,10184000000.0,1224000000.0,1298000000.0,859000000.0,2.68,1538000000.0,1298000000.0,320800000.0,2845000000.0,6826000000.0,2895000000.0,14379000000.0,24568000000.0,38947000000.0,0.0,12253000000.0,6140000000.0,26000000000.0,38253000000.0,694000000.0,240000000.0,623000000.0,-176000000.0,-191000000.0,-371000000.0,-652000000.0,108.46
2013-09-30,11347000000.0,10163000000.0,1184000000.0,1254000000.0,873000000.0,2.7199999999999998,1486000000.0,1254000000.0,321300000.0,2661000000.0,6919000000.0,2920000000.0,14119000000.0,24788000000.0,38907000000.0,0.0,12293000000.0,6156000000.0,25337000000.0,37630000000.0,1277000000.0,232000000.0,900000000.0,-209000000.0,-445000000.0,-370000000.0,-639000000.0,127.55
2013-12-31,11533000000.0,10795000000.0,738000000.0,834000000.0,488000000.0,1.53,1120000000.0,834000000.0,320900000.0,2617000000.0,5834000000.0,2977000000.0,13329000000.0,22859000000.0,36188000000.0,0.0,11120000000.0,6152000000.0,20150000000.0,31270000000.0,4918000000.0,286000000.0,938000000.0,-345000000.0,-337000000.0,-428000000.0,-645000000.0,148.66
2014-03-31,10650000000.0,9279000000.0,1371000000.0,1432000000.0,933000000.0,2.92,1669000000.0,1432000000.0,319100000.0,3264000000.0,6255000000.0,2949000000.0,14234000000.0,22685000000.0,36919000000.0,0.0,11995000000.0,6152000000.0,20124000000.0,32119000000.0,4800000000.0,237000000.0,2100000000.0,-103000000.0,-126000000.0,-444000000.0,-1327000000.0,163.24
2014-06-30,11306000000.0,9965000000.0,1341000000.0,1426000000.0,889000000.0,2.81,1668000000.0,1426000000.0,316800000.0,3436000000.0,6434000000.0,2646000000.0,14163000000.0,23087000000.0,37250000000.0,0.0,12147000000.0,6169000000.0,20784000000.0,32931000000.0,4319000000.0,242000000.0,977000000.0,-150000000.0,-300000000.0,-421000000.0,-505000000.0,160.73
2014-09-30,11114000000.0,9839000000.0,1275000000.0,1392000000.0,888000000.0,2.81,1639000000.0,1392000000.0,316300000.0,2963000000.0,6081000000.0,2898000000.0,13684000000.0,23249000000.0,36933000000.0,0.0,12133000000.0,6165000000.0,20226000000.0,32359000000.0,4574000000.0,247000000.0,990000000.0,-203000000.0,-638000000.0,-421000000.0,-825000000.0,182.78
2014-12-31,6876000000.0,6180000000.0,696000000.0,762000000.0,904000000.0,2.87,1030000000.0,762000000.0,316800000.0,1446000000.0,5877000000.0,2804000000.0,12322000000.0,24724000000.0,37046000000.0,0.0,11112000000.0,6142000000.0,22534000000.0,33646000000.0,3400000000.0,268000000.0,-201000000.0,-389000000.0,-659000000.0,-474000000.0,-657000000.0,192.57
2015-03-31,10111000000.0,8848000000.0,1263000000.0,1356000000.0,878000000.0,2.7800000000000002,1600000000.0,1356000000.0,315400000.0,3486000000.0,6545000000.0,3087000000.0,15218000000.0,24534000000.0,39752000000.0,0.0,11567000000.0,8404000000.0,24665000000.0,36232000000.0,3520000000.0,244000000.0,957000000.0,-118000000.0,-92000000.0,-498000000.0,1175000000.0,202.96
2015-06-30,11643000000.0,10272000000.0,1371000000.0,1445000000.0,929000000.0,2.98,1691000000.0,1445000000.0,312000000.0,3202000000.0,7064000000.0,3032000000.0,15287000000.0,24561000000.0,39848000000.0,452000000.0,12624000000.0,7950000000.0,24242000000.0,36866000000.0,2982000000.0,246000000.0,1263000000.0,-191000000.0,-126000000.0,-467000000.0,-1421000000.0,185.9
