,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1224000000.0,935000000.0,289000000.0,90000000.0,56000000.0,0.08,274000000.0,90000000.0,728200000.0,1110000000.0,96000000.0,1206000000.0,12131000000.0,13337000000.0,0.0,165000000.0,5534000000.0,6062000000.0,6227000000.0,7110000000.0,184000000.0,176000000.0,151000000.0,147000000.0,-65000000.0,334000000.0,17.49
2013-06-30,1399000000.0,986000000.0,413000000.0,205000000.0,119000000.0,0.16,386000000.0,205000000.0,745200000.0,428000000.0,130000000.0,558000000.0,12107000000.0,12665000000.0,0.0,175000000.0,4724000000.0,5276000000.0,5451000000.0,7214000000.0,181000000.0,284000000.0,13000000.0,-172000000.0,-75000000.0,-788000000.0,16.87
2013-09-30,1211000000.0,930000000.0,281000000.0,79000000.0,19000000.0,0.03,262000000.0,79000000.0,749000000.0,390000000.0,85000000.0,475000000.0,12088000000.0,12563000000.0,0.0,193000000.0,4560000000.0,5108000000.0,5301000000.0,7262000000.0,183000000.0,237000000.0,-72000000.0,-127000000.0,-82000000.0,-152000000.0,17.67
2013-12-31,1332000000.0,985000000.0,347000000.0,138000000.0,123000000.0,0.16,322000000.0,138000000.0,744400000.0,893000000.0,52000000.0,945000000.0,11869000000.0,12814000000.0,0.0,214000000.0,4759000000.0,5338000000.0,5552000000.0,7262000000.0,184000000.0,322000000.0,92000000.0,77000000.0,-91000000.0,113000000.0,19.44
2014-03-31,1309000000.0,972000000.0,337000000.0,134000000.0,179000000.0,0.24,312000000.0,134000000.0,754900000.0,425000000.0,111000000.0,536000000.0,11673000000.0,12209000000.0,0.0,185000000.0,4093000000.0,4675000000.0,4860000000.0,7349000000.0,178000000.0,171000000.0,196000000.0,134000000.0,-98000000.0,-775000000.0,20.24
2014-06-30,1431000000.0,1003000000.0,428000000.0,225000000.0,155000000.0,0.21,406000000.0,225000000.0,755400000.0,473000000.0,129000000.0,602000000.0,11613000000.0,12215000000.0,0.0,202000000.0,4030000000.0,4629000000.0,4831000000.0,7384000000.0,181000000.0,354000000.0,-121000000.0,-122000000.0,-106000000.0,-185000000.0,22.01
2014-09-30,1294000000.0,959000000.0,335000000.0,202000000.0,144000000.0,0.19,385000000.0,202000000.0,755600000.0,418000000.0,156000000.0,574000000.0,11561000000.0,12135000000.0,0.0,244000000.0,4012000000.0,4541000000.0,4785000000.0,7350000000.0,183000000.0,239000000.0,-97000000.0,-180000000.0,-114000000.0,-105000000.0,21.33
2014-12-31,1287000000.0,967000000.0,320000000.0,133000000.0,254000000.0,0.34,308000000.0,133000000.0,755400000.0,684000000.0,70000000.0,754000000.0,11418000000.0,12172000000.0,0.0,298000000.0,3957000000.0,4506000000.0,4804000000.0,7368000000.0,175000000.0,376000000.0,91000000.0,82000000.0,-151000000.0,-154000000.0,23.77
2015-03-31,1302000000.0,972000000.0,330000000.0,133000000.0,98000000.0,0.13,312000000.0,133000000.0,756000000.0,485000000.0,149000000.0,634000000.0,11376000000.0,12010000000.0,0.0,224000000.0,3968000000.0,4463000000.0,4687000000.0,7323000000.0,179000000.0,164000000.0,-137000000.0,-165000000.0,-197000000.0,-198000000.0,20.18
2015-06-30,1439000000.0,1016000000.0,423000000.0,222000000.0,212000000.0,0.28,407000000.0,222000000.0,753900000.0,265000000.0,135000000.0,400000000.0,11641000000.0,12041000000.0,0.0,230000000.0,4053000000.0,4549000000.0,4779000000.0,7262000000.0,185000000.0,385000000.0,-20000000.0,-399000000.0,-151000000.0,-208000000.0,19.83
