,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,148005000.0,48027000.0,99978000.0,6239000.0,46565000.0,25203000.0,0.68,94418000.0,46565000.0,37004000.0,55634000.0,66993000.0,4869466000.0,4936459000.0,0.0,86461000.0,2773538000.0,2861434000.0,2947895000.0,1988564000.0,47853000.0,85692000.0,-184496000.0,-105737000.0,-45147000.0,32283000.0,150.58
2013-06-30,150815000.0,48296000.0,102519000.0,6589000.0,48089000.0,24946000.0,0.67,97723000.0,48089000.0,37293000.0,45384000.0,155928000.0,4903070000.0,5058998000.0,0.0,76410000.0,2925616000.0,3008195000.0,3084605000.0,1974393000.0,49634000.0,64894000.0,-32245000.0,-175944000.0,-52262000.0,100423000.0,158.92
2013-09-30,153948000.0,50322000.0,103626000.0,6263000.0,48899000.0,68788000.0,1.8399999999999999,98521000.0,48899000.0,37321000.0,55994000.0,123622000.0,4961980000.0,5085602000.0,0.0,83844000.0,2920756000.0,3003705000.0,3087549000.0,1998053000.0,49622000.0,74496000.0,-44327000.0,-27306000.0,-50845000.0,-57898000.0,147.7
2013-12-31,157822000.0,52392000.0,105430000.0,7593000.0,45152000.0,31874000.0,0.85,96377000.0,45152000.0,37249000.0,53766000.0,122021000.0,5064818000.0,5186839000.0,0.0,67183000.0,3033524000.0,3117069000.0,3184252000.0,2002587000.0,51225000.0,79900000.0,-144175000.0,-144709000.0,-50902000.0,73791000.0,143.51
2014-03-31,161009000.0,52306000.0,108703000.0,7583000.0,34561000.0,21912000.0,0.58,85921000.0,34561000.0,37685000.0,48671000.0,84776000.0,6548266000.0,6633042000.0,0.0,83470000.0,2954297000.0,2987819000.0,3071289000.0,3561753000.0,51360000.0,91894000.0,-52599000.0,-60590000.0,-100357000.0,-29877000.0,170.05
2014-06-30,259788000.0,83558000.0,176230000.0,9558000.0,38354000.0,1207000.0,0.08,133787000.0,38354000.0,61885000.0,47538000.0,114060000.0,11234300000.0,11348360000.0,0.0,132424000.0,5065979000.0,5243757000.0,5376181000.0,5972182000.0,95433000.0,97096000.0,-146177000.0,-675547000.0,-2114000.0,436126000.0,184.91
2014-09-30,270873000.0,88062000.0,182811000.0,11479000.0,65138000.0,53566000.0,0.85,160693000.0,65138000.0,62893000.0,88000000.0,110973000.0,11555590000.0,11666560000.0,0.0,167160000.0,5226125000.0,5405959000.0,5573117000.0,6093443000.0,95555000.0,169171000.0,-363635000.0,-416198000.0,-88146000.0,246958000.0,178.75
2014-12-31,279268000.0,88620000.0,190648000.0,12258000.0,63461000.0,40174000.0,0.63,157708000.0,63461000.0,56547000.0,95749000.0,120672000.0,11406060000.0,11526730000.0,0.0,135162000.0,5080689000.0,5255502000.0,5390664000.0,6136068000.0,94247000.0,135151000.0,2994000.0,5179000.0,-87422000.0,-132597000.0,206.6
2015-03-31,282873000.0,87171000.0,195702000.0,10545000.0,75315000.0,59363000.0,0.92,172836000.0,75315000.0,64185000.0,255230000.0,284184000.0,11800970000.0,12085160000.0,0.0,162100000.0,5436053000.0,5622203000.0,5784303000.0,6300856000.0,97521000.0,162549000.0,-250966000.0,-286856000.0,-87237000.0,316090000.0,229.9
2015-06-30,296162000.0,90077000.0,206085000.0,9549000.0,80966000.0,45555000.0,0.7000000000000001,187181000.0,80966000.0,64810000.0,65152000.0,90828000.0,11954180000.0,12045000000.0,0.0,146251000.0,5369331000.0,5554113000.0,5700364000.0,6344640000.0,106215000.0,124499000.0,-178285000.0,-288298000.0,-100815000.0,-27357000.0,212.5
2015-09-30,304626000.0,94119000.0,210507000.0,11129000.0,82689000.0,42323000.0,0.65,191823000.0,82689000.0,65139000.0,72306000.0,94974000.0,11917740000.0,12012720000.0,0.0,177807000.0,5317420000.0,5503087000.0,5680897000.0,6331823000.0,109134000.0,200860000.0,-71756000.0,-85167000.0,-99737000.0,-110267000.0,223.42
2015-12-31,310746000.0,92141000.0,218605000.0,8867000.0,92204100.0,79624000.0,1.22,201007000.0,92204000.0,64872000.0,123055000.0,142340000.0,11866040000.0,12008380000.0,0.0,131415000.0,5318757000.0,5539946000.0,5671361000.0,6337023000.0,108803000.0,130260000.0,-10234000.0,-65235000.0,-100523000.0,-71010000.0,239.41
2016-03-31,314202000.0,94490000.0,219712000.0,9182000.0,99995000.0,77981000.0,1.19,202151000.0,99995000.0,65406000.0,80483000.0,98681000.0,11968800000.0,12067480000.0,0.0,170444000.0,5352802000.0,5655800000.0,5826244000.0,6241240000.0,102156000.0,200610000.0,-114796000.0,-80759000.0,-100334000.0,-101370000.0,233.86
2016-06-30,321590000.0,96079000.0,225511000.0,9698000.0,105873000.0,72013000.0,1.1,208042000.0,105873000.0,65451000.0,215376000.0,235824000.0,11970870000.0,12206690000.0,0.0,145217000.0,5618286000.0,5846398000.0,5991615000.0,6215076000.0,102169000.0,149743000.0,-57172000.0,-100373000.0,-114034000.0,84981000.0,228.09
2016-09-30,329171000.0,99361000.0,229810000.0,9647000.0,109412000.0,65561000.0,1.0,212731000.0,109412000.0,65508000.0,211055000.0,233996000.0,11943200000.0,12177200000.0,0.0,185185000.0,5584687000.0,5808109000.0,5993298000.0,6183902000.0,103319000.0,230144000.0,-66139000.0,-83683000.0,-111760000.0,-133809000.0,222.7
2016-12-31,329038000.0,68887000.0,260151000.0,12224000.0,105520000.0,195569000.0,2.98,210113000.0,105520000.0,65472000.0,170302000.0,211272000.0,12006140000.0,12217410000.0,0.0,138226000.0,5563260000.0,5786945000.0,5925171000.0,6292237000.0,104593000.0,136295000.0,-62299000.0,-148256000.0,-110340000.0,-106276000.0,232.5
2017-03-31,335404000.0,99513000.0,235891000.0,10601000.0,109231000.0,178964000.0,2.73,217852000.0,109231000.0,65549000.0,100252000.0,151107000.0,12296320000.0,12447430000.0,0.0,184778000.0,5602507000.0,5873646000.0,6058424000.0,6389003000.0,108621000.0,223306000.0,-110269000.0,-179899000.0,-110282000.0,-113457000.0,231.53
