,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,301357000.0,103730000.0,197627000.0,10039000.0,43855000.0,75427000.0,0.63,149909000.0,43855000.0,119681000.0,541106000.0,541106000.0,14646260000.0,15187360000.0,0.0,340908000.0,5928289000.0,6187568000.0,6528476000.0,8658888000.0,106054000.0,81388000.0,-646243000.0,-649581000.0,-110979000.0,-1717969000.0,126.67
2013-06-30,378207000.0,128876000.0,249331000.0,11345000.0,1034000.0,36218000.0,0.28,185707000.0,1034000.0,129179000.0,205547000.0,205547000.0,14766640000.0,14972180000.0,0.0,263924000.0,5853319000.0,6144499000.0,6408422000.0,8563763000.0,184673000.0,185823000.0,-267253000.0,-234769000.0,-138463000.0,-287363000.0,134.91
2013-09-30,389189000.0,139041000.0,250148000.0,9878000.0,-19208000.0,-10715000.0,-0.08,138364000.0,-19208000.0,129209000.0,211339000.0,211339000.0,14933770000.0,15145110000.0,0.0,278109000.0,6097632000.0,6393668000.0,6671777000.0,8473330000.0,157572000.0,202712000.0,-329427000.0,-310661000.0,-138478000.0,109712000.0,127.09
2013-12-31,394168000.0,139372000.0,254796000.0,8311000.0,43060100.0,252211000.0,1.9500000000000002,147189100.0,43060200.0,126856000.0,379919000.0,379919000.0,14948220000.0,15328140000.0,0.0,283191000.0,6134351000.0,6445225000.0,6728413000.0,8599727000.0,104129000.0,254392000.0,10806000.0,13837000.0,-138479000.0,-99784000.0,118.23
2014-03-31,400075000.0,143027000.0,257048000.0,9236000.0,98197000.0,141739000.0,1.09,200923000.0,98197000.0,129289000.0,476853000.0,476853000.0,15093390000.0,15570240000.0,0.0,274433000.0,6381798000.0,6688735000.0,6963169000.0,8607071000.0,102726000.0,220317000.0,-237792000.0,-224364000.0,-138484000.0,108696000.0,131.32
2014-06-30,413806000.0,143498000.0,270308000.0,10220000.0,103542000.0,158086000.0,1.22,209378000.0,103542000.0,129856000.0,519126000.0,519126000.0,15138830000.0,15657950000.0,0.0,268385000.0,6254874000.0,6568034000.0,6836419000.0,8821532000.0,105836000.0,189394000.0,-149161000.0,-87152000.0,-150313000.0,-62505000.0,142.19
2014-09-30,430525000.0,150208000.0,280317000.0,11290000.0,110409000.0,241100000.0,1.83,219291000.0,110409000.0,131330000.0,535692000.0,535692000.0,15345490000.0,15881180000.0,0.0,279297000.0,6241768000.0,6556599000.0,6835896000.0,9045282000.0,108882000.0,231718000.0,-326962000.0,-184979000.0,-152123000.0,-32452000.0,140.97
2014-12-31,440655000.0,152573000.0,288081900.0,10679000.0,122186900.0,142642000.0,1.08,232773900.0,122187000.0,130587000.0,605085000.0,605085000.0,15535490000.0,16140580000.0,0.0,285752000.0,6489707000.0,6808421000.0,7094173000.0,9046405000.0,110587000.0,245212000.0,-330276000.0,-320265000.0,-153011000.0,144485000.0,163.39
2015-03-31,442367000.0,159954000.0,282413000.0,10468000.0,108332000.0,208144000.0,1.57,222227000.0,108332000.0,131884000.0,297716000.0,297716000.0,15966030000.0,16263750000.0,0.0,282619000.0,6562331000.0,6883617000.0,7166236000.0,9097512000.0,113895000.0,236380000.0,-474807000.0,-442199000.0,-153195000.0,-107529000.0,174.25
2015-06-30,457459000.0,157982000.0,299477000.0,10335000.0,133001000.0,172324000.0,1.3,251405000.0,133001000.0,131978000.0,168805000.0,168805000.0,16151670000.0,16320480000.0,0.0,282942000.0,6487130000.0,6827049000.0,7109991000.0,9210485000.0,118404000.0,255522000.0,-306865000.0,-252150000.0,-165251000.0,-134358000.0,159.87
2015-09-30,475360000.0,166071000.0,309289000.0,10464000.0,151003000.0,206142000.0,1.54,271894000.0,151003000.0,133670000.0,420445000.0,420445000.0,16361530000.0,16781980000.0,0.0,307099000.0,6306727000.0,6645427000.0,6952527000.0,9829453000.0,120891000.0,302370000.0,-296987000.0,-292166000.0,-166107000.0,243227000.0,174.82
2015-12-31,480842000.0,158239000.0,322603000.0,11507000.0,145047900.0,155428000.0,1.13,267711900.0,145047900.0,133565700.0,505328000.0,505328000.0,16425980000.0,16931300000.0,0.0,300090000.0,6456948000.0,6790689000.0,7090779000.0,9840526000.0,122664000.0,280395000.0,-264369000.0,-213002000.0,-171105000.0,23753000.0,184.13
2016-03-31,508498000.0,166693000.0,341805000.0,11404000.0,156313000.0,237931000.0,1.73,284521000.0,156313000.0,136786000.0,267902000.0,267902000.0,16775490000.0,17043390000.0,0.0,343564000.0,6502580000.0,6853294000.0,7196858000.0,9846532000.0,128208000.0,277782000.0,-382783000.0,-384727000.0,-171265000.0,-196021000.0,190.2
2016-06-30,502307000.0,170010000.0,332297000.0,12011000.0,137339000.0,197444000.0,1.44,271689000.0,137339000.0,136919000.0,287691000.0,287691000.0,17107380000.0,17395070000.0,0.0,348701000.0,6833991000.0,7189848000.0,7538548000.0,9856519000.0,134350000.0,275396000.0,-286200000.0,-327764000.0,-185193000.0,137133000.0,180.39
2016-09-30,516211000.0,177127000.0,339084000.0,11928000.0,143752000.0,356392000.0,2.6,276229000.0,143752000.0,136998000.0,232188000.0,232188000.0,17356470000.0,17588660000.0,0.0,379276000.0,6815970000.0,7172757000.0,7552040000.0,10036620000.0,132477000.0,307549000.0,-238077100.0,-154100000.0,-185360000.0,-269856000.0,177.84
2016-12-31,518239000.0,169444000.0,348795000.0,10428000.0,142865000.0,242235000.0,1.76,283141000.0,142865100.0,136928300.0,329977000.0,329977000.0,17537290000.0,17867270000.0,0.0,312983000.0,7030880000.0,7382872000.0,7695850000.0,10171420000.0,140276000.0,299545000.0,-227416900.0,-165761000.0,-185379000.0,25473000.0,177.15
2017-03-31,522326000.0,175974000.0,346352000.0,13206000.0,142502000.0,235875000.0,1.72,284647000.0,142502000.0,137069000.0,368720000.0,368720000.0,17609700000.0,17978420000.0,0.0,347780000.0,7005729000.0,7364019000.0,7711799000.0,10266620000.0,142145000.0,299895000.0,-110032000.0,-108880000.0,-185307000.0,-152272000.0,183.6
2017-06-30,530512000.0,180253000.0,350259000.0,13947000.0,120039000.0,165225000.0,1.2,267031000.0,120039000.0,137581000.0,293153000.0,293153000.0,17650590000.0,17943740000.0,0.0,310820000.0,6991759000.0,7350513000.0,7661330000.0,10282410000.0,146992000.0,275761000.0,-144104000.0,-144844000.0,-195650000.0,-206484000.0,192.17
2017-09-30,550500000.0,187288000.0,363212000.0,11655000.0,158037000.0,238248000.0,1.73,309404000.0,158037000.0,137715000.0,217111000.0,217111000.0,17960730000.0,18177840000.0,0.0,367470000.0,7128030000.0,7476554000.0,7844024000.0,10333810000.0,151367000.0,358122000.0,-427725000.0,-371028000.0,-196077000.0,-63136000.0,178.42
2017-12-31,555290000.0,178784000.0,376506000.0,14887000.0,150037100.0,235110000.0,1.72,313345100.0,150037000.0,137524000.0,201906000.0,201906000.0,18212910000.0,18414820000.0,0.0,351305000.0,7329470000.0,7675470000.0,8026775000.0,10388050000.0,163308000.0,322479000.0,-331354000.0,-340629000.0,-196083000.0,2945000.0,178.41
2018-03-31,560792000.0,191153000.0,369639000.0,14431000.0,139839000.0,141643000.0,1.03,305353000.0,139839000.0,137764000.0,271407000.0,271407000.0,18375040000.0,18646450000.0,0.0,359537000.0,7599455000.0,7951786000.0,8311323000.0,10335120000.0,165514000.0,315913000.0,-317671000.0,-319280000.0,-196114000.0,72868000.0,164.46
2018-06-30,569239000.0,190830000.0,378409000.0,15209000.0,148241000.0,254662000.0,1.8399999999999999,313488000.0,148241000.0,137840000.0,349897000.0,349897000.0,18321110000.0,18671010000.0,0.0,337164000.0,7571278000.0,7935656000.0,8272820000.0,10398190000.0,165247000.0,309384000.0,-26620000.0,2599000.0,-203186000.0,-233493000.0,171.89
2018-09-30,575982000.0,193467000.0,382515000.0,14744000.0,154935000.0,192486000.0,1.3900000000000001,319398000.0,154935000.0,137849000.0,281591000.0,281591000.0,18380530000.0,18662120000.0,0.0,367373000.0,7533228000.0,7897348000.0,8264721000.0,10397400000.0,164463000.0,355260000.0,-200252000.0,-178775000.0,-203206000.0,-244791000.0,181.15
2018-12-31,578522000.0,191106000.0,387416000.0,15985000.0,141668000.0,385734100.0,2.79,307560000.0,141668000.0,137845000.0,217864000.0,217864000.0,18162340000.0,18380200000.0,0.0,344348000.0,7040263000.0,7403246000.0,7747594000.0,10632610000.0,165892000.0,320554000.0,-137650000.0,-101195000.0,-203201000.0,-283086000.0,174.05
2019-03-31,566184000.0,184784000.0,381400000.0,13706000.0,156843000.0,170366000.0,1.23,326607000.0,156843000.0,138331000.0,195207000.0,195207000.0,18320410000.0,18639980000.0,0.0,345413000.0,7040067000.0,7420135000.0,7905984000.0,10734000000.0,169764000.0,361786000.0,-318725000.0,-313186000.0,-203623000.0,-71257000.0,200.73
2019-06-30,577263000.0,195111000.0,382152000.0,18965000.0,148489000.0,168281000.0,1.21,321547000.0,148489000.0,139113000.0,330044000.0,330044000.0,18480150000.0,18932570000.0,0.0,306655000.0,7352217000.0,7737227000.0,8182045000.0,10750530000.0,173058000.0,275946000.0,-278114000.0,-276838000.0,-211922000.0,135729000.0,203.18
2019-09-30,587613000.0,197819000.0,389794000.0,12769000.0,159801000.0,279677000.0,2.0,334646000.0,159801000.0,139340000.0,334754000.0,334754000.0,18604490000.0,19060470000.0,0.0,374850000.0,7361279000.0,7733839000.0,8245394000.0,10815070000.0,174845000.0,377190000.0,-156829000.0,-167180000.0,-212292000.0,-205300000.0,215.33
