,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,227015000.0,57444000.0,169571000.0,34020000.0,74345000.0,53197000.0,0.13,137118000.0,74345000.0,406662000.0,166894000.0,403765000.0,9658070000.0,10061830000.0,0.0,0.0,4451073000.0,5106047000.0,5106047000.0,4955788000.0,62773000.0,149885000.0,-66272000.0,-161597000.0,-97744000.0,36731000.0,22.4
2013-06-30,227119000.0,58090000.0,169029000.0,31319000.0,51179000.0,36566000.0,0.09,115448000.0,51179000.0,407640000.0,156450000.0,390936000.0,9597535000.0,9988471000.0,0.0,0.0,4464774000.0,5122190000.0,5122190000.0,4866281000.0,64269000.0,115643000.0,-18139000.0,64145000.0,-101420000.0,-190232000.0,21.43
2013-09-30,221463000.0,55238000.0,166225000.0,30828000.0,16712000.0,41190000.0,0.1,81090000.0,16712000.0,408060000.0,401730000.0,607564000.0,9345515000.0,9953079000.0,0.0,0.0,4380652000.0,5112927000.0,5112927000.0,4840152000.0,64378000.0,268313000.0,70922000.0,167738000.0,-100590000.0,-190771000.0,20.18
2013-12-31,185929900.0,50726000.0,135203900.0,31303000.0,107229900.0,47034000.0,0.12,173664900.0,107229900.0,407631000.0,148768000.0,343337000.0,9320293000.0,9663630000.0,0.0,124290000.0,4221401000.0,4769814000.0,4894104000.0,4769526000.0,66435000.0,36194000.0,-62231000.0,1949000.0,-100600000.0,-291105000.0,19.75
2014-03-31,228193000.0,58731000.0,169462000.0,37121000.0,74668000.0,72427000.0,0.18,136334000.0,74668000.0,408367000.0,268911000.0,450914000.0,9382783000.0,9833697000.0,0.0,0.0,4380346000.0,5091367000.0,5091367000.0,4742330000.0,61666000.0,181513000.0,-46037000.0,-5826000.0,-106762000.0,-55544000.0,21.88
2014-06-30,245958000.0,63201000.0,182757000.0,28773000.0,64490000.0,74939000.0,0.18,132120000.0,64490000.0,408902000.0,192183000.0,377798000.0,9812574000.0,10190370000.0,0.0,0.0,4730371000.0,5441653000.0,5441651000.0,4748719000.0,67630000.0,144584000.0,-207261000.0,-166153000.0,-106937000.0,-55159000.0,22.98
2014-09-30,255234000.0,65590000.0,189644000.0,28632000.0,90390000.0,180135000.0,0.44,161008000.0,90390000.0,409326000.0,154190000.0,338072000.0,9955139000.0,10293210000.0,0.0,0.0,4697317000.0,5457514000.0,5457513000.0,4835697000.0,70618000.0,183908000.0,80387000.0,99886000.0,-107050000.0,-321787000.0,21.91
2014-12-31,264512000.0,71095000.0,193417000.0,27675000.0,80767000.0,38206000.0,0.09,153945900.0,80767000.0,409088000.0,187322000.0,433721000.0,9827679000.0,10261400000.0,0.0,129509000.0,4595970000.0,5230125000.0,5359635000.0,4901765000.0,73179000.0,119338000.0,719517000.0,198798000.0,-107124000.0,-285004000.0,25.14
2015-03-31,283456000.0,73528000.0,209928000.0,32705000.0,93966000.0,295769000.0,0.72,168535000.0,93966000.0,410433000.0,220977000.0,472762000.0,11261130000.0,11733890000.0,0.0,0.0,5721251000.0,6526956000.0,6526958000.0,5206932000.0,74569000.0,163090000.0,-488095000.0,-607456000.0,-113400000.0,478021000.0,26.85
2015-06-30,294061000.0,75821000.0,218240000.0,29307000.0,92212000.0,112427000.0,0.27,172367000.0,92212000.0,411317000.0,145832000.0,346590000.0,11120710000.0,11467300000.0,0.0,0.0,5537772000.0,6331790000.0,6331786000.0,5135514000.0,80155000.0,122905000.0,8102000.0,127975000.0,-113623000.0,-326025000.0,22.54
