,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2013-03-31,770256000.0,624085000.0,146171000.0,87594000.0,60671000.0,35041000.0,7.04,64398000.0,61626000.0,4979000.0,1215238000.0,14536000.0,841850000.0,2071624000.0,593431000.0,2665055000.0,384377000.0,599010000.0,728586000.0,1112963000.0,1552092000.0,2772000.0,-78093000.0,-3339000.0,-14006000.0,0.0,26323000.0,1080.11,0
2013-06-30,1009892000.0,834288000.0,175604000.0,92372000.0,85555000.0,50690000.0,10.37,89678000.0,86602000.0,4889000.0,953550000.0,14822000.0,940280000.0,1908652000.0,622515000.0,2531167000.0,470188000.0,599031000.0,740700000.0,1210888000.0,1320279000.0,3076000.0,-12421000.0,-4492000.0,-2701000.0,0.0,-294185000.0,922.0,0
2013-09-30,1188967000.0,964416000.0,224551000.0,89923000.0,137272100.0,82935000.0,18.08,142195100.0,138668100.0,4588000.0,965517000.0,13137000.0,917070000.0,1895724000.0,623173000.0,2518897000.0,519488000.0,599053000.0,724315000.0,1243803000.0,1275094000.0,3527000.0,178679000.0,-5857000.0,-1846000.0,0.0,-141060000.0,919.19,0
2013-12-31,1242152000.0,1001415000.0,240737000.0,85734000.0,157582900.0,97811000.0,21.74,163183900.0,159167800.0,4737000.0,1076226000.0,9529000.0,738565000.0,1824320000.0,661828000.0,2486148000.0,519688000.0,599075000.0,705108000.0,1224796000.0,1261352000.0,4016000.0,182057000.0,-4721000.0,-15924000.0,0.0,-114077000.0,1026.01,0
2014-03-31,811310000.0,655152000.0,156158000.0,102897000.0,55501000.0,23849000.0,5.34,60395000.0,56685000.0,4467000.0,1002372000.0,10055000.0,841998000.0,1854425000.0,670328000.0,2524753000.0,476630000.0,599098000.0,722041000.0,1198671000.0,1326082000.0,3710000.0,-15786000.0,-5291000.0,5000.0,0.0,28851000.0,1147.0,0
2014-06-30,1102054000.0,882778000.0,219275900.0,106200000.0,114546900.0,68178000.0,15.68,119587900.0,115371900.0,4349000.0,722329000.0,15196000.0,952505000.0,1690030000.0,692033000.0,2382063000.0,551873000.0,599120000.0,730975000.0,1282848000.0,1099215000.0,4216000.0,-1294000.0,-15151000.0,-12165000.0,0.0,-312159000.0,1150.6,0
2014-09-30,1203166000.0,960055000.0,243111000.0,96063000.0,149566000.0,90152000.0,21.49,155596000.0,150939000.0,4196000.0,662292000.0,11465000.0,1013733000.0,1687490000.0,725586000.0,2413076000.0,540135000.0,599143000.0,721547000.0,1261682000.0,1151394000.0,4657000.0,-24781000.0,-6256000.0,-5828000.0,0.0,-56803000.0,1130.02,0
2014-12-31,1328038000.0,1070601000.0,257436900.0,102707000.0,157072100.0,99451000.0,24.22,163661100.0,158630000.0,4278000.0,750602100.0,10021000.0,869486000.0,1630109000.0,721226000.0,2351335000.0,519477000.0,599166000.0,707603000.0,1227080000.0,1124255000.0,5031000.0,226410000.0,-3953000.0,-1094000.0,0.0,-146190000.0,1275.33,0
2015-03-31,957749000.0,781668000.0,176081000.0,109708000.0,68281000.0,39058000.0,9.63,74640000.0,69359000.0,4057000.0,685752900.0,10024000.0,954581000.0,1650358000.0,725776000.0,2376134000.0,484165000.0,599189000.0,726732100.0,1210897000.0,1165237000.0,5281000.0,-1603000.0,-4755000.0,536000.0,0.0,-11839000.0,1328.66,0
2015-06-30,1243633000.0,986854000.0,256779100.0,104807000.0,154640000.0,93395000.0,22.97,161403000.0,155943000.0,4066000.0,761149000.0,15987000.0,1085091000.0,1862227000.0,734008000.0,2596235000.0,582106000.0,599213000.0,739248000.0,1321354000.0,1274881000.0,5460000.0,-38806000.0,-3492000.0,533000.0,0.0,3345000.0,1340.0,0
