,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2015-09-30,1402351000.0,1111672000.0,290679000.0,102580000.0,191077000.0,116470000.0,28.75,198490000.0,193049000.0,4050000.0,646367000.0,9850000.0,1161455000.0,1817672000.0,753010000.0,2570682000.0,597264000.0,599237000.0,732928000.0,1330192000.0,1240490000.0,5441000.0,55991000.0,-4745000.0,-1682000.0,0.0,-164432000.0,1525.22,0
2015-12-31,1555275000.0,1238588000.0,316686300.0,106914000.0,212772500.0,134004000.0,34.23,220256500.0,214904500.0,4022000.0,769357000.0,11482000.0,1006526000.0,1787365000.0,724353000.0,2511718000.0,564650000.0,595847000.0,707903000.0,1272553000.0,1239165000.0,5352000.0,211120000.0,-4602000.0,-409000.0,0.0,-172857000.0,1643.0,0
2016-03-31,1144026000.0,925760000.0,218266000.0,112565000.0,108400000.0,65303000.0,16.81,115521000.0,110074000.0,3884000.0,317987000.0,13829000.0,1261135000.0,1592951000.0,948700000.0,2541651000.0,561407000.0,595999000.0,723781000.0,1285188000.0,1256463000.0,5447000.0,-39993000.0,-5232000.0,-1353000.0,0.0,-64988000.0,1732.4,0
2016-06-30,1388183000.0,1126369000.0,261814000.0,114879000.0,149533900.0,91676000.0,23.51,156457900.0,150970900.0,3900000.0,638347000.0,17464000.0,1247614000.0,1903425000.0,794999000.0,2698424000.0,601975000.0,596151000.0,738848000.0,1340823000.0,1357601000.0,5487000.0,52565000.0,-6095000.0,-3292000.0,0.0,-3761000.0,1780.34,0
2016-09-30,1537569000.0,1242292000.0,295277000.0,107826000.0,190627000.0,117392000.0,30.43,198284000.0,192627000.0,3858000.0,552521000.0,13921000.0,1316730000.0,1883172000.0,780044000.0,2663216000.0,622200000.0,596303000.0,741877000.0,1364077000.0,1299139000.0,5657000.0,89865000.0,-4485000.0,-2658000.0,0.0,-189273000.0,1639.87,0
2016-12-31,1752766000.0,1413440000.0,339326300.0,108050000.0,234843100.0,150891000.0,40.25,242979100.0,237301300.0,3847000.0,766781000.0,18937000.0,1092100000.0,1877818000.0,766125000.0,2643943000.0,620811000.0,596455000.0,718691000.0,1339502000.0,1304441000.0,5678000.0,290551000.0,-5557000.0,-3047000.0,0.0,-159373000.0,1669.0,0
2017-03-31,1277092000.0,1026017000.0,251075100.0,116150000.0,137997100.0,102923000.0,27.78,145357100.0,139658100.0,3705000.0,722963000.0,19876000.0,1232434000.0,1975273000.0,767026000.0,2742299000.0,588180000.0,596607000.0,745839000.0,1334019000.0,1408280000.0,5699000.0,108262000.0,-4984000.0,-3277000.0,0.0,-10282000.0,2106.88,0
2017-06-30,1544492000.0,1218083000.0,326408900.0,115034000.0,214882000.0,147877000.0,39.46,222231000.0,216436000.0,3748000.0,788375100.0,22110000.0,1364951000.0,2175436000.0,742651000.0,2918087000.0,618991900.0,596760000.0,763318000.0,1382310000.0,1535777000.0,5795000.0,69946000.0,-4328000.0,-1252000.0,0.0,-31258000.0,2410.61,0
2017-09-30,1667920000.0,1307971000.0,359949100.0,113616000.0,250584100.0,162102000.0,43.26,258130100.0,252537100.0,3747000.0,901309900.0,20448000.0,1376559000.0,2298317000.0,751194000.0,3049511000.0,638784000.0,596913000.0,760051000.0,1398835000.0,1650676000.0,5593000.0,157438000.0,-5694000.0,-3267000.0,0.0,-58414000.0,2855.0,0
2017-12-31,1816336000.0,1438307000.0,378028900.0,116000000.0,267633100.0,124619000.0,33.39,275895100.0,270315000.0,3733000.0,1040977000.0,20026000.0,1246199000.0,2307202000.0,682077000.0,2989279000.0,636688000.0,597066000.0,747099000.0,1383787000.0,1605492000.0,5580000.0,234708000.0,-4416000.0,-7397000.0,0.0,-181687000.0,3508.22,0
2018-03-31,1529414000.0,1211946000.0,317467900.0,124782000.0,197279900.0,166049000.0,45.19,204408900.0,199372900.0,3675000.0,793586100.0,22374000.0,1344392000.0,2160352000.0,685713000.0,2846065000.0,614551000.0,597220000.0,764705900.0,1379257000.0,1466808000.0,5036000.0,78028000.0,-2918000.0,-436000.0,0.0,-316438000.0,2800.0,0
2018-06-30,1787305000.0,1416797000.0,370508100.0,128313000.0,247915200.0,203174000.0,55.9,255818200.0,250830200.0,3635000.0,857158000.0,30179000.0,1433615000.0,2320952000.0,688443000.0,3009395000.0,632418000.0,597373000.0,769406000.0,1401824000.0,1607571000.0,4988000.0,91422000.0,-5908000.0,-2647000.0,0.0,-81006000.0,2970.35,0
2018-09-30,1852407000.0,1472649000.0,379757900.0,130712000.0,255907000.0,195816000.0,54.21,264298000.0,259269000.0,3612000.0,955158900.0,26363000.0,1421070000.0,2402592000.0,687231000.0,3089823000.0,642304000.0,597527000.0,765203000.0,1407507000.0,1682316000.0,5029000.0,322365000.0,-5250000.0,-3404000.0,0.0,-144891000.0,2470.8,0
2018-12-31,1994547000.0,1590735000.0,403812400.0,128905000.0,283710100.0,232158000.0,64.46,292048100.0,286933500.0,3631000.0,1190252000.0,18641000.0,1253110000.0,2462003000.0,703930000.0,3165933000.0,621444000.0,597681000.0,735927000.0,1357371000.0,1808562000.0,5115000.0,231311000.0,-4332000.0,-1690000.0,0.0,-129923000.0,2436.99,0
2019-03-31,1687011000.0,1338806000.0,348205000.0,132492000.0,224821900.0,188406000.0,52.23,232716900.0,227654900.0,3607000.0,1262956000.0,30488000.0,1281169000.0,2574613000.0,788158000.0,3362771000.0,637326000.0,597836000.0,826668900.0,1463995000.0,1898776000.0,5062000.0,227855000.0,-4801000.0,-1879000.0,0.0,-117525000.0,2767.0,0
2019-06-30,1800194000.0,1425388000.0,374806000.0,133044000.0,251013200.0,210209000.0,58.2,258834200.0,253750200.0,3612000.0,1368808000.0,28943000.0,1397728000.0,2795479000.0,807761000.0,3603240000.0,652272000.0,597991000.0,831529100.0,1483801000.0,2119439000.0,5084000.0,74764000.0,-4829000.0,-919000.0,0.0,-8135000.0,3370.25,0
2019-09-30,1911264000.0,1518276000.0,392988000.0,130376000.0,273467000.0,223787000.0,60.94,282030000.0,276807000.0,3672000.0,1526990000.0,29276000.0,1496449000.0,3052715000.0,790644000.0,3843359000.0,645145000.0,598146000.0,826757000.0,1471902000.0,2371457000.0,5223000.0,206817000.0,-5593000.0,-4523000.0,0.0,7357000.0,3717.35,0
2019-12-31,1990195000.0,1567392000.0,422803100.0,131493000.0,301873400.0,256137000.0,69.78,310554400.0,305105700.0,3641000.0,1652648000.0,18278000.0,1347288000.0,3018214000.0,791601000.0,3809815000.0,653007000.0,598301000.0,815564000.0,1468571000.0,2341244000.0,5449000.0,357099000.0,-5606000.0,-5963000.0,0.0,-306392000.0,3808.41,0
2020-03-31,1582528000.0,1294743000.0,287784900.0,128378000.0,167860800.0,175703000.0,47.97,175951800.0,170329800.0,3663000.0,1548935000.0,27089000.0,1515640000.0,3091664000.0,795859000.0,3887523000.0,641355000.0,598455900.0,829249000.0,1470604000.0,2416919000.0,5622000.0,68441000.0,-3258000.0,-3258000.0,0.0,-107720000.0,2569.11,0
2020-06-30,1620368000.0,1284493000.0,335875000.0,121460000.0,219356100.0,164075000.0,44.56,226842100.0,221210100.0,3682000.0,2352933000.0,20801000.0,1602540000.0,3976274000.0,753746000.0,4730020000.0,685867000.0,1193962000.0,1431741000.0,2117608000.0,2612412000.0,5632000.0,302228000.0,-4510000.0,-4548000.0,0.0,612050000.0,3258.75,0
2020-09-30,1990012000.0,1536044000.0,453968000.0,125921000.0,333144000.0,256466000.0,69.19,340913000.0,335366000.0,3706000.0,2933131000.0,21461000.0,1763186000.0,4717778000.0,782142000.0,5499920000.0,776075000.0,1517982000.0,1804852000.0,2580927000.0,2918993000.0,5547000.0,208671000.0,-3896000.0,-4293000.0,0.0,360100000.0,4083.12,0
2020-12-31,2344015000.0,1822121000.0,521894400.0,133975000.0,398544800.0,305004000.0,82.08,406120800.0,400929400.0,3692000.0,3259273000.0,18299000.0,1709082000.0,4986654000.0,790487000.0,5777141000.0,843258000.0,1517395000.0,1830809000.0,2674067000.0,3103074000.0,5191000.0,345929000.0,-3459000.0,8166000.0,0.0,-136788000.0,4079.86,0
2021-03-31,2041446000.0,1577453000.0,463993000.0,143075000.0,325403100.0,248762000.0,67.72,332638100.0,327435100.0,3673000.0,3149026000.0,22059000.0,1829792000.0,5000877000.0,819931000.0,5820808000.0,873065000.0,1517114000.0,1901236000.0,2774301000.0,3046507000.0,5203000.0,328258000.0,-2735000.0,-3394000.0,0.0,-320129000.0,4710.93,0
2021-06-30,2283598000.0,1721673000.0,561924900.0,136019000.0,430734900.0,321295000.0,88.69,437778900.0,432943900.0,3623000.0,3009233000.0,24484000.0,1973373000.0,5007090000.0,847346000.0,5854436000.0,850016000.0,1516830000.0,1962132000.0,2812148000.0,3042288000.0,4835000.0,192762000.0,-3228000.0,-3228000.0,0.0,-339225000.0,4973.3,0
2021-09-30,2395640000.0,1817939000.0,577700900.0,135185000.0,447370000.0,332081000.0,93.25,454388000.0,449706000.0,3561000.0,3035314000.0,22525000.0,1863525000.0,4921364000.0,867530000.0,5788894000.0,796206000.0,1516544000.0,1975637000.0,2771843000.0,3017051000.0,4682000.0,461272000.0,-5162000.0,-5364000.0,0.0,-372674000.0,4794.08,0
2021-12-31,2230342000.0,1646050000.0,584291600.0,149148000.0,440012700.0,334581000.0,96.47,446903700.0,442160100.0,3581000.0,2938908000.0,18552000.0,1947366000.0,4904826000.0,929649000.0,5834475000.0,823814000.0,1516255000.0,2008283000.0,2832097000.0,3002378000.0,4743000.0,260101000.0,-5772000.0,-6193000.0,0.0,-364984000.0,5908.87,0
2022-03-31,2378409000.0,1651365000.0,727043900.0,152418000.0,579111000.0,426100000.0,125.87,585645000.0,581184900.0,3385000.0,2539553000.0,23471000.0,2193639000.0,4756663000.0,969550000.0,5726213000.0,957705000.0,1515964000.0,2042909000.0,3000614000.0,2725599000.0,4460000.0,309326000.0,-3846000.0,-4318000.0,0.0,-714903000.0,4467.27,0
2022-06-30,2658943000.0,1924727000.0,734216100.0,155918000.0,586269000.0,433314000.0,131.84,593572000.0,589041000.0,3287000.0,1899325000.0,29007000.0,2378745000.0,4307077000.0,980621900.0,5287699000.0,853818000.0,915801000.0,1442215000.0,2296033000.0,2991666000.0,4531000.0,137880000.0,-4559000.0,-13309000.0,0.0,-787701000.0,4004.14,0
2022-09-30,2776900000.0,2092457000.0,684442900.0,153668000.0,545716800.0,411393000.0,125.97,553399800.0,549153800.0,3266000.0,2137194000.0,28378000.0,2170449000.0,4336021000.0,1053513000.0,5389534000.0,923114000.0,915346000.0,1381581000.0,2304695000.0,3084839000.0,4246000.0,605700000.0,-3014000.0,-3014000.0,0.0,-345290000.0,3987.08,0
