,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,10486000000.0,8195000000.0,2291000000.0,765000000.0,473000000.0,2.9699999999999998,867000000.0,765000000.0,158917000.0,9539000000.0,1321000000.0,12678000000.0,8296000000.0,20974000000.0,0.0,6944000000.0,2608000000.0,4866000000.0,11810000000.0,9164000000.0,102000000.0,412000000.0,-90000000.0,-392000000.0,-42000000.0,72000000.0,69.11
2013-06-30,10321000000.0,8091000000.0,2230000000.0,689000000.0,420000000.0,2.66,793000000.0,689000000.0,157975000.0,9075000000.0,1593000000.0,12628000000.0,8220000000.0,20848000000.0,0.0,6770000000.0,2606000000.0,4743000000.0,11513000000.0,9335000000.0,104000000.0,173000000.0,-97000000.0,244000000.0,-41000000.0,-296000000.0,84.38
2013-09-30,10319000000.0,8075000000.0,2244000000.0,621000000.0,368000000.0,2.34,727000000.0,621000000.0,157187000.0,9517000000.0,824000000.0,12573000000.0,8330000000.0,20903000000.0,0.0,6551000000.0,2603000000.0,4746000000.0,11297000000.0,9606000000.0,106000000.0,1147000000.0,-123000000.0,-995000000.0,-42000000.0,-416000000.0,93.33
2013-12-31,10187000000.0,8203000000.0,1984000000.0,-14000000.0,-30000000.0,-0.19,100000000.0,-14000000.0,157503000.0,9228000000.0,950000000.0,12300000000.0,8435000000.0,20735000000.0,0.0,6323000000.0,2600000000.0,5096000000.0,11419000000.0,9316000000.0,114000000.0,-16000000.0,-127000000.0,-39000000.0,-43000000.0,-62000000.0,103.22
2014-03-31,11712000000.0,9124000000.0,2588000000.0,721000000.0,368000000.0,2.37,828000000.0,721000000.0,155091000.0,9910000000.0,1460000000.0,13975000000.0,8591000000.0,22566000000.0,0.0,7714000000.0,2598000000.0,5127000000.0,12841000000.0,9725000000.0,107000000.0,671000000.0,-106000000.0,-171000000.0,-44000000.0,24000000.0,112.72
2014-06-30,12222000000.0,9627000000.0,2595000000.0,681000000.0,344000000.0,2.22,787000000.0,681000000.0,155423000.0,9158000000.0,2074000000.0,14086000000.0,9035000000.0,23121000000.0,0.0,7880000000.0,2595000000.0,5241000000.0,13121000000.0,10000000000.0,106000000.0,-200000000.0,-110000000.0,575000000.0,-42000000.0,-444000000.0,127.72
2014-09-30,12238000000.0,9666000000.0,2572000000.0,589000000.0,290000000.0,1.87,701000000.0,589000000.0,154502000.0,10793000000.0,1004000000.0,15636000000.0,8695000000.0,24331000000.0,512000000.0,7769000000.0,3826000000.0,6437000000.0,14206000000.0,10125000000.0,112000000.0,954000000.0,-145000000.0,-772000000.0,-43000000.0,930000000.0,130.29
2014-12-31,12328000000.0,9749000000.0,2579000000.0,371000000.0,145000000.0,0.96,495000000.0,371000000.0,154187000.0,9533000000.0,1053000000.0,15536000000.0,7991000000.0,23527000000.0,0.0,7471000000.0,3825000000.0,6410000000.0,13881000000.0,9646000000.0,124000000.0,193000000.0,-167000000.0,305000000.0,-43000000.0,-1268000000.0,143.63
2015-03-31,13833000000.0,11005000000.0,2828000000.0,790000000.0,430000000.0,2.86,904000000.0,790000000.0,150490000.0,9546000000.0,1690000000.0,17402000000.0,8222000000.0,25624000000.0,0.0,9177000000.0,3824000000.0,6403000000.0,15580000000.0,10044000000.0,114000000.0,107000000.0,-123000000.0,-94000000.0,-44000000.0,-2000000.0,178.02
2015-06-30,13732000000.0,11252000000.0,2480000000.0,573000000.0,431000000.0,2.88,687000000.0,573000000.0,149473000.0,9291000000.0,2129000000.0,16975000000.0,8409000000.0,25384000000.0,300000000.0,8973000000.0,3823000000.0,6328000000.0,15301000000.0,10083000000.0,114000000.0,-608000000.0,-136000000.0,1316000000.0,-42000000.0,-404000000.0,191.28
