,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1290000000.0,1290000000.0,840000000.0,399000000.0,198000000.0,0.15,494000000.0,399000000.0,1282000000.0,33828000000.0,24221000000.0,545000000.0,58594000000.0,74730000000.0,133324000000.0,0.0,121917000000.0,1631000000.0,1631000000.0,123548000000.0,9776000000.0,95000000.0,-368000000.0,-49000000.0,-8035000000.0,-98000000.0,2671000000.0,17.69
2013-06-30,1337000000.0,1337000000.0,800000000.0,486000000.0,233000000.0,0.18,585000000.0,486000000.0,1288000000.0,33245000000.0,24952000000.0,488000000.0,58685000000.0,77222000000.0,135907000000.0,0.0,124557000000.0,1630000000.0,1630000000.0,126187000000.0,9720000000.0,99000000.0,532000000.0,-62000000.0,-3117000000.0,-86000000.0,1888000000.0,21.23
2013-09-30,1373000000.0,1373000000.0,774000000.0,548000000.0,282000000.0,0.22,636000000.0,548000000.0,1296000000.0,30882000000.0,25750000000.0,482000000.0,57114000000.0,83097000000.0,140211000000.0,0.0,128254000000.0,1904000000.0,1904000000.0,130158000000.0,10053000000.0,88000000.0,661000000.0,-65000000.0,-6605000000.0,-99000000.0,7072000000.0,21.14
2013-12-31,1435000000.0,1435000000.0,814000000.0,572000000.0,297000000.0,0.23,654000000.0,572000000.0,1285000000.0,31281000000.0,26879000000.0,517000000.0,58677000000.0,84965000000.0,143642000000.0,0.0,131358000000.0,1903000000.0,1903000000.0,133261000000.0,10381000000.0,82000000.0,831000000.0,-73000000.0,-2293000000.0,-85000000.0,1828000000.0,26.0
2014-03-31,1478000000.0,1478000000.0,833000000.0,597000000.0,318000000.0,0.24,672000000.0,597000000.0,1311000000.0,27721000000.0,27644000000.0,456000000.0,55821000000.0,88245000000.0,144066000000.0,0.0,131349000000.0,1902000000.0,1902000000.0,133251000000.0,10815000000.0,75000000.0,69000000.0,-53000000.0,-3210000000.0,-100000000.0,2586000000.0,27.33
2014-06-30,1478000000.0,1478000000.0,834000000.0,596000000.0,302000000.0,0.23,675000000.0,596000000.0,1313000000.0,25925000000.0,28061000000.0,583000000.0,54569000000.0,88832000000.0,143401000000.0,0.0,130330000000.0,1901000000.0,1901000000.0,132231000000.0,11170000000.0,79000000.0,432000000.0,-112000000.0,-800000000.0,-86000000.0,27000000.0,26.93
2014-09-30,1551000000.0,1551000000.0,906000000.0,596000000.0,312000000.0,0.24,678000000.0,596000000.0,1316000000.0,28478000000.0,28954000000.0,572000000.0,58004000000.0,89440000000.0,147444000000.0,0.0,134071000000.0,1900000000.0,1900000000.0,135971000000.0,11473000000.0,82000000.0,987000000.0,-145000000.0,-846000000.0,-100000000.0,1615000000.0,29.39
2014-12-31,1551000000.0,1551000000.0,860000000.0,637000000.0,329000000.0,0.25,725000000.0,637000000.0,1303000000.0,32144000000.0,29537000000.0,516000000.0,62197000000.0,92445000000.0,154642000000.0,0.0,140940000000.0,1899000000.0,1899000000.0,142839000000.0,11803000000.0,88000000.0,860000000.0,-90000000.0,-3539000000.0,-87000000.0,5454000000.0,30.19
2015-03-31,1526000000.0,1526000000.0,905000000.0,567000000.0,291000000.0,0.22,659000000.0,567000000.0,1312000000.0,28395000000.0,30073000000.0,657000000.0,59125000000.0,101044000000.0,160169000000.0,0.0,145116000000.0,2895000000.0,2895000000.0,148011000000.0,12158000000.0,92000000.0,-1305000000.0,-55000000.0,-8662000000.0,-100000000.0,7615000000.0,30.44
2015-06-30,1566000000.0,1566000000.0,858000000.0,653000000.0,330000000.0,0.25,747000000.0,653000000.0,1314000000.0,26901000000.0,31549000000.0,611000000.0,59061000000.0,104566000000.0,163627000000.0,0.0,148310000000.0,2894000000.0,2894000000.0,151204000000.0,12423000000.0,94000000.0,568000000.0,-70000000.0,-3906000000.0,-88000000.0,3344000000.0,32.65
