,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2015-09-30,1597000000.0,1597000000.0,870000000.0,670000000.0,365000000.0,0.28,769000000.0,670000000.0,1316000000.0,27609000000.0,31924000000.0,470000000.0,60003000000.0,110399000000.0,170402000000.0,0.0,154313000000.0,2893000000.0,2893000000.0,157206000000.0,13196000000.0,99000000.0,1091000000.0,-79000000.0,-6350000000.0,-100000000.0,6608000000.0,28.56
2015-12-31,1691000000.0,1691000000.0,902000000.0,731000000.0,378000000.0,0.29,832000000.0,731000000.0,1315000000.0,31576000000.0,32229000000.0,533000000.0,64338000000.0,119367000000.0,183705000000.0,0.0,167426000000.0,2877000000.0,2877000000.0,170303000000.0,13402000000.0,101000000.0,892000000.0,-62000000.0,-9705000000.0,-99000000.0,10425000000.0,32.93
2016-03-31,1764000000.0,1764000000.0,970000000.0,738000000.0,392000000.0,0.30000000000000004,840000000.0,738000000.0,1321000000.0,30717000000.0,31483000000.0,485000000.0,62685000000.0,128313000000.0,190998000000.0,0.0,173608000000.0,2877000000.0,2877000000.0,176485000000.0,14513000000.0,102000000.0,-369000000.0,-56000000.0,-8762000000.0,-110000000.0,7610000000.0,28.02
2016-06-30,1828000000.0,1828000000.0,960000000.0,811000000.0,406000000.0,0.31,929000000.0,811000000.0,1322000000.0,31569000000.0,32500000000.0,525000000.0,64594000000.0,133458000000.0,198052000000.0,0.0,180186000000.0,2876000000.0,2876000000.0,183062000000.0,14990000000.0,118000000.0,1892000000.0,-139000000.0,-5072000000.0,-120000000.0,5699000000.0,25.31
2016-09-30,1914000000.0,1914000000.0,961000000.0,893000000.0,470000000.0,0.36,1027000000.0,893000000.0,1324000000.0,30508000000.0,32185000000.0,858000000.0,63551000000.0,145786000000.0,209337000000.0,0.0,190991000000.0,2876000000.0,2876000000.0,193867000000.0,15470000000.0,134000000.0,-549000000.0,-77000000.0,-12210000000.0,-135000000.0,10214000000.0,31.57
2016-12-31,1972000000.0,1972000000.0,981000000.0,930000000.0,478000000.0,0.36,1076000000.0,930000000.0,1324000000.0,33002000000.0,33286000000.0,449000000.0,66737000000.0,156646000000.0,223383000000.0,0.0,204086000000.0,2876000000.0,2876000000.0,206962000000.0,16421000000.0,146000000.0,2629000000.0,-74000000.0,-12731000000.0,-121000000.0,11440000000.0,39.47
2017-03-31,2081000000.0,2081000000.0,1067000000.0,949000000.0,525000000.0,0.39,1086000000.0,949000000.0,1336000000.0,30956000000.0,32998000000.0,564000000.0,64518000000.0,162543000000.0,227061000000.0,0.0,206561000000.0,3518000000.0,3518000000.0,210079000000.0,16982000000.0,137000000.0,-1577000000.0,-80000000.0,-5587000000.0,-158000000.0,4568000000.0,40.81
2017-06-30,2130000000.0,2130000000.0,1043000000.0,1021000000.0,530000000.0,0.4,1163000000.0,1021000000.0,1338000000.0,28058000000.0,34720000000.0,460000000.0,63238000000.0,157363000000.0,220601000000.0,0.0,199594000000.0,3518000000.0,3518000000.0,203112000000.0,17489000000.0,142000000.0,719000000.0,-84000000.0,4270000000.0,-135000000.0,-5013000000.0,42.96
2017-09-30,2165000000.0,2165000000.0,1044000000.0,1052000000.0,575000000.0,0.43,1213000000.0,1052000000.0,1339000000.0,28186000000.0,35358000000.0,427000000.0,63971000000.0,166743000000.0,230714000000.0,0.0,209419000000.0,3268000000.0,3268000000.0,212687000000.0,18027000000.0,161000000.0,3309000000.0,-103000000.0,-5914000000.0,-163000000.0,7273000000.0,43.74
2017-12-31,2242000000.0,2242000000.0,1098000000.0,1075000000.0,550000000.0,0.41000000000000003,1246000000.0,1075000000.0,1339000000.0,29356000000.0,158629000000.0,50534000000.0,238519000000.0,4755000000.0,243274000000.0,0.0,219996000000.0,4753000000.0,4753000000.0,224749000000.0,18525000000.0,171000000.0,-3290000000.0,-133000000.0,-13242000000.0,-136000000.0,15771000000.0,51.37
2018-03-31,2398000000.0,2398000000.0,1183000000.0,1142000000.0,746000000.0,0.55,1311000000.0,1142000000.0,1347000000.0,26968000000.0,38436000000.0,500000000.0,65904000000.0,182416000000.0,248320000000.0,0.0,224862000000.0,4128000000.0,4128000000.0,228990000000.0,19330000000.0,169000000.0,248000000.0,-122000000.0,-6539000000.0,-184000000.0,4756000000.0,52.22
2018-06-30,2486000000.0,2486000000.0,1158000000.0,1253000000.0,813000000.0,0.6000000000000001,1419000000.0,1253000000.0,1350000000.0,24262000000.0,39945000000.0,525000000.0,64732000000.0,197150000000.0,261882000000.0,0.0,235996000000.0,5789000000.0,5789000000.0,241785000000.0,20097000000.0,166000000.0,3132000000.0,-131000000.0,-13115000000.0,-170000000.0,11276000000.0,51.1
2018-09-30,2579000000.0,2579000000.0,1154000000.0,1347000000.0,885000000.0,0.66,1514000000.0,1347000000.0,1351000000.0,30317000000.0,39773000000.0,500000000.0,70590000000.0,201512000000.0,272102000000.0,0.0,245478000000.0,5790000000.0,5790000000.0,251268000000.0,20834000000.0,167000000.0,1275000000.0,-147000000.0,-6366000000.0,-225000000.0,13267000000.0,49.15
2018-12-31,2669000000.0,2669000000.0,1267000000.0,1322000000.0,885000000.0,0.66,1476000000.0,1322000000.0,1348000000.0,41501000000.0,38260000000.0,539000000.0,79761000000.0,216721000000.0,296482000000.0,0.0,268934000000.0,6878000000.0,6878000000.0,275812000000.0,20670000000.0,154000000.0,7801000000.0,-170000000.0,-14535000000.0,-208000000.0,17867000000.0,41.53
2019-03-31,2723000000.0,2723000000.0,1282000000.0,1358000000.0,925000000.0,0.6900000000000001,1509000000.0,1358000000.0,1333000000.0,46482000000.0,37655000000.0,521000000.0,84658000000.0,198157000000.0,282815000000.0,0.0,254361000000.0,6829000000.0,6829000000.0,261190000000.0,21625000000.0,151000000.0,-2595000000.0,-139000000.0,18285000000.0,-276000000.0,-12229000000.0,42.76
2019-06-30,2681000000.0,2681000000.0,1257000000.0,1340000000.0,887000000.0,0.67,1515000000.0,1340000000.0,1328000000.0,38345000000.0,38530000000.0,538000000.0,77413000000.0,198908000000.0,276321000000.0,0.0,247577000000.0,7424000000.0,7424000000.0,255001000000.0,21320000000.0,175000000.0,2214000000.0,-171000000.0,2163000000.0,-261000000.0,-11883000000.0,40.19
2019-09-30,2711000000.0,2711000000.0,1303000000.0,1320000000.0,913000000.0,0.7000000000000001,1531000000.0,1320000000.0,1300000000.0,36416000000.0,39281000000.0,497000000.0,76194000000.0,202793000000.0,278987000000.0,0.0,250206000000.0,7427000000.0,7427000000.0,257633000000.0,21354000000.0,211000000.0,5402000000.0,-205000000.0,-7189000000.0,-271000000.0,-111000000.0,41.83
2019-12-31,2606000000.0,2606000000.0,1299000000.0,1213000000.0,801000000.0,0.62,1471000000.0,1213000000.0,1311000000.0,49828000000.0,39979000000.0,0.0,89807000000.0,204198000000.0,294005000000.0,0.0,264830000000.0,7430000000.0,7430000000.0,272260000000.0,21745000000.0,258000000.0,4304000000.0,-193000000.0,-1295000000.0,-252000000.0,10284000000.0,47.56
2020-03-31,2617000000.0,2617000000.0,1363000000.0,1158000000.0,757000000.0,0.59,1444000000.0,1158000000.0,1287000000.0,102767000000.0,38522000000.0,0.0,141289000000.0,229490000000.0,370779000000.0,0.0,335987000000.0,8522000000.0,8522000000.0,344509000000.0,26270000000.0,286000000.0,10118000000.0,-156000000.0,-19196000000.0,-281000000.0,58208000000.0,33.62
2020-06-30,2450000000.0,2450000000.0,1317000000.0,1024000000.0,621000000.0,0.48,1454000000.0,1024000000.0,1288000000.0,66762000000.0,42292000000.0,0.0,109054000000.0,291430000000.0,400484000000.0,0.0,361143000000.0,8526000000.0,8526000000.0,369669000000.0,30815000000.0,430000000.0,-16443000000.0,-179000000.0,-58249000000.0,-266000000.0,26298000000.0,33.74
2020-09-30,2448000000.0,2448000000.0,1328000000.0,998000000.0,615000000.0,0.48,1621000000.0,998000000.0,1289000000.0,57044000000.0,47727000000.0,0.0,104771000000.0,314584000000.0,419355000000.0,0.0,380188000000.0,7836000000.0,7836000000.0,388024000000.0,31331000000.0,623000000.0,-80000000.0,-130000000.0,-26000000000.0,-327000000.0,18129000000.0,36.23
2020-12-31,4176000000.0,4176000000.0,2171000000.0,1728000000.0,1050000000.0,0.5700000000000001,2579000000.0,1728000000.0,1429000000.0,90747000000.0,88253000000.0,337400000000.0,179000000000.0,370009000000.0,549009000000.0001,1984000000.0,479317000000.0001,13632000000.0,13632000000.0,492949000000.0001,56060000000.0,851000000.0,13257000000.0,-166000000.0,-22406000000.0,-406000000.0,41347000000.0,53.04
2021-03-31,4715000000.0,4715000000.0,2156000000.0,2276000000.0,1388000000.0,0.74,3183000000.0,2276000000.0,1882000000.0,88605000000.0,100132000000.0,342006000000.0,188737000000.0,374720000000.0,563457000000.0001,2500000000.0,490165000000.0001,17698000000.0,17698000000.0,507863000000.0001,55594000000.0,907000000.0,-4742000000.0,-186000000.0,-13158000000.0,-445000000.0,20779000000.0,65.18
2021-06-30,4527000000.0,4527000000.0,2098000000.0,2140000000.0,1117000000.0,0.59,3029000000.0,2140000000.0,1886000000.0,70256000000.0,111140000000.0,0.0,181396000000.0,393136000000.0,574532000000.0001,3500000000.0,498374000000.0001,18708000000.0,18708000000.0,517082000000.0001,57450000000.0,889000000.0,-594000000.0,-239000000.0,-17861000000.0,-455000000.0,-254000000.0,72.81
2021-09-30,4570000000.0,4570000000.0,2062000000.0,2215000000.0,1406000000.0,0.74,3068000000.0,2215000000.0,1888000000.0,76623000000.0,118123000000.0,0.0,194746000000.0,412802000000.0,607548000000.0001,3000000000.0,530576000000.0001,19530000000.0,19530000000.0,550106000000.0001,57442000000.0,853000000.0,1815000000.0,-178000000.0,-22951000000.0,-469000000.0,26507000000.0,72.84
2021-12-31,4836000000.0,4708000000.0,2176000000.0,2233000000.0,1449000000.0,0.76,3094000000.0,2233000000.0,1892000000.0,103828000000.0,125201000000.0,0.0,242125000000.0,425145000000.0,667270000000.0001,6082000000.0,592095000000.0001,18619000000.0,18914000000.0,611009000000.0001,56261000000.0,861000000.0,5639000000.0,-313000000.0,-21693000000.0,-453000000.0,49291000000.0,84.1
2022-03-31,4808000000.0,4672000000.0,2305000000.0,2063000000.0,1278000000.0,0.67,2853000000.0,2063000000.0,1894000000.0,131560000000.0,121277000000.0,0.0,266848000000.0,414102000000.0,680950000000.0001,4234000000.0,610979000000.0001,21873000000.0,21873000000.0,632852000000.0001,48098000000.0,790000000.0,3053000000.0,-296000000.0,-3642000000.0,-509000000.0,24609000000.0,84.31
2022-06-30,5259000000.0,5093000000.0,2252000000.0,2528000000.0,1652000000.0,0.87,3223000000.0,2528000000.0,1896000000.0,121920000000.0,115694000000.0,0.0,233710000000.0,403847000000.0,637557000000.0001,2406000000.0,571932000000.0001,20056000000.0,21112000000.0,593044000000.0001,44513000000.0,695000000.0,-7943000000.0,-241000000.0,2390000000.0,-511000000.0,-27979000000.0,63.18
2022-09-30,5931000000.0,5500000000.0,2252000000.0,2929000000.0,1884000000.0,0.99,3543000000.0,2929000000.0,1887000000.0,77411000000.0,114238000000.0,0.0,204842000000.0,372721000000.0,577563000000.0001,1300000000.0,519678000000.0001,20044000000.0,20844000000.0,540522000000.0001,37041000000.0,614000000.0,9054000000.0,-232000000.0,21760000000.0,-539000000.0,-49394000000.0,71.87
2022-12-31,6309000000.0,5497000000.0,2341000000.0,2844000000.0,1821000000.0,0.97,0.0,2844000000.0,1864000000.0,83200000000.0,0.0,0.0,0.0,0.0,551800000000.0001,17100000000.0,0.0,20800000000.0,0.0,0.0,36600000000.0,0.0,0.0,0.0,0.0,1559000000.0,0.0,83.26
