,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,53651000.0,53651000.0,26694000.0,24671000.0,15326000.0,0.42,27240000.0,24671000.0,36774000.0,142978000.0,35467000.0,187376000.0,95505000.0,282881000.0,0.0,30380000.0,0.0,0.0,30380000.0,252501000.0,2569000.0,10279000.0,-2160000.0,-5544000.0,-5405000.0,-7927000.0,37.3
2013-06-30,63507000.0,63507000.0,27680000.0,31422000.0,19343000.0,0.52,34599000.0,31422000.0,36868000.0,149947000.0,41826000.0,202977000.0,102401000.0,305378000.0,0.0,34814000.0,0.0,0.0,34814000.0,270564000.0,3177000.0,19970000.0,-8540000.0,-6835000.0,-4853000.0,-3459000.0,46.75
2013-09-30,61133000.0,61133000.0,31285000.0,26388000.0,18213000.0,0.49,29947000.0,26388000.0,36919000.0,177446000.0,36876000.0,224865000.0,107823000.0,332688000.0,0.0,42766000.0,0.0,3302000.0,46068000.0,286620000.0,3559000.0,37080000.0,-4063000.0,-48195000.0,-4770000.0,-3997000.0,59.95
2013-12-31,60442000.0,60442000.0,31671000.0,24799000.0,23134000.0,0.63,28545000.0,24799000.0,36886000.0,200433000.0,34158000.0,245231000.0,108679000.0,353910000.0,0.0,43548000.0,0.0,0.0,43548000.0,310362000.0,3746000.0,23550000.0,-8519000.0,-8547000.0,-4809000.0,-1691000.0,66.93
2014-03-31,63398000.0,63398000.0,31569000.0,27708000.0,17475000.0,0.47000000000000003,31829000.0,27708000.0,37121000.0,193528000.0,39077000.0,241938000.0,104435000.0,346373000.0,0.0,28112000.0,0.0,0.0,28112000.0,318261000.0,4121000.0,10147000.0,-4193000.0,-449000.0,-6232000.0,-11916000.0,59.22
2014-06-30,64964000.0,64964000.0,31542000.0,29071000.0,18191000.0,0.49,33422000.0,29071000.0,37015000.0,198896000.0,40896000.0,252148000.0,104571000.0,356719000.0,0.0,33740000.0,0.0,0.0,33740000.0,322979000.0,4351000.0,26265000.0,-4532000.0,-7080000.0,-5932000.0,-15585000.0,54.06
2014-09-30,64245000.0,64245000.0,31495000.0,28268000.0,17504000.0,0.47000000000000003,32750000.0,28268000.0,36856000.0,212121000.0,36947000.0,257868000.0,105041000.0,362909000.0,0.0,36606000.0,0.0,0.0,36606000.0,326303000.0,4482000.0,32177000.0,-2689000.0,6065000.0,-5898000.0,-16460000.0,61.86
2014-12-31,70167000.0,70167000.0,32253000.0,33489000.0,21636000.0,0.59,37914000.0,33489000.0,36930000.0,233787000.0,33836000.0,274308000.0,105576000.0,379884000.0,0.0,45676000.0,0.0,0.0,45676000.0,334208000.0,4425000.0,41363000.0,-3373000.0,-11561000.0,-5879000.0,-16262000.0,71.71
2015-03-31,76771000.0,76771000.0,33657000.0,38502000.0,24593000.0,0.67,43114000.0,38502000.0,36706000.0,223243000.0,46062000.0,276512000.0,102182000.0,378694000.0,0.0,34024000.0,0.0,0.0,34024000.0,344670000.0,4612000.0,10034000.0,-3471000.0,-1048000.0,-7517000.0,-17241000.0,82.9
2015-06-30,75491000.0,75491000.0,33829000.0,37059000.0,24238000.0,0.66,41662000.0,37059000.0,36699000.0,236780000.0,46938000.0,296314000.0,102632000.0,398946000.0,0.0,39089000.0,0.0,0.0,39089000.0,359857000.0,4603000.0,30561000.0,-3690000.0,-9887000.0,-7345000.0,-11583000.0,92.77
2015-09-30,74192000.0,74192000.0,34197000.0,35353000.0,22715000.0,0.62,39995000.0,35353000.0,36681000.0,255892000.0,49280000.0,312345000.0,103977000.0,416322000.0,0.0,42851000.0,0.0,0.0,42851000.0,373471000.0,4642000.0,35743000.0,-4086000.0,-32580000.0,-7339000.0,-12120000.0,92.88
2015-12-31,76644000.0,76644000.0,31660000.0,36986000.0,24491000.0,0.67,41671000.0,36986000.0,36690000.0,284434000.0,40459000.0,334773000.0,104268000.0,439041000.0,0.0,48328000.0,0.0,0.0,48328000.0,390713000.0,4685000.0,48168000.0,-4137000.0,5562000.0,-7333000.0,-14420000.0,111.59
2016-03-31,88573000.0,88573000.0,37756000.0,44370000.0,28963000.0,0.79,49051000.0,44370000.0,36775000.0,285221000.0,52755000.0,350820000.0,101022000.0,451842000.0,0.0,41426000.0,0.0,0.0,41426000.0,410416000.0,4681000.0,-52743000.0,-5687000.0,6339000.0,-9727000.0,-15325000.0,124.83
2016-06-30,96639000.0,96639000.0,39595000.0,50551000.0,33126000.0,0.9,55091000.0,50551000.0,36876000.0,299605000.0,62860000.0,375928000.0,101187000.0,477115000.0,0.0,40964000.0,0.0,0.0,40964000.0,436151000.0,4540000.0,32647000.0,-4359000.0,-4351000.0,-9586000.0,-12835000.0,145.4
