,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2013-03-31,1506769000.0,744679000.0,762090000.0,191334000.0,116615000.0,0.38220000000000004,212244000.0,191334000.0,306056200.0,945492000.0,2974644000.0,3920136000.0,16200500000.0,20120630000.0,12744390000.0,1936537000.0,2965609000.0,15710000000.0,4410630000.0,20910000.0,115112000.0,-23343000.0,143432000.0,0.0,-198642000.0,19.72,0
2013-06-30,1570962000.0,805470000.0,765492100.0,189913100.0,115957000.0,0.3778,219620100.0,189913100.0,305761500.0,658839000.0,3203926000.0,3862765000.0,16348780000.0,20211540000.0,12979670000.0,2035600000.0,2966217000.0,15945890000.0,4265655000.0,29707000.0,198820000.0,-33493000.0,-515095000.0,-12243000.0,47987000.0,18.16,0
2013-09-30,1634124000.0,798276000.0,835848000.0,228582000.0,136974000.0,0.4489,258014000.0,228582000.0,304353000.0,966326000.0,3234999000.0,4201325000.0,16322390000.0,20523720000.0,13171310000.0,2036233000.0,2957110000.0,16128420000.0,4395298000.0,29432000.0,312763000.0,-39868000.0,-4342000.0,-27093000.0,-34887000.0,19.05,0
2013-12-31,1696679000.0,848599100.0,848080100.0,212236300.0,130379000.0,0.43110000000000004,235277300.0,212236300.0,304436200.0,839738000.0,3395519000.0,4235257000.0,16316540000.0,20551800000.0,13139130000.0,2032242000.0,3043269000.0,16182400000.0,4369394000.0,23041000.0,193103000.0,-73798000.0,-169359000.0,-13381000.0,-144720000.0,19.28,0
2014-03-31,1706906000.0,822095000.0,884811000.0,277915000.0,169673000.0,0.5822,303151000.0,277915000.0,292214300.0,643575000.0,3234504000.0,3878079000.0,16826190000.0,20704270000.0,13430770000.0,2032555000.0,2862641000.0,16293410000.0,4410858000.0,25236000.0,143164000.0,-45475000.0,-133995000.0,-12775000.0,-203891000.0,18.5,0
2014-06-30,1796989000.0,867778000.0,929211000.0,293765000.0,179961000.0,0.6267,319361000.0,293765000.0,287253000.0,842671000.0,3270373000.0,4113044000.0,17054150000.0,21167190000.0,13610560000.0,2036967000.0,2902074000.0,16512640000.0,4654558000.0,25596000.0,111459000.0,302724000.0,92607000.0,-14050000.0,-13782000.0,20.58,0
2014-09-30,1840605000.0,887123000.0,953482000.0,311382100.0,188539000.0,0.6578,323965100.0,311382100.0,286121200.0,1342285000.0,3134067000.0,4476352000.0,17621250000.0,22097600000.0,13776390000.0,2462025000.0,3577734000.0,17354120000.0,4743474000.0,12583000.0,320163000.0,-197330000.0,-177473000.0,-13957000.0,370681000.0,21.24,0
2014-12-31,1784428000.0,913570800.0,870857400.0,197308300.0,110711000.0,0.38670000000000004,222729300.0,197308500.0,287716500.0,674441000.0,3525563000.0,4200004000.0,17516690000.0,21716690000.0,13633700000.0,2455587000.0,3458854000.0,17092560000.0,4624134000.0,25421000.0,160061000.0,28687000.0,-589450000.0,-140707000.0,-222781000.0,22.78,0
2015-03-31,1744679000.0,900708000.0,843970900.0,203254900.0,118307000.0,0.4178,222457900.0,203254900.0,283430300.0,614695000.0,3226353000.0,3841048000.0,18006000000.0,21847050000.0,13987450000.0,2452581000.0,3246561000.0,17234020000.0,4613037000.0,19203000.0,61012000.0,-51842000.0,5476000.0,-13749000.0,-109389000.0,22.45,0
2015-06-30,1789765000.0,906235000.0,883530000.0,211218000.0,123035000.0,0.44,234282000.0,211218000.0,278507200.0,756368000.0,3341497000.0,4097865000.0,17591940000.0,21689810000.0,14037730000.0,2184055000.0,3115746000.0,17153480000.0,4536332000.0,23064000.0,271871000.0,-56488000.0,271966000.0,-14698000.0,-409320000.0,23.08,0
2015-09-30,1860957000.0,926355000.0,934602100.0,260561000.0,152607000.0,0.5511,283678000.0,260561000.0,277116800.0,879934000.0,3681855000.0,4561789000.0,17176780000.0,21738570000.0,14089070000.0,2179220000.0,3032858000.0,17121930000.0,4616637000.0,23117000.0,287452000.0,-82872000.0,-106368000.0,-14792000.0,-28840000.0,24.16,0
2015-12-31,1811056000.0,922972000.0,888083900.0,187941900.0,109745000.0,0.3956,207696900.0,187942100.0,279090000.0,763631000.0,3585130000.0,4348761000.0,17382210000.0,21730970000.0,14031040000.0,2184941000.0,3066724000.0,17097760000.0,4633208000.0,19755000.0,260969000.0,-95019000.0,-341837000.0,-14795000.0,-7769000.0,24.33,0
