,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2013-03-31,2150623000.0,857361000.0,1293262000.0,1071760000.0,206424100.0,117780000.0,1.47,221502100.0,221502100.0,79985000.0,1604625000.0,6757388000.0,8362013000.0,21119530000.0,29481540000.0,20345880000.0,1765134000.0,3929061000.0,24274940000.0,5206605000.0,0.0,51681000.0,-11670000.0,-18511000.0,-16789000.0,670172000.0,45.01,0
2013-06-30,2237766000.0,916950000.0,1320816000.0,1088529000.0,210767100.0,133523000.0,1.72,232287100.0,232287100.0,77508000.0,1270395000.0,6567399000.0,7837794000.0,20891000000.0,28728790000.0,20175540000.0,1742890000.0,3757373000.0,23932910000.0,4795886000.0,0.0,221981000.0,-10194000.0,-325091000.0,-20155000.0,-226675000.0,50.91,0
2013-09-30,2258650000.0,933832000.0,1324818000.0,1110076000.0,193970900.0,128788000.0,1.7000000000000002,214741900.0,214741900.0,75545000.0,1286697000.0,6667751000.0,7954448000.0,21394140000.0,29348590000.0,20732720000.0,1734149000.0,3832948000.0,24565670000.0,4782919000.0,0.0,450376000.0,-11501000.0,-297989000.0,-18833000.0,-133792000.0,54.1,0
2013-12-31,2400618000.0,967389000.0,1433229000.0,1234326000.0,178536900.0,108816000.0,1.48,198902900.0,198903100.0,76649000.0,1717184000.0,6832305000.0,8549488000.0,21165200000.0,29714690000.0,21026680000.0,1733324000.0,3854531000.0,24881210000.0,4833479000.0,108541000.0,303523000.0,-17539000.0,248853000.0,-18351000.0,-113006000.0,66.37,0
2014-03-31,2448372000.0,1008032000.0,1440340000.0,1188022000.0,235253200.0,137245000.0,1.88,252318200.0,252318200.0,72849000.0,1105912000.0,6953635000.0,8059547000.0,21608840000.0,29668380000.0,20946700000.0,1266856000.0,3625396000.0,24572100000.0,5096288000.0,0.0,127178000.0,-13105000.0,-191137000.0,-18180000.0,-534188000.0,64.96,0
2014-06-30,2608101000.0,1149613000.0,1458488000.0,1250925000.0,193787100.0,143610000.0,1.98,207563100.0,207563100.0,72660000.0,1398870000.0,7297133000.0,8696003000.0,21921170000.0,30617170000.0,21562750000.0,1266149000.0,3704721000.0,25267470000.0,5349707000.0,0.0,134590000.0,-17634000.0,225732000.0,-20753000.0,-71611000.0,65.55,0
2014-09-30,2702488000.0,1123693000.0,1578795000.0,1340268000.0,224751000.0,140297000.0,1.94,238527000.0,238527000.0,72183000.0,1411266000.0,7489908000.0,8901174000.0,21771960000.0,30673130000.0,21676760000.0,1266978000.0,3653805000.0,25330570000.0,5342563000.0,0.0,252896000.0,-27967000.0,-178123000.0,-19449000.0,-52495000.0,64.3,0
2014-12-31,2622692000.0,1123995000.0,1498697000.0,1394573000.0,90346400.0,49755000.0,0.7000000000000001,104124400.0,104124500.0,72181000.0,1318656000.0,8700215000.0,10018870000.0,21543590000.0,31562470000.0,23031880000.0,1267065000.0,3349280000.0,26381160000.0,5181307000.0,133723000.0,-120848000.0,-24897000.0,207417000.0,-19113000.0,-117905000.0,68.43,0
2015-03-31,2598610000.0,1210727000.0,1387883000.0,1290912000.0,83193100.0,50044000.0,0.72,96971100.0,96971100.0,69770000.0,1065165000.0,8779269000.0,9844434000.0,20955920000.0,30800360000.0,22258200000.0,1264394000.0,3413950000.0,25672140000.0,5128212000.0,0.0,-177666000.0,-22147000.0,54015000.0,-18834000.0,-104350000.0,61.41,0
2015-06-30,2644894000.0,1267714000.0,1377180000.0,1323377000.0,40025200.0,32789000.0,0.48,53803200.0,53803200.0,68558000.0,1297436000.0,8803226000.0,10100660000.0,20741420000.0,30842080000.0,22611100000.0,1266518000.0,3403021000.0,26014120000.0,4827960000.0,0.0,346562000.0,-36697000.0,1735000.0,-21616000.0,-126037000.0,67.0,0
2015-09-30,2534156000.0,1254205000.0,1279951000.0,1298423000.0,-32251000.0,-7022000.0,-0.1,-18472000.0,-18472000.0,67633000.0,1543936000.0,8554288000.0,10098220000.0,20487870000.0,30586090000.0,22740980000.0,1222339000.0,3161508000.0,25902490000.0,4683599000.0,0.0,360578000.0,-27195000.0,14624000.0,-20456000.0,-94945000.0,79.01,0
2015-12-31,2547840000.0,1009854000.0,1537986000.0,1413988000.0,110232200.0,65789000.0,0.99,123997200.0,123996900.0,68164000.0,1288305000.0,8731120000.0,10019420000.0,20016980000.0,30036400000.0,22362930000.0,1164656000.0,3149504000.0,25512440000.0,4523967000.0,124100000.0,-299574000.0,-28861000.0,193926000.0,-33294000.0,-137068000.0,80.54,0
2016-03-31,2147500000.0,543800000.0,1603700000.0,1251600000.0,337600100.0,220400000.0,3.38,352100100.0,352100100.0,65086900.0,2060815000.0,10021350000.0,12082170000.0,18205030000.0,30287200000.0,21664780000.0,1414704000.0,4057767000.0,25722550000.0,4564645000.0,0.0,-346000000.0,-22800000.0,1133000000.0,-32400000.0,-19800000.0,77.15,0
2016-06-30,1797800000.0,400800000.0,1397000000.0,1146300000.0,235500000.0,169300000.0,2.7199999999999998,250700000.0,250700000.0,62245000.0,1232674000.0,9945642000.0,11178320000.0,18625900000.0,29804210000.0,21690400000.0,1165255000.0,3505743000.0,25196140000.0,4608071000.0,0.0,22200000.0,-24900000.0,-387400000.0,-32600000.0,-461100000.0,86.31,0
2016-09-30,1834100000.0,435200000.0,1398900000.0,1164000000.0,220900000.0,144400000.0,2.4,234900000.0,234900000.0,60262000.0,1116623000.0,10372690000.0,11489310000.0,18794530000.0,30283840000.0,22392010000.0,1165557000.0,3386915000.0,25778920000.0,4504914000.0,0.0,255800000.0,-19100000.0,-114300000.0,-30000000.0,-254400000.0,92.25,0
2016-12-31,1752400000.0,428700100.0,1323700000.0,1232200000.0,54599600.0,31300000.0,0.54,68499600.0,68499500.0,61261000.0,1032000000.0,10301200000.0,11333200000.0,18375900000.0,29709100000.0,22507800000.0,1067000000.0,3103200000.0,25611000000.0,4098100000.0,-269400000.0,176600000.0,-18400000.0,94300000.0,-30300000.0,-345000000.0,92.86,0
2017-03-31,1551500000.0,358000000.0,1193500000.0,965800000.0,215100100.0,143800000.0,2.56,227700100.0,227700100.0,56201000.0,874500000.0,10112800000.0,10987300000.0,18580400000.0,29567700000.0,22268500000.0,1067300000.0,3140400000.0,25408900000.0,4158800000.0,0.0,24200000.0,-14800000.0,-58800000.0,-29700000.0,-127700000.0,95.67,0
2017-06-30,1600500000.0,416400000.0,1184100000.0,993000000.0,178700000.0,120200000.0,2.18,191099900.0,191099900.0,55230000.0,848200000.0,10289500000.0,11137700000.0,18921200000.0,30058900000.0,22595100000.0,1136600000.0,3239200000.0,25834300000.0,4224600000.0,0.0,-24500000.0,-16300000.0,62500000.0,-30300000.0,-64600000.0,103.69,0
2017-09-30,1586400000.0,682200000.0,904200000.0,999600000.0,-107600000.0,-57300000.0,-1.05,-95400000.0,-95400000.0,54525000.0,992800000.0,11864700000.0,12857500000.0,19547700000.0,32405200000.0,25107600000.0,1067900000.0,3159400000.0,28267000000.0,4138200000.0,0.0,366700000.0,-12300000.0,-245700000.0,-28800000.0,22600000.0,95.52,0
2017-12-31,1676600000.0,413999900.0,1262600000.0,1092000000.0,158300000.0,312900000.0,5.79,170600100.0,170599900.0,54986700.0,996800000.0,11027500000.0,12024300000.0,19818700000.0,31843000000.0,23774900000.0,1068200000.0,3786600000.0,27561500000.0,4281500000.0,11800000.0,164000000.0,7500000.0,-299200000.0,-30200000.0,143000000.0,100.84,0
2018-03-31,1638600000.0,414600000.0,1224000000.0,1066000000.0,136500000.0,106000000.0,1.99,169500000.0,158000000.0,53169000.0,2342000000.0,10526900000.0,12868900000.0,19559000000.0,32427900000.0,22991500000.0,2004400000.0,4935400000.0,27926900000.0,4501000000.0,11500000.0,-75700000.0,-16500000.0,79100000.0,-29700000.0,1344000000.0,91.41,0
2018-06-30,1831700000.0,490600000.0,1341100000.0,1236800000.0,78299900.0,62200000.0,1.09,114199900.0,104299900.0,57060300.0,1253700000.0,12491000000.0,13744700000.0,28616600000.0,42361300000.0,31637000000.0,2004800000.0,5391400000.0,37028400000.0,5332900000.0,9900000.0,248000000.0,-21600000.0,-1593900000.0,-30900000.0,300500000.0,103.49,0
2018-09-30,2270300000.0,680900000.0,1589400000.0,1487100000.0,75800100.0,48300000.0,0.76,125300000.0,102300000.0,63621200.0,1306600000.0,12857800000.0,14164400000.0,29278700000.0,43443100000.0,32558500000.0,2005400000.0,5644900000.0,38203400000.0,5239700000.0,23000000.0,282300000.0,-20800000.0,-389600000.0,-35500000.0,145900000.0,107.95,0
2018-12-31,2317000000.0,756500100.0,1560500000.0,1491300000.0,42899900.0,20300000.0,0.32,94799900.0,69200000.0,59239600.0,1254000000.0,10809500000.0,12063500000.0,29025800000.0,41089300000.0,30612600000.0,2006000000.0,5342800000.0,35955400000.0,5133900000.0,25600000.0,202100000.0,-23900000.0,-298100000.0,-37700000.0,47600000.0,89.44,0
2019-03-31,2435600000.0,614700000.0,1820900000.0,1577200000.0,217200200.0,161000000.0,2.5700000000000003,265600200.0,243700200.0,62594800.0,1274200000.0,10757100000.0,12031300000.0,30205700000.0,42237000000.0,30817000000.0,2006600000.0,5948300000.0,36765300000.0,5471700000.0,21900000.0,246700000.0,-32400000.0,-447200000.0,-37400000.0,220900000.0,94.91,0
2019-06-30,2545500000.0,687000000.0,1858500000.0,1639500000.0,192500000.0,139500000.0,2.24,244700000.0,219000000.0,62222100.0,1490400000.0,10908300000.0,12398700000.0,30740800000.0,43139500000.0,31470800000.0,2007300000.0,5908400000.0,37379200000.0,5760300000.0,25700000.0,479000000.0,-25400000.0,-162400000.0,-38300000.0,-102300000.0,106.38,0
2019-09-30,2499300000.0,705200000.0,1794100000.0,1634000000.0,96500200.0,-59500000.0,-0.96,151600300.0,128700200.0,61804500.0,1749300000.0,11277700000.0,13027000000.0,30724500000.0,43751500000.0,32313400000.0,2006300000.0,5747700000.0,38061100000.0,5690400000.0,22900000.0,442200000.0,-12700000.0,-4000000.0,-37300000.0,-168700000.0,125.82,0
2019-12-31,2088700000.0,378800000.0,1709900000.0,1573000000.0,111499000.0,122900000.0,2.01,191899000.0,136898700.0,61943000.0,1867100000.0,11286200000.0,13153300000.0,31137900000.0,44291200000.0,32756100000.0,2006900000.0,5853000000.0,38609100000.0,5682100000.0,55000000.0,245500000.0,-39800000.0,-6200000.0,-38400000.0,-129100000.0,131.08,0
2020-03-31,2448700000.0,535200000.0,1913500000.0,1787900000.0,100099900.0,150000000.0,2.48,158099900.0,125599900.0,60602900.0,1999900000.0,11175500000.0,13175400000.0,30247900000.0,43423300000.0,32247600000.0,2207500000.0,5789500000.0,38037100000.0,5386200000.0,32500000.0,-123700000.0,-20300000.0,181900000.0,-38000000.0,91400000.0,104.09,0
