,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,22410000000.0,1151000000.0,21259000000.0,13242000000.0,7640000000.0,4931000000.0,0.93,5279000000.0,222295000000.0,1052446000000.0,384188000000.0,1436634000000.0,0.0,1147048000000.0,126191000000.0,126191000000.0,1273239000000.0,163395000000.0,834000000.0,9137000000.0,-26157000000.0,-1284000000.0,11377000000.0,36.99
2013-06-30,22455000000.0,1077000000.0,21378000000.0,12530000000.0,8471000000.0,5272000000.0,1.0,5304700000.0,225223000000.0,1050028000000.0,390535000000.0,1440563000000.0,0.0,1153411000000.0,123375000000.0,123375000000.0,1276786000000.0,163777000000.0,809000000.0,12978000000.0,-14819000000.0,-1566000000.0,3563000000.0,41.27
2013-09-30,21506000000.0,1028000000.0,20478000000.0,11802000000.0,8301000000.0,5317000000.0,1.0,5295300000.0,261167000000.0,1083932000000.0,404123000000.0,1488055000000.0,0.0,1168030000000.0,151212000000.0,151212000000.0,1319242000000.0,168813000000.0,865000000.0,21103000000.0,-61779000000.0,-1559000000.0,41665000000.0,41.32
2013-12-31,21698000000.0,1033000000.0,20665000000.0,12073000000.0,8217000000.0,5369000000.0,1.02,5287300000.0,296525000000.0,1121205000000.0,402297000000.0,1523502000000.0,0.0,1199496000000.0,152998000000.0,152998000000.0,1352494000000.0,171008000000.0,785000000.0,14423000000.0,-50737000000.0,-1544000000.0,37305000000.0,45.4
2014-03-31,21622000000.0,997000000.0,20625000000.0,11932000000.0,8352000000.0,5607000000.0,1.07,5262800000.0,306265000000.0,1135337000000.0,411370000000.0,1546707000000.0,0.0,1216816000000.0,153422000000.0,153422000000.0,1370238000000.0,176469000000.0,571000000.0,2841000000.0,-18225000000.0,-1545000000.0,15196000000.0,49.74
2014-06-30,22068000000.0,1002000000.0,21066000000.0,12062000000.0,8655000000.0,5424000000.0,1.02,5268400000.0,331028000000.0,1177695000000.0,421179000000.0,1598874000000.0,0.0,1249447000000.0,167878000000.0,167878000000.0,1417325000000.0,181549000000.0,732000000.0,-3239000000.0,-34520000000.0,-1802000000.0,38663000000.0,52.56
2014-09-30,22236000000.0,1023000000.0,21213000000.0,12274000000.0,8597000000.0,5408000000.0,1.04,5225900000.0,347719000000.0,1203391000000.0,433464000000.0,1636855000000.0,0.0,1269279000000.0,184586000000.0,184586000000.0,1453865000000.0,182990000000.0,630000000.0,15062000000.0,-42530000000.0,-1787000000.0,24865000000.0,51.87
2014-12-31,22446000000.0,1003000000.0,21443000000.0,12794000000.0,8311000000.0,5382000000.0,1.04,5237200000.0,356255000000.0,1226745000000.0,460410000000.0001,1687155000000.0,0.0,1317950000000.0,183943000000.0,183943000000.0,1501893000000.0,185262000000.0,582000000.0,2865000000.0,-33105000000.0,-1774000000.0,31779000000.0,54.82
2015-03-31,22255000000.0,977000000.0,21278000000.0,12803000000.0,8163000000.0,5461000000.0,1.06,5160400000.0,390388000000.0,1263730000000.0,474007000000.0001,1737737000000.0,0.0,1364481000000.0,183292000000.0,183292000000.0,1547773000000.0,189964000000.0,727000000.0,2515000000.0,-42924000000.0,-1762000000.0,40631000000.0,54.4
2015-06-30,22274000000.0,956000000.0,21318000000.0,12457000000.0,8549000000.0,5363000000.0,1.04,5151900000.0,332170000000.0,1234943000000.0,485674000000.0001,1720617000000.0,0.0,1350190000000.0,179751000000.0,179751000000.0,1529941000000.0,190676000000.0,831000000.0,-1651000000.0,14798000000.0,-1885000000.0,-13253000000.0,56.24
2015-09-30,22863000000.0,988000000.0,21875000000.0,12791000000.0,8773000000.0,5443000000.0,1.06,5125800000.0,346100000000.0,1259944000000.0,491321000000.0001,1751265000000.0,0.0,1371948000000.0,185274000000.0,185274000000.0,1557222000000.0,194043000000.0,838000000.0,18937000000.0,-44307000000.0,-1882000000.0,23078000000.0,51.35
2015-12-31,22641000000.0,1055000000.0,21586000000.0,13119000000.0,8156000000.0,5203000000.0,1.05,5136500000.0,354056000000.0,1278952000000.0,508680000000.0001,1787632000000.0,0.0,1380285000000.0,199536000000.0,213456000000.0,1593741000000.0,193891000000.0,892000000.0,-3897000000.0,-34802000000.0,-1871000000.0,40415000000.0,54.36
2016-03-31,23500000000.0,1305000000.0,22195000000.0,13821000000.0,8081000000.0,5085000000.0,1.0,5075700000.0,392789000000.0,1346747000000.0,502435000000.0001,1849182000000.0,0.0,1422790000000.0,227888000000.0,227888000000.0,1650678000000.0,198504000000.0,1295000000.0,5914000000.0,-50366000000.0,-1858000000.0,44425000000.0,48.36
2016-06-30,23575000000.0,1413000000.0,22162000000.0,13641000000.0,8222000000.0,5173000000.0,1.02,5066900000.0,396021000000.0,1365664000000.0,523571000000.0001,1889235000000.0,0.0,1442647000000.0,243927000000.0,243927000000.0,1686574000000.0,202661000000.0,938000000.0,-7335000000.0,-19138000000.0,-1881000000.0,27796000000.0,47.33
2016-09-30,23863000000.0,1535000000.0,22328000000.0,13774000000.0,8255000000.0,5243000000.0,1.04,5043400000.0,403558000000.0,1380907000000.0,561217000000.0001,1942124000000.0,0.0,1483331000000.0,254835000000.0,254835000000.0,1738166000000.0,203958000000.0,1365000000.0,-2397000000.0,-39684000000.0,-1870000000.0,40961000000.0,44.28
2016-12-31,23238000000.0,1656000000.0,21582000000.0,13719000000.0,7562000000.0,4872000000.0,0.97,5052800000.0,361164000000.0,1343738000000.0,586377000000.0001,1930115000000.0,0.0,1460049000000.0,255077000000.0,269569000000.0,1729618000000.0,200497000000.0,1372000000.0,4826000000.0,-32731000000.0,-1863000000.0,9609000000.0,55.11
2017-03-31,24144000000.0,1889000000.0,22255000000.0,14108000000.0,7858000000.0,5233000000.0,1.01,5008600000.0,408771000000.0,1374083000000.0,577481000000.0001,1951564000000.0,0.0,1480146000000.0,256468000000.0,268929000000.0,1749075000000.0,202489000000.0,1237000000.0,13138000000.0,-1899000000.0,-1859000000.0,15051000000.0,55.66
2017-06-30,24458000000.0,2223000000.0,22235000000.0,13809000000.0,8139000000.0,5450000000.0,1.08,4989900000.0,368561000000.0,1339874000000.0,590997000000.0001,1930871000000.0,0.0,1474221000000.0,238869000000.0,250505000000.0,1724726000000.0,206145000000.0,1241000000.0,-4326000000.0,10031000000.0,-1856000000.0,-37090000000.0,55.41
2017-09-30,24444000000.0,2595000000.0,21849000000.0,14780000000.0,6781000000.0,4131000000.0,0.85,4948600000.0,380715000000.0,1341676000000.0,593263000000.0001,1934939000000.0,0.0,1479725000000.0,238893000000.0,248390000000.0,1728115000000.0,206824000000.0,1316000000.0,9532000000.0,6652000000.0,-1890000000.0,-7278000000.0,55.15
2017-12-31,24695000000.0,2645000000.0,22050000000.0,17163000000.0,4599000000.0,5740000000.0,1.17,4964600000.0,353596000000.0,1320563000000.0,631194000000.0001,1951757000000.0,0.0,1509862000000.0,225020000000.0,233816000000.0,1743678000000.0,208079000000.0,1612000000.0,275000000.0,-27936000000.0,-1875000000.0,18397000000.0,60.67
2018-03-31,25043000000.0,3109000000.0,21934000000.0,14968000000.0,6701000000.0,4733000000.0,1.13,4885700000.0,335811000000.0,1294271000000.0,621117000000.0001,1915388000000.0,0.0,1474293000000.0,227302000000.0,235185000000.0,1709478000000.0,205910000000.0,1431000000.0,15230000000.0,10161000000.0,-1867000000.0,-38943000000.0,52.41
2018-06-30,25027000000.0,3474000000.0,21553000000.0,14169000000.0,7119000000.0,4792000000.0,0.98,4865800000.0,309235000000.0,1268224000000.0,611476000000.0001,1879700000000.0,0.0,1445840000000.0,219284000000.0,227791000000.0,1673631000000.0,206069000000.0,1404000000.0,-849000000.0,550000000.0,-1855000000.0,-38647000000.0,55.44
2018-09-30,25733000000.0,3792000000.0,21941000000.0,14079000000.0,7598000000.0,5453000000.0,1.1400000000000001,4784000000.0,308182000000.0,1261451000000.0,611530000000.0001,1872981000000.0,0.0,1443393000000.0,221323000000.0,229909000000.0,1673302000000.0,199679000000.0,1387000000.0,6658000000.0,-220000000.0,-2008000000.0,-10364000000.0,52.56
2018-12-31,25257000000.0,4277000000.0,20980000000.0,15611000000.0,5369000000.0,5711000000.0,1.22,4799700000.0,323483000000.0,1283985000000.0,611898000000.0001,1895883000000.0,0.0,1461274000000.0,229044000000.0,237543000000.0,1698817000000.0,197066000000.0,1371000000.0,15034000000.0,-18245000000.0,-1962000000.0,16975000000.0,46.08
2019-03-31,26301000000.0,4692000000.0,21609000000.0,14733000000.0,6848000000.0,5507000000.0,1.21,4551500000.0,317967000000.0,1272350000000.0,615442000000.0001,1887792000000.0,0.0,1445327000000.0,236339000000.0,243732000000.0,1689059000000.0,198733000000.0,1449000000.0,7951000000.0,-9026000000.0,-1997000000.0,-23244000000.0,48.32
2019-06-30,26475000000.0,4891000000.0,21584000000.0,13925000000.0,7632000000.0,5848000000.0,1.31,4469400000.0,346754000000.0,1311119000000.0,612269000000.0001,1923388000000.0,0.0,1473476000000.0,241476000000.0,249875000000.0,1723351000000.0,200037000000.0,1651000000.0,-669000000.0,-10698000000.0,-1957000000.0,26826000000.0,47.32
2019-09-30,26884000000.0,4874000000.0,22010000000.0,15894000000.0,6116000000.0,4037000000.0,0.93,4358500000.0,330895000000.0,1303075000000.0,640875000000.0001,1943950000000.0,0.0,1508935000000.0,230651000000.0,240599000000.0,1749534000000.0,194416000000.0,1840000000.0,-12975000000.0,-7381000000.0,-2164000000.0,4660000000.0,50.44
2019-12-31,26024000000.0,4395000000.0,21629000000.0,16616000000.0,5013000000.0,2711000000.0,0.61,4393100000.0,323123000000.0,1300156000000.0,627399000000.0001,1927555000000.0,0.0,1502301000000.0,228191000000.0,237270000000.0,1739571000000.0,187984000000.0,1633000000.0,12423000000.0,-2526000000.0,-2080000000.0,-17378000000.0,53.8
