,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2017-03-31,238750000.0,99617000.0,139133000.0,58266000.0,12086000.0,-42391000.0,-0.14,94184000.0,12086000.0,311651000.0,192450000.0,192450000.0,9395711000.0,9588161000.0,0.0,101347000.0,5802183000.0,5828772000.0,5930119000.0,3658042000.0,82098000.0,76074000.0,55727000.0,28398000.0,0.0,-188064000.0,21.83
2017-06-30,242216000.0,101975000.0,140241000.0,18426000.0,53594000.0,5529000.0,0.02,129283000.0,53594000.0,311771000.0,158934000.0,158934000.0,9360392000.0,9519326000.0,0.0,110919000.0,5733976000.0,5764436000.0,5875355000.0,3643971000.0,75689000.0,93784000.0,37859000.0,-40359000.0,-18816000.0,-92846000.0,21.63
2017-09-30,243536000.0,104119000.0,139417000.0,27462000.0,29917000.0,-22510000.0,-0.07,103689000.0,29917000.0,311560000.0,134441000.0,134441000.0,9390083000.0,9524524000.0,0.0,160674000.0,5733251000.0,5761837000.0,5922511000.0,3602013000.0,73772000.0,100579000.0,808000.0,-70949000.0,-25090000.0,-38606000.0,22.65
2017-12-31,329954000.0,129128000.0,200826000.0,63585000.0,22610000.0,-45965000.0,-0.11,136433000.0,22610000.0,339423000.0,179878000.0,179878000.0,18503760000.0,18683640000.0,0.0,193413000.0,9798352000.0,9840351000.0,10033760000.0,8649875000.0,113823000.0,-7467000.0,13018000.0,147603000.0,-25091000.0,-11796000.0,23.57
2018-03-31,423669000.0,177931000.0,245738000.0,27636000.0,67481000.0,-17491000.0,-0.03,221074000.0,67481000.0,519661000.0,134893000.0,134893000.0,18561550000.0,18696450000.0,15000000.0,214317000.0,9804052000.0,9845230000.0,10059550000.0,8636897000.0,153593000.0,130080000.0,3052000.0,-101998000.0,-57432000.0,-53896000.0,22.83
2018-06-30,432426000.0,179771000.0,252655000.0,24636000.0,77466000.0,-14155000.0,-0.03,234842000.0,77466000.0,520509000.0,166874000.0,166874000.0,18498490000.0,18665360000.0,0.0,221535000.0,9814841000.0,9860251000.0,10081790000.0,8583577000.0,157376000.0,180255000.0,33102000.0,-87376000.0,-57559000.0,-73705000.0,23.06
2018-09-30,434251000.0,186713000.0,247538000.0,21152000.0,83763000.0,824000.0,0.0,236305000.0,83763000.0,520621000.0,130037000.0,130037000.0,18346610000.0,18476650000.0,0.0,275203000.0,9606224000.0,9636797000.0,9912000000.0,8564648000.0,152542000.0,202746000.0,25015000.0,48340000.0,-57563000.0,-277368000.0,22.91
2018-12-31,432616000.0,176481000.0,256135000.0,25340000.0,93232000.0,25078000.0,0.05,237835000.0,93232000.0,520377000.0,144940000.0,144940000.0,17918490000.0,18063430000.0,0.0,169603000.0,9398811000.0,9524640000.0,9694242000.0,8369186000.0,144603000.0,48160000.0,242109000.0,204027000.0,168534000.0,-275836000.0,20.08
2019-03-31,435500000.0,175506000.0,259994000.0,26538000.0,94455000.0,20716000.0,0.04,243157000.0,94455000.0,521441000.0,130896000.0,130896000.0,17722720000.0,17853620000.0,0.0,193495000.0,9231597000.0,9438756000.0,9632251000.0,8221368000.0,148702000.0,193183000.0,103426000.0,55027000.0,-67965000.0,-256783000.0,24.33
2019-06-30,441582000.0,182595000.0,258987000.0,15956000.0,108329000.0,38833000.0,0.07,256194000.0,108329000.0,525070000.0,77046000.0,77046000.0,17637110000.0,17714150000.0,0.0,227983000.0,9116960000.0,9448702000.0,9676685000.0,8037468000.0,147865000.0,182159000.0,144187000.0,-15836000.0,-68334000.0,-198286000.0,26.73
2019-09-30,443326000.0,191363000.0,251963000.0,16405000.0,97503000.0,33616000.0,0.06,244011000.0,97503000.0,537771200.0,81531000.0,81531000.0,17578490000.0,17660020000.0,0.0,278272000.0,8804916000.0,9205235000.0,9483507000.0,8176511000.0,146508000.0,215506000.0,92171000.0,-65762000.0,-70465000.0,-142786000.0,29.61
2019-12-31,444277100.0,182137000.0,262140100.0,15375000.0,106060900.0,51903000.0,0.1,253927900.0,106060900.0,531236000.0,92258000.0,92258000.0,17300650000.0,17392910000.0,4338000000.0,186110000.0,8615271000.0,8940722000.0,9126832000.0,8266078000.0,147867000.0,71282000.0,294118000.0,128797000.0,-69917000.0,-240247000.0,29.97
2020-03-31,449789000.0,181288000.0,268501000.0,14228000.0,116119000.0,49854000.0,0.09,263302000.0,116119000.0,542550000.0,297060000.0,297060000.0,17296290000.0,17593350000.0,3452000000.0,180222000.0,8788966000.0,9454997000.0,9635218000.0,7958127000.0,147183000.0,177721000.0,52056000.0,-80742000.0,-81774000.0,132571000.0,21.37
2020-06-30,449755000.0,181531000.0,268224000.0,14426000.0,116712000.0,42784000.0,0.08,264700000.0,116712000.0,548812000.0,571719000.0,571719000.0,17174600000.0,17746320000.0,2498000000.0,190344000.0,8505772000.0,9212100000.0,9402443000.0,8343873000.0,147988000.0,218214000.0,31024000.0,-8762000.0,-81682000.0,70366000.0,27.53
2020-09-30,459184000.0,192821000.0,266363000.0,17972000.0,108521000.0,32540000.0,0.06,254850000.0,108521000.0,560599000.0,559567000.0,559567000.0,17191220000.0,17750790000.0,1348000000.0,261355000.0,8485916000.0,9158055000.0,9419410000.0,8331377000.0,146329000.0,229737000.0,56038000.0,-104871000.0,-84195000.0,-111571000.0,27.99
2020-12-31,464100000.0,183516000.0,280584000.0,16679000.0,125788800.0,70586000.0,0.13,279837900.0,125788900.0,553993300.0,213422000.0,213422000.0,17292800000.0,17506220000.0,3841000000.0,149299000.0,8189440000.0,8800851000.0,8950149000.0,8556073000.0,154049000.0,71040000.0,4756000.0,-230781000.0,-84500000.0,-237399000.0,29.7
2021-03-31,475225000.0,184215000.0,291010000.0,16950000.0,129203000.0,57272000.0,0.1,281363000.0,129203000.0,567375500.0,187310000.0,187310000.0,17303110000.0,17490420000.0,2339000000.0,180423000.0,8182887000.0,8677636000.0,8858059000.0,8632360000.0,152160000.0,240588000.0,11985000.0,-122556000.0,-97230000.0,-118979000.0,31.99
2021-06-30,491633000.0,193118000.0,298515000.0,19828000.0,132427000.0,60242000.0,0.11,284989000.0,132427000.0,567931000.0,126168000.0,126168000.0,17358440000.0,17484610000.0,1431000000.0,217394000.0,8176662000.0,8647541000.0,8864935000.0,8619676000.0,152562000.0,229513000.0,15449000.0,-160319000.0,-96597000.0,-111871000.0,37.29
2021-09-30,509532000.0,202370000.0,307162000.0,19369000.0,132805000.0,69108000.0,0.12,291833000.0,132805000.0,577011000.0,569663000.0,569663000.0,17680900000.0,18250570000.0,185000000.0,1228962000.0,7044911000.0,7498358000.0,8727321000.0,9523245000.0,159028000.0,312718000.0,-10104000.0,-445940000.0,-98283000.0,586228000.0,38.33
2021-12-31,520225000.0,198056000.0,322169000.0,19668000.0,147795100.0,74476000.0,0.12,306296100.0,147795000.0,577681100.0,610166000.0,610166000.0,17927680000.0,18537850000.0,2216000000.0,2115607000.0,6241852000.0,6583435000.0,8699042000.0,9838804000.0,158501000.0,125851000.0,-25894000.0,-431753000.0,-101702000.0,303610000.0,45.34
2022-03-31,532310000.0,203236000.0,329074000.0,17639000.0,154124000.0,92395000.0,0.15,316118000.0,154124000.0,606410200.0,467457000.0,467457000.0,18076770000.0,18544220000.0,835000000.0,2098269000.0,6100900000.0,6220821000.0,8319090000.0,10225130000.0,161994000.0,235264000.0,-28805000.0,-289456000.0,-134825000.0,-81517000.0,40.18
2022-06-30,557300000.0,212494000.0,344806000.0,19342000.0,165537000.0,110815000.0,0.18,330055000.0,165537000.0,610332000.0,272708000.0,272708000.0,18234280000.0,18506980000.0,2000000.0,2754274000.0,5408985000.0,5470721000.0,8224995000.0,10281990000.0,164518000.0,318435000.0,-20407000.0,-292870000.0,-134983000.0,-229118000.0,35.58
2022-09-30,568675000.0,226172000.0,342503000.0,20123000.0,141948000.0,79032000.0,0.13,308125000.0,141948000.0,610846000.0,300312000.0,300312000.0,18378100000.0,18678410000.0,1000000.0,2843239000.0,5409039000.0,5488826000.0,8332065000.0,10346350000.0,166177000.0,353181000.0,-26124000.0,-176697000.0,-134569000.0,-140184000.0,33.77
