,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,815700000.0,815700000.0,363400000.0,372600000.0,240100000.0,0.93,394100000.0,372600000.0,256900000.0,1285900000.0,364600000.0,1650500000.0,2960100000.0,4610600000.0,0.0,503600000.0,0.0,0.0,503600000.0,4107000000.0,21500000.0,459400000.0,-22800000.0,-31600000.0,-98700000.0,-21000000.0,74.87
2013-06-30,854300000.0,854300000.0,370600000.0,398800000.0,245800000.0,0.9500000000000001,420700000.0,398800000.0,258200000.0,1455900000.0,366500000.0,1822400000.0,2976500000.0,4798900000.0,0.0,488400000.0,0.0,0.0,488400000.0,4310500000.0,21900000.0,268500000.0,-18700000.0,-25600000.0,-99000000.0,-72900000.0,73.2
2013-09-30,884400000.0,884400000.0,369400000.0,425900000.0,267700000.0,1.03,448000000.0,425900000.0,258700000.0,1693300000.0,365600000.0,2058900000.0,3067900000.0,5126800000.0,0.0,586200000.0,0.0,0.0,586200000.0,4540600000.0,22100000.0,430400000.0,-33100000.0,-81400000.0,-99400000.0,-111600000.0,71.93
2013-12-31,929799700.0,929799700.0,393500000.0,440099700.0,284800000.0,1.1,465199700.0,440099900.0,258300000.0,1398000000.0,398800000.0,1796800000.0,3236300000.0,5033100000.0,0.0,215000000.0,0.0,0.0,215000000.0,4818100000.0,25100000.0,74900000.0,-31200000.0,-298900000.0,-99600000.0,-71300000.0,83.77
2014-03-31,954600000.0,954600000.0,410600000.0,449100000.0,301100000.0,1.16,476200000.0,449100000.0,260400000.0,1739300000.0,419700000.0,2159000000.0,3303900000.0,5462900000.0,0.0,425700000.0,0.0,0.0,425700000.0,5037200000.0,27100000.0,487100000.0,-25400000.0,-29800000.0,-115800000.0,-116000000.0,82.35
2014-06-30,984300000.0,984300000.0,412400000.0,473100000.0,302400000.0,1.16,501100000.0,473100000.0,260700000.0,1704300000.0,426000000.0,2130300000.0,3538700000.0,5669000000.0,0.0,395400000.0,0.0,0.0,395400000.0,5273600000.0,28000000.0,238500000.0,-34300000.0,-158000000.0,-115900000.0,-115500000.0,84.41
2014-09-30,1020800000.0,1020800000.0,432400000.0,488700000.0,299800000.0,1.15,516999900.0,488700000.0,259700000.0,1644500000.0,423600000.0,2068100000.0,3699900000.0,5768000000.0,0.0,540500000.0,0.0,0.0,540500000.0,5227500000.0,28300000.0,490500000.0,-22900000.0,-227900000.0,-115500000.0,-322400000.0,78.4
2014-12-31,1022400000.0,1022400000.0,437700000.0,480000100.0,312100100.0,1.21,508300100.0,480000200.0,259600000.0,1506100000.0,442800000.0,1948900000.0,3695500000.0,5644400000.0,0.0,249200000.0,0.0,0.0,249200000.0,5395200000.0,28300000.0,127800000.0,-43600000.0,-27700000.0,-114900000.0,-238500000.0,85.86
2015-03-31,1027000000.0,1027000000.0,447600000.0,477800000.0,301100000.0,1.16,506900100.0,477800000.0,258700000.0,1810400000.0,447300000.0,2257700000.0,3704300000.0,5962000000.0,0.0,960000000.0,0.0,0.0,960000000.0,5002000000.0,29100000.0,543800000.0,-41300000.0,-34100000.0,-135400000.0,-205400000.0,80.98
2015-06-30,1072400000.0,1072400000.0,453600000.0,507800000.0,329100000.0,1.28,540000100.0,507800000.0,257700000.0,1269200000.0,449400000.0,1718600000.0,3696900000.0,5415500000.0,0.0,448400000.0,0.0,0.0,448400000.0,4967100000.0,32200000.0,342900000.0,-38600000.0,200000.0,-659100000.0,-884300000.0,77.73
2015-09-30,1049000000.0,1049000000.0,471000000.0,458300000.0,273000000.0,1.08,491400100.0,458300000.0,252700000.0,1164400000.0,431400000.0,1595800000.0,3670800000.0,5266600000.0,0.0,593000000.0,0.0,0.0,593000000.0,4673600000.0,33100000.0,506900000.0,-34700000.0,-14700000.0,-132700000.0,-597000000.0,69.5
2015-12-31,1052200000.0,1052200000.0,461799900.0,455000400.0,303700000.0,1.2,486900400.0,455000200.0,254600000.0,1172300000.0,446000000.0,1618300000.0,3488600000.0,5106900000.0,0.0,276000000.0,0.0,68900000.0,344900000.0,4762000000.0,31900000.0,136900000.0,-36700000.0,157600000.0,-131800000.0,-286600000.0,71.49
2016-03-31,994100000.0,994100000.0,453600000.0,410900000.0,298300000.0,1.17,443100000.0,410900000.0,246700000.0,1322900000.0,428100000.0,1751000000.0,4452900000.0,6203900000.0,0.0,556500000.0,0.0,883600000.0,1440100000.0,4763800000.0,32200000.0,72500000.0,-35200000.0,207800000.0,-135900000.0,-50800000.0,73.46
2016-06-30,1044700000.0,1044700000.0,462300000.0,283500000.0,199300000.0,0.78,317300000.0,283500000.0,246900000.0,1275200000.0,427400000.0,1702600000.0,4879100000.0,6581700000.0,0.0,532500000.0,0.0,1188300000.0,1720800000.0,4860900000.0,33800000.0,-86700000.0,-44000000.0,-45800000.0,-135700000.0,134600000.0,72.97
2016-09-30,1092900000.0,1092900000.0,482900000.0,475700000.0,320500000.0,1.3,509700000.0,475700000.0,245600000.0,1401000000.0,446900000.0,1847900000.0,4875600000.0,6723500000.0,0.0,723400000.0,0.0,1166400000.0,1889800000.0,4833700000.0,34000000.0,282400000.0,-33300000.0,-51700000.0,-135000000.0,-129100000.0,66.5
2016-12-31,1153100000.0,1153100000.0,946700200.0,563300000.0,371400000.0,1.53,596700000.0,563300000.0,245500000.0,1204900000.0,455100000.0,1660000000.0,4565000000.0,6225000000.0,0.0,312700000.0,0.0,903700000.0,1216400000.0,5008600000.0,33400000.0,-97700000.0,-35800000.0,-4100000.0,-134200000.0,-131100000.0,75.26
2017-03-31,1132600000.0,1132600000.0,622300000.0,521700000.0,377200000.0,1.56,557300000.0,521700000.0,242100000.0,1580800000.0,482500000.0,2063300000.0,4212300000.0,6275600000.0,0.0,612200000.0,0.0,663200000.0,1275400000.0,5000200000.0,35600000.0,188500000.0,-46900000.0,29400000.0,-140900000.0,146000000.0,68.15
2017-06-30,1186000000.0,1186000000.0,644000000.0,507600000.0,365400000.0,1.52,543900000.0,507600000.0,239800000.0,1542200000.0,488700000.0,2030900000.0,4501700000.0,6532600000.0,0.0,508100000.0,0.0,855900000.0,1364000000.0,5168600000.0,36300000.0,-49300000.0,-35700000.0,108200000.0,-139500000.0,-81200000.0,74.21
2017-09-30,1238700000.0,1238700000.0,652300000.0,548499900.0,382100000.0,1.5899999999999999,583499900.0,548499900.0,240300000.0,1869400000.0,507900000.0,2377300000.0,5002300000.0,7379600000.0,0.0,664100000.0,0.0,1187500000.0,1851600000.0,5528000000.0,35000000.0,213600000.0,-46500000.0,-62200000.0,-140400000.0,205800000.0,90.65
2017-12-31,1297600000.0,1297600000.0,731499900.0,531000100.0,339200000.0,1.4,567700100.0,530999900.0,241200000.0,1902700000.0,565300000.0,2468000000.0,5067400000.0,7535400000.0,0.0,393000000.0,0.0,1318000000.0,1711000000.0,5824400000.0,36700000.0,-123300000.0,-57000000.0,-36400000.0,-142300000.0,190900000.0,104.93
2018-03-31,1328000000.0,1328000000.0,702100000.0,583800000.0,443100000.0,1.81,620700100.0,583800000.0,244300000.0,1681400000.0,593600000.0,2275000000.0,5099300000.0,7374300000.0,0.0,588200000.0,0.0,884200000.0,1472400000.0,5901900000.0,36900000.0,521000000.0,-36700000.0,-519800000.0,-174800000.0,-242100000.0,107.97
