"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"VWO","VANGUARD INTL EQUITY INDEX F","FTSE EMR MKT ETF","922042858","4,577,428","36%","111,999,698","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","3,387,207","26%","16,408,500","",""
"EEM","ISHARES TR","MSCI EMG MKT ETF","464287234","3,079,716","24%","76,743,491","",""
"AAPL","APPLE INC","COM","037833100","91,207","0.7%","732,997","",""
"LQD","ISHARES TR","IBOXX INV CP ETF","464287242","67,410","0.5%","553,855","",""
"POT","POTASH CORP SASK INC","COM","73755L107","39,312","0.3%","1,219,100","",""
"IVV","ISHARES TR","CORE S&P500 ETF","464287200","36,370","0.3%","175,000","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","26,970","0.2%","268,093","",""
"KO","COCA COLA CO","COM","191216100","23,429","0.2%","577,774","",""
"VALPQ","ENSCO PLC","SHS CLASS A","G3157S106","22,175","0.2%","1,052,444","",""
"MU","MICRON TECHNOLOGY INC","COM","595112103","22,110","0.2%","814,974","",""
"IBM","INTERNATIONAL BUSINESS MACHS","COM","459200101","21,835","0.2%","136,044","",""
"AGU","AGRIUM INC","COM","008916108","20,919","0.2%","200,628","",""
"MCHP","MICROCHIP TECHNOLOGY INC","COM","595017104","20,264","0.2%","414,394","",""
"SYY","SYSCO CORP","COM","871829107","19,443","0.2%","515,326","",""
"MET","METLIFE INC","COM","59156R108","18,827","0.1%","372,445","",""
"VRSN","VERISIGN INC","COM","92343E102","18,057","0.1%","269,628","",""
"INTC","INTEL CORP","COM","458140100","17,833","0.1%","570,303","",""
"EA","ELECTRONIC ARTS INC","COM","285512109","17,329","0.1%","294,643","",""
"","ALCOA INC","COM","013817101","17,149","0.1%","1,327,300","",""
"GG","GOLDCORP INC NEW","COM","380956409","16,469","0.1%","908,861","",""
"ABX.TO","BARRICK GOLD CORP","COM","067901108","16,091","0.1%","1,468,200","",""
"EMN","EASTMAN CHEM CO","COM","277432100","15,690","0.1%","226,538","",""
"MON","MONSANTO CO NEW","COM","61166W101","15,632","0.1%","138,899","",""
"RAD","RITE AID CORP","COM","767754104","14,776","0.1%","1,700,374","",""
"XOM","EXXON MOBIL CORP","COM","30231G102","14,354","0.1%","168,868","",""
"LRCX","LAM RESEARCH CORP","COM","512807108","14,019","0.1%","199,604","",""
"CSCO","CISCO SYS INC","COM","17275R102","13,872","0.1%","503,980","",""
"BP","BP PLC","SPONSORED ADR","055622104","13,829","0.1%","353,600","",""
"CVX","CHEVRON CORP NEW","COM","166764100","13,805","0.1%","131,500","",""
"BHP","BHP BILLITON LTD","SPONSORED ADR","088606108","13,718","0.1%","295,211","",""
"OXY","OCCIDENTAL PETE CORP DEL","COM","674599105","13,680","0.1%","187,400","",""
"CERN","CERNER CORP","COM","156782104","13,661","0.1%","186,470","",""
"COP","CONOCOPHILLIPS","COM","20825C104","13,560","0.1%","217,800","",""
"EOG","EOG RES INC","COM","26875P101","13,533","0.1%","147,600","",""
"UNH","UNITEDHEALTH GROUP INC","COM","91324P102","13,508","0.1%","114,192","",""
"MDT","MEDTRONIC PLC","SHS","G5960L103","13,479","0.1%","172,832","",""
"NEM","NEWMONT MINING CORP","COM","651639106","13,464","0.1%","620,187","",""
"EMC","E M C CORP MASS","COM","268648102","13,250","0.1%","518,397","",""
"ORLY","O REILLY AUTOMOTIVE INC NEW","COM","67103H107","13,156","0.1%","60,839","",""
"RIO","RIO TINTO PLC","SPONSORED ADR","767204100","13,140","0.1%","317,400","",""
"NVDA","NVIDIA CORP","COM","67066G104","13,020","0.1%","622,243","",""
"WU","WESTERN UN CO","COM","959802109","12,877","0.1%","618,789","",""
"PEP","PEPSICO INC","COM","713448108","12,479","0.1%","130,509","",""
"","NOBLE CORP PLC","SHS USD","G65431101","12,451","0.1%","871,902","",""
