"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"WFC","WELLS FARGO & CO NEW","COM","949746101","24,359,359","23%","463,458,123","",""
"KO","COCA COLA CO","COM","191216100","16,944,000","16%","400,000,000","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","14,383,308","13%","151,610,700","",""
"IBM","INTERNATIONAL BUSINESS MACHS","COM","459200101","12,720,437","12%","70,173,978","",""
"WMT","WAL MART STORES INC","COM","931142103","4,413,910","4.1%","58,797,259","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","4,149,008","3.9%","52,793,078","",""
"XOM","EXXON MOBIL CORP","COM","30231G102","4,140,932","3.8%","41,129,643","",""
"USB","US BANCORP DEL","COM NEW","902973304","3,469,692","3.2%","80,094,497","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","2,720,762","2.5%","37,621,152","",""
"MCO","MOODYS CORP","COM","615369105","2,162,553","2.0%","24,669,778","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","2,115,024","2.0%","12,631,531","",""
"DTV","DIRECTV","COM","25490A309","1,995,014","1.9%","23,467,995","",""
"GM","GENERAL MTRS CO","COM","37045V100","1,196,451","1.1%","32,960,056","",""
"USG","U S G CORP","COM NEW","903293405","1,175,131","1.1%","39,002,016","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","923,989","0.9%","24,652,836","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","733,996","0.7%","15,000,928","",""
"CBI","CHICAGO BRIDGE & IRON CO N V","N Y REGISTRY SH","167250109","729,816","0.7%","10,701,110","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","701,619","0.7%","16,458,330","",""
"MTB","M & T BK CORP","COM","55261F104","667,642","0.6%","5,382,040","",""
"VIAB","VIACOM INC NEW","CL B","92553P201","659,772","0.6%","7,607,200","",""
"VRSN","VERISIGN INC","COM","92343E102","633,798","0.6%","12,985,000","",""
"NOV","NATIONAL OILWELL VARCO INC","COM","637071101","601,342","0.6%","7,302,278","",""
"","LIBERTY MEDIA CORP DELAWARE","CL A","531229102","546,720","0.5%","4,000,000","",""
"PSX","PHILLIPS 66","COM","718546104","522,457","0.5%","6,495,800","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","499,030","0.5%","4,333,363","",""
"PCP","PRECISION CASTPARTS CORP","COM","740189105","473,659","0.4%","1,876,622","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","436,299","0.4%","9,866,546","",""
"WBC","WABCO HLDGS INC","COM","92927K102","435,433","0.4%","4,076,325","",""
"V","VISA INC","COM CL A","92826C839","379,225","0.4%","1,799,749","",""
"LBRDA","CHARTER COMMUNICATIONS INC D","CL A NEW","16117M305","365,701","0.3%","2,309,013","",""
"DE","DEERE & CO","COM","244199105","360,277","0.3%","3,978,767","",""
"GL","TORCHMARK CORP","COM","891027104","346,998","0.3%","4,235,818","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","310,850","0.3%","7,346,968","",""
"MA","MASTERCARD INC","CL A","57636Q104","297,554","0.3%","4,050,000","",""
"GE","GENERAL ELECTRIC CO","COM","369604103","278,186","0.3%","10,585,502","",""
"SNY","SANOFI","SPONSORED ADR","80105N105","207,676","0.2%","3,905,875","",""
"COP","CONOCOPHILLIPS","COM","20825C104","116,184","0.1%","1,355,228","",""
"MEG","MEDIA GEN INC","CL A","584404107","95,387","0.1%","4,646,220","",""
"VRSK","VERISK ANALYTICS INC","CL A","92345Y106","93,837","0.1%","1,563,434","",""
"GHC","GRAHAM HLDGS CO","COM","384637104","77,251","0.1%","107,575","",""
"DNOW","NOW INC","COM","67011P100","66,104","0.1%","1,825,569","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","34,221","0.0%","327,100","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","21,739","0.0%","578,000","",""
"KRFT","KRAFT FOODS GROUP INC","COM","50076Q106","11,550","0.0%","192,666","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","6,098","0.0%","59,400","",""
"LEE","LEE ENTERPRISES INC","COM","523768109","395","0.0%","88,863","",""
