"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","62,340,609","36%","245,155,566","",""
"BAC","BANK AMER CORP","COM","060505104","19,637,932","11%","925,008,600","",""
"KO","COCA COLA CO","COM","191216100","17,700,001","10%","400,000,000","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","12,979,391","7.4%","151,610,700","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","9,276,210","5.3%","323,212,918","",""
"KHC","KRAFT HEINZ CO","COM","500754106","8,056,205","4.6%","325,634,818","",""
"MCO","MOODYS CORP","COM","615369105","5,217,658","3.0%","24,669,778","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","5,196,030","3.0%","57,714,433","",""
"USB","US BANCORP DEL","COM NEW","902973304","4,563,233","2.6%","132,459,618","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","2,897,549","1.7%","38,095,570","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","2,686,487","1.5%","79,765,057","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","2,367,684","1.3%","5,426,609","",""
"VRSN","VERISIGN INC","COM","92343E102","2,307,964","1.3%","12,815,613","",""
"DAL","DELTA AIR LINES INC DEL","COM NEW","247361702","2,050,935","1.2%","71,886,963","",""
"LUV","SOUTHWEST AIRLS CO","COM","844741108","1,910,218","1.1%","53,642,713","",""
"V","VISA INC","COM CL A","92826C839","1,701,823","1.0%","10,562,460","",""
"GM","GENERAL MTRS CO","COM","37045V100","1,551,872","0.9%","74,681,000","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","1,235,572","0.7%","4,333,363","",""
"MA","MASTERCARD INC","CL A","57636Q104","1,192,040","0.7%","4,934,756","",""
"AMZN","AMAZON COM INC","COM","023135106","1,039,786","0.6%","533,300","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","975,508","0.6%","30,850,985","",""
"PNC","PNC FINL SVCS GROUP INC","COM","693475105","880,431","0.5%","9,197,984","",""
"UAL","UNITED CONTL HLDGS INC","COM","910047109","699,073","0.4%","22,157,608","",""
"SIRI","SIRIUS XM HLDGS INC","COM","82968B103","654,149","0.4%","132,418,729","",""
"KR","KROGER CO","COM","501044101","570,475","0.3%","18,940,079","",""
"MTB","M & T BK CORP","COM","55261F104","556,665","0.3%","5,382,040","",""
"AAL","AMERICAN AIRLS GROUP INC","COM","02376R102","510,871","0.3%","41,909,000","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","470,925","0.3%","14,860,360","",""
"GL","GLOBE LIFE INC","COM","37959E102","457,278","0.3%","6,353,727","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","415,689","0.2%","24,070,000","",""
"TEVA","TEVA PHARMACEUTICAL INDS LTD","SPONSORED ADR","881624209","384,248","0.2%","42,789,295","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","337,782","0.2%","8,438,225","",""
"STOR","STORE CAP CORP","COM","862121100","337,425","0.2%","18,621,674","",""
"SYF","SYNCHRONY FINL","COM","87165B103","323,860","0.2%","20,128,000","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","318,808","0.2%","19,310,000","",""
"STNE","STONECO LTD","COM CL A","G85158106","308,410","0.2%","14,166,748","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","296,841","0.2%","1,920,180","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","236,195","0.1%","14,949,031","",""
"OXY","OCCIDENTAL PETE CORP","COM","674599105","219,245","0.1%","18,933,054","",""
"BIIB","BIOGEN INC","COM","09062X103","203,440","0.1%","643,022","",""
"RH","RH","COM","74967X103","171,638","0.1%","1,708,348","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","115,421","0.1%","7,346,968","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","42,893","0.0%","327,100","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","34,694","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","28,946","0.0%","578,000","",""
"LILA","LIBERTY LATIN AMERICA LTD","COM CL A","G9001E102","27,676","0.0%","2,630,792","",""
"LILAK","LIBERTY LATIN AMERICA LTD","COM CL C","G9001E128","13,174","0.0%","1,284,020","",""
"VOO","VANGUARD INDEX FDS","S&P 500 ETF SHS","922908363","10,183","0.0%","43,000","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","10,155","0.0%","39,400","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","5,549","0.0%","59,400","",""
