"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","46,639,553","24%","251,955,877","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","25,059,643","13%","452,013,758","",""
"KHC","KRAFT HEINZ CO","COM","500754106","20,456,379","11%","325,634,818","",""
"BAC","BANK AMER CORP","COM","060505104","19,141,009","9.8%","679,000,000","",""
"KO","COCA COLA CO","COM","191216100","17,544,001","9.0%","400,000,000","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","14,857,849","7.6%","151,610,700","",""
"USB","US BANCORP DEL","COM NEW","902973304","5,036,709","2.6%","100,693,874","",""
"MCO","MOODYS CORP","COM","615369105","4,207,677","2.2%","24,669,778","",""
"PSX","PHILLIPS 66","COM","718546104","3,900,471","2.0%","34,729,514","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","3,494,685","1.8%","64,800,376","",""
"DAL","DELTA AIR LINES INC DEL","COM NEW","247361702","3,154,005","1.6%","63,665,840","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","2,923,543","1.5%","13,254,490","",""
"LUV","SOUTHWEST AIRLS CO","COM","844741108","2,877,132","1.5%","56,547,399","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","2,677,993","1.4%","38,565,570","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","2,200,303","1.1%","7,504,185","",""
"GM","GENERAL MTRS CO","COM","37045V100","2,024,908","1.0%","51,393,611","",""
"UAL","UNITED CONTL HLDGS INC","COM","910047109","1,860,714","1.0%","26,684,542","",""
"VRSN","VERISIGN INC","COM","92343E102","1,779,966","0.9%","12,952,745","",""
"AAL","AMERICAN AIRLS GROUP INC","COM","02376R102","1,696,812","0.9%","44,700,000","",""
"USG","U S G CORP","COM NEW","903293405","1,681,767","0.9%","39,002,016","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","1,410,288","0.7%","31,090,985","",""
"V","VISA INC","COM CL A","92826C839","1,398,998","0.7%","10,562,460","",""
"TEVA","TEVA PHARMACEUTICAL INDS LTD","SPONSORED ADR","881624209","1,051,823","0.5%","43,249,295","",""
"MA","MASTERCARD INC","CL A","57636Q104","969,778","0.5%","4,934,756","",""
"SIRI","SIRIUS XM HLDGS INC","COM","82968B103","933,690","0.5%","137,915,729","",""
"MTB","M & T BK CORP","COM","55261F104","915,754","0.5%","5,382,040","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","905,586","0.5%","4,333,363","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","735,441","0.4%","24,264,000","",""
"SYF","SYNCHRONY FINL","COM","87165B103","694,404","0.4%","20,803,000","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","669,460","0.3%","14,860,360","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","545,044","0.3%","19,791,000","",""
"GL","TORCHMARK CORP","COM","891027104","517,257","0.3%","6,353,727","",""
"STOR","STORE CAP CORP","COM","862121100","510,234","0.3%","18,621,674","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","508,825","0.3%","8,438,225","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","195,503","0.1%","7,346,968","",""
"SNY","SANOFI","SPONSORED ADR","80105N105","148,078","0.1%","3,701,012","",""
"WMT","WAL MART STORES INC","COM","931142103","119,354","0.1%","1,393,513","",""
"LILA","LIBERTY LATIN AMERICA LTD","COM CL A","G9001E102","51,908","0.0%","2,714,854","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","39,690","0.0%","327,100","",""
"LILAK","LIBERTY LATIN AMERICA LTD","COM CL C","G9001E128","24,884","0.0%","1,284,020","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","24,620","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","23,698","0.0%","578,000","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","6,310","0.0%","59,400","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","47","0.0%","928","",""
