"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","89,432,750","44%","245,155,566","",""
"BAC","BANK AMER CORP","COM","060505104","21,968,954","11%","925,008,600","",""
"KO","COCA COLA CO","COM","191216100","17,871,999","8.8%","400,000,000","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","14,433,339","7.1%","151,610,700","",""
"KHC","KRAFT HEINZ CO","COM","500754106","10,384,494","5.1%","325,634,818","",""
"MCO","MOODYS CORP","COM","615369105","6,777,528","3.3%","24,669,778","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","6,082,118","3.0%","237,582,705","",""
"USB","US BANCORP DEL","COM NEW","902973304","4,858,836","2.4%","131,961,832","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","3,014,883","1.5%","38,095,570","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","2,796,615","1.4%","72,357,453","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","2,659,074","1.3%","5,213,461","",""
"VRSN","VERISIGN INC","COM","92343E102","2,650,654","1.3%","12,815,613","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","2,088,925","1.0%","22,208,427","",""
"V","VISA INC","COM CL A","92826C839","1,929,278","1.0%","9,987,460","",""
"GM","GENERAL MTRS CO","COM","37045V100","1,889,429","0.9%","74,681,000","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","1,488,525","0.7%","43,208,291","",""
"AMZN","AMAZON COM INC","COM","023135106","1,471,279","0.7%","533,300","",""
"MA","MASTERCARD INC","CL A","57636Q104","1,349,798","0.7%","4,564,756","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","1,313,919","0.6%","4,333,363","",""
"KR","KROGER CO","COM","501044101","742,672","0.4%","21,940,079","",""
"STOR","STORE CAP CORP","COM","862121100","581,325","0.3%","24,415,168","",""
"ABX.TO","BARRICK GOLD CORPORATION","COM","067901108","563,550","0.3%","20,918,701","",""
"PNC","PNC FINL SVCS GROUP INC","COM","693475105","562,935","0.3%","5,350,586","",""
"STNE","STONECO LTD","COM CL A","G85158106","549,103","0.3%","14,166,748","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","542,779","0.3%","24,070,000","",""
"TEVA","TEVA PHARMACEUTICAL INDS LTD","SPONSORED ADR","881624209","527,592","0.3%","42,789,295","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","512,980","0.3%","14,860,360","",""
"GL","GLOBE LIFE INC","COM","37959E102","471,636","0.2%","6,353,727","",""
"MTB","M & T BK CORP","COM","55261F104","471,626","0.2%","4,536,174","",""
"SYF","SYNCHRONY FINL","COM","87165B103","446,036","0.2%","20,128,000","",""
"RH","RH","COM","74967X103","425,208","0.2%","1,708,348","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","422,117","0.2%","19,310,000","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","323,738","0.2%","19,201,525","",""
"SIRI","SIRIUS XM HLDGS INC","COM","82968B103","293,500","0.1%","50,000,000","",""
"BIIB","BIOGEN INC","COM","09062X103","172,041","0.1%","643,022","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","158,033","0.1%","7,346,968","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","46,000","0.0%","327,100","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","37,712","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","29,553","0.0%","578,000","",""
"LILA","LIBERTY LATIN AMERICA LTD","COM CL A","G9001E102","25,572","0.0%","2,630,792","",""
"VOO","VANGUARD INDEX FDS","S&P 500 ETF SHS","922908363","12,187","0.0%","43,000","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","12,149","0.0%","39,400","",""
"LILAK","LIBERTY LATIN AMERICA LTD","COM CL C","G9001E128","12,121","0.0%","1,284,020","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","6,604","0.0%","59,400","",""
