"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"WFC","WELLS FARGO & CO NEW","COM","949746101","26,076,724","20%","479,704,270","",""
"KHC","KRAFT HEINZ CO","COM","500754106","23,693,189","18%","325,634,818","",""
"KO","COCA COLA CO","COM","191216100","17,184,000","13%","400,000,000","",""
"IBM","INTERNATIONAL BUSINESS MACHS","COM","459200101","11,151,823","8.5%","81,033,450","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","10,544,524","8.0%","151,610,700","",""
"PSX","PHILLIPS 66","COM","718546104","5,029,632","3.8%","61,486,926","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","4,192,298","3.2%","52,793,078","",""
"USB","US BANCORP DEL","COM NEW","902973304","3,629,646","2.8%","85,063,167","",""
"WMT","WAL MART STORES INC","COM","931142103","3,444,158","2.6%","56,185,293","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","2,688,406","2.0%","38,565,570","",""
"MCO","MOODYS CORP","COM","615369105","2,475,366","1.9%","24,669,778","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","1,975,234","1.5%","10,959,519","",""
"LBRDA","CHARTER COMMUNICATIONS INC D","CL A NEW","16117M305","1,882,561","1.4%","10,281,603","",""
"DE","DEERE & CO","COM","244199105","1,745,375","1.3%","22,884,150","",""
"GM","GENERAL MTRS CO","COM","37045V100","1,700,501","1.3%","50,000,000","",""
"T","AT&T INC","COM","00206R102","1,602,719","1.2%","46,577,138","",""
"VRSN","VERISIGN INC","COM","92343E102","1,134,370","0.9%","12,985,000","",""
"PCP","PRECISION CASTPARTS CORP","COM","740189105","974,626","0.7%","4,200,792","",""
"USG","U S G CORP","COM NEW","903293405","947,359","0.7%","39,002,016","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","829,026","0.6%","20,112,212","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","774,000","0.6%","30,000,000","",""
"V","VISA INC","COM CL A","92826C839","766,594","0.6%","9,885,160","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","699,838","0.5%","4,333,363","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","693,343","0.5%","15,000,928","",""
"MTB","M & T BK CORP","COM","55261F104","652,195","0.5%","5,382,040","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","621,585","0.5%","23,324,000","",""
"FWONK","LIBERTY MEDIA CORP DELAWARE","COM SER C","531229300","585,909","0.4%","15,386,257","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","531,377","0.4%","12,544,296","",""
"MA","MASTERCARD INC","CL A","57636Q104","509,169","0.4%","5,229,756","",""
"KMI","KINDER MORGAN INC DEL","COM","49456B101","395,880","0.3%","26,533,525","",""
"GL","TORCHMARK CORP","COM","891027104","363,180","0.3%","6,353,727","",""
"WBC","WABCO HLDGS INC","COM","92927K102","340,650","0.3%","3,331,215","",""
"GE","GENERAL ELECTRIC CO","COM","369604103","329,739","0.3%","10,585,502","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","315,252","0.2%","8,438,225","",""
"","LIBERTY MEDIA CORP DELAWARE","CL A","531229102","306,150","0.2%","7,800,000","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","299,536","0.2%","7,346,968","",""
"TFCFA","TWENTY FIRST CENTY FOX INC","CL A","90130A101","243,133","0.2%","8,951,869","",""
"SNY","SANOFI","SPONSORED ADR","80105N105","166,586","0.1%","3,905,875","",""
"VRSK","VERISK ANALYTICS INC","CL A","92345Y106","120,197","0.1%","1,563,434","",""
"","MEDIA GEN INC NEW","COM","58441K100","56,062","0.0%","3,471,309","",""
"GHC","GRAHAM HLDGS CO","COM","384637104","52,171","0.0%","107,575","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","33,600","0.0%","327,100","",""
"DNOW","NOW INC","COM","67011P100","28,880","0.0%","1,825,569","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","25,918","0.0%","578,000","",""
"LILA","LIBERTY GLOBAL PLC","LILAC SHS CL A","G5480U138","21,394","0.0%","517,139","",""
"LILAK","LIBERTY GLOBAL PLC","LILAC SHS CL C","G5480U153","15,796","0.0%","367,348","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","5,716","0.0%","59,400","",""
"LEE","LEE ENTERPRISES INC","COM","523768109","149","0.0%","88,863","",""
