"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","47,409,494","24%","249,589,329","",""
"BAC","BANK AMER CORP","COM","060505104","24,725,263","12%","896,167,600","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","19,801,718","9.9%","409,803,773","",""
"KO","COCA COLA CO","COM","191216100","18,744,001","9.4%","400,000,000","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","16,571,049","8.3%","151,610,700","",""
"KHC","KRAFT HEINZ CO","COM","500754106","10,631,977","5.3%","325,634,818","",""
"USB","US BANCORP DEL","COM NEW","902973304","6,231,393","3.1%","129,308,831","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","6,024,697","3.0%","59,514,932","",""
"MCO","MOODYS CORP","COM","615369105","4,467,450","2.2%","24,669,778","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","4,081,666","2.0%","80,937,250","",""
"DAL","DELTA AIR LINES INC DEL","COM NEW","247361702","3,662,525","1.8%","70,910,456","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","3,523,714","1.8%","18,353,635","",""
"LUV","SOUTHWEST AIRLS CO","COM","844741108","2,784,931","1.4%","53,649,213","",""
"GM","GENERAL MTRS CO","COM","37045V100","2,681,205","1.3%","72,269,696","",""
"VRSN","VERISIGN INC","COM","92343E102","2,351,700","1.2%","12,952,745","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","2,093,725","1.0%","38,565,570","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","1,981,103","1.0%","5,710,711","",""
"UAL","UNITED CONTL HLDGS INC","COM","910047109","1,750,265","0.9%","21,938,642","",""
"USG","U S G CORP","COM NEW","903293405","1,688,787","0.8%","39,002,016","",""
"V","VISA INC","COM CL A","92826C839","1,649,750","0.8%","10,562,460","",""
"AAL","AMERICAN AIRLS GROUP INC","COM","02376R102","1,387,912","0.7%","43,700,000","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","1,188,920","0.6%","31,090,985","",""
"MA","MASTERCARD INC","CL A","57636Q104","1,161,888","0.6%","4,934,756","",""
"PNC","PNC FINL SVCS GROUP INC","COM","693475105","1,063,591","0.5%","8,671,054","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","1,049,281","0.5%","4,333,363","",""
"RHT","RED HAT INC","COM","756577102","933,683","0.5%","5,110,471","",""
"AMZN","AMAZON COM INC","COM","023135106","860,637","0.4%","483,300","",""
"MTB","M & T BK CORP","COM","55261F104","845,088","0.4%","5,382,040","",""
"TRV","TRAVELERS COMPANIES INC","COM","89417E109","817,253","0.4%","5,958,391","",""
"SIRI","SIRIUS XM HLDGS INC","COM","82968B103","781,982","0.4%","137,915,729","",""
"TEVA","TEVA PHARMACEUTICAL INDS LTD","SPONSORED ADR","881624209","678,149","0.3%","43,249,295","",""
"SYF","SYNCHRONY FINL","COM","87165B103","663,616","0.3%","20,803,000","",""
"STOR","STORE CAP CORP","COM","862121100","623,826","0.3%","18,621,674","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","611,696","0.3%","24,264,000","",""
"STNE","STONECO LTD","COM CL A","G85158106","582,395","0.3%","14,166,748","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","567,369","0.3%","14,860,360","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","549,413","0.3%","8,438,225","",""
"PSX","PHILLIPS 66","COM","718546104","528,452","0.3%","5,552,715","",""
"GL","TORCHMARK CORP","COM","891027104","520,688","0.3%","6,353,727","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","493,192","0.2%","19,791,000","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","348,882","0.2%","10,758,000","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","177,870","0.1%","7,346,968","",""
"LILA","LIBERTY LATIN AMERICA LTD","COM CL A","G9001E102","52,505","0.0%","2,714,854","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","45,725","0.0%","327,100","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","32,817","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","28,854","0.0%","578,000","",""
"LILAK","LIBERTY LATIN AMERICA LTD","COM CL C","G9001E128","24,974","0.0%","1,284,020","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","6,637","0.0%","59,400","",""
