"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"WFC","WELLS FARGO & CO NEW","COM","949746101","25,583,903","24%","470,292,359","",""
"KO","COCA COLA CO","COM","191216100","16,220,000","15%","400,000,000","",""
"IBM","INTERNATIONAL BUSINESS MACHS","COM","459200101","12,770,201","12%","79,565,115","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","11,843,828","11%","151,610,700","",""
"WMT","WAL MART STORES INC","COM","931142103","4,966,691","4.6%","60,385,293","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","4,325,865","4.0%","52,793,078","",""
"USB","US BANCORP DEL","COM NEW","902973304","3,658,385","3.4%","83,773,390","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","3,134,610","2.9%","38,565,570","",""
"DTV","DIRECTV","COM","25490A309","2,668,181","2.5%","31,353,468","",""
"MCO","MOODYS CORP","COM","615369105","2,560,723","2.4%","24,669,778","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","2,374,349","2.2%","12,631,531","",""
"GM","GENERAL MTRS CO","COM","37045V100","1,537,501","1.4%","41,000,000","",""
"DE","DEERE & CO","COM","244199105","1,517,922","1.4%","17,310,090","",""
"LBRDA","CHARTER COMMUNICATIONS INC D","CL A NEW","16117M305","1,154,631","1.1%","5,979,136","",""
"USG","U S G CORP","COM NEW","903293405","1,041,354","1.0%","39,002,016","",""
"PCP","PRECISION CASTPARTS CORP","COM","740189105","882,166","0.8%","4,200,792","",""
"VRSN","VERISIGN INC","COM","92343E102","869,605","0.8%","12,985,000","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","832,180","0.8%","20,680,420","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","729,495","0.7%","15,000,928","",""
"MTB","M & T BK CORP","COM","55261F104","683,519","0.6%","5,382,040","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","656,483","0.6%","4,333,363","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","653,863","0.6%","22,354,294","",""
"V","VISA INC","COM CL A","92826C839","646,588","0.6%","9,885,160","",""
"PSX","PHILLIPS 66","COM","718546104","589,457","0.6%","7,499,450","",""
"VIAB","VIACOM INC NEW","CL B","92553P201","564,505","0.5%","8,265,079","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","532,344","0.5%","10,342,793","",""
"CBI","CHICAGO BRIDGE & IRON CO N V","N Y REGISTRY SH","167250109","527,137","0.5%","10,701,110","",""
"WBC","WABCO HLDGS INC","COM","92927K102","474,709","0.4%","3,863,195","",""
"MA","MASTERCARD INC","CL A","57636Q104","451,799","0.4%","5,229,756","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","365,952","0.3%","7,346,968","",""
"GL","TORCHMARK CORP","COM","891027104","348,947","0.3%","6,353,727","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","324,112","0.3%","8,438,225","",""
"FWONK","LIBERTY MEDIA CORP DELAWARE","COM SER C","531229300","305,600","0.3%","8,000,000","",""
"GE","GENERAL ELECTRIC CO","COM","369604103","262,628","0.2%","10,585,502","",""
"TFCFA","TWENTY FIRST CENTY FOX INC","CL A","90130A101","210,759","0.2%","6,228,097","",""
"SNY","SANOFI","SPONSORED ADR","80105N105","193,107","0.2%","3,905,875","",""
"","LIBERTY MEDIA CORP DELAWARE","CL A","531229102","154,200","0.1%","4,000,000","",""
"GHC","GRAHAM HLDGS CO","COM","384637104","112,914","0.1%","107,575","",""
"VRSK","VERISK ANALYTICS INC","CL A","92345Y106","111,629","0.1%","1,563,434","",""
"NOV","NATIONAL OILWELL VARCO INC","COM","637071101","98,925","0.1%","1,978,895","",""
"","MEDIA GEN INC NEW","COM","58441K100","76,616","0.1%","4,646,220","",""
"DNOW","NOW INC","COM","67011P100","39,506","0.0%","1,825,569","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","32,906","0.0%","327,100","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","20,860","0.0%","578,000","",""
"KRFT","KRAFT FOODS GROUP INC","COM","50076Q106","16,784","0.0%","192,666","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","5,758","0.0%","59,400","",""
"LEE","LEE ENTERPRISES INC","COM","523768109","282","0.0%","88,863","",""
