"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"KHC","KRAFT HEINZ CO","COM","500754106","25,581,871","20%","325,634,818","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","23,198,499","18%","479,704,270","",""
"KO","COCA COLA CO","COM","191216100","18,556,000","14%","400,000,000","",""
"IBM","INTERNATIONAL BUSINESS MACHS","COM","459200101","12,302,631","9.6%","81,232,303","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","9,308,898","7.2%","151,610,700","",""
"PSX","PHILLIPS 66","COM","718546104","6,541,939","5.1%","75,550,745","",""
"WMT","WAL MART STORES INC","COM","931142103","3,783,104","2.9%","55,235,863","",""
"USB","US BANCORP DEL","COM NEW","902973304","3,452,714","2.7%","85,063,167","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","2,829,941","2.2%","38,565,570","",""
"MCO","MOODYS CORP","COM","615369105","2,382,113","1.9%","24,669,778","",""
"LBRDA","CHARTER COMMUNICATIONS INC D","CL A NEW","16117M305","2,090,455","1.6%","10,326,803","",""
"DE","DEERE & CO","COM","244199105","1,792,404","1.4%","23,280,994","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","1,720,425","1.3%","10,959,519","",""
"GM","GENERAL MTRS CO","COM","37045V100","1,571,500","1.2%","50,000,000","",""
"VRSN","VERISIGN INC","COM","92343E102","1,149,692","0.9%","12,985,000","",""
"AAPL","APPLE INC","COM","037833100","1,069,382","0.8%","9,811,747","",""
"USG","U S G CORP","COM NEW","903293405","967,640","0.8%","39,002,016","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","834,299","0.6%","30,000,000","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","811,250","0.6%","15,000,928","",""
"V","VISA INC","COM CL A","92826C839","783,091","0.6%","10,239,160","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","767,066","0.6%","20,827,212","",""
"FWONK","LIBERTY MEDIA CORP DELAWARE","COM SER C","531229300","761,800","0.6%","20,000,000","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","682,851","0.5%","4,333,363","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","681,061","0.5%","23,324,000","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","599,732","0.5%","15,577,436","",""
"MTB","M & T BK CORP","COM","55261F104","597,406","0.5%","5,382,040","",""
"KMI","KINDER MORGAN INC DEL","COM","49456B101","473,889","0.4%","26,533,525","",""
"MA","MASTERCARD INC","CL A","57636Q104","466,334","0.4%","4,934,756","",""
"","LIBERTY MEDIA CORP DELAWARE","CL A","531229102","386,300","0.3%","10,000,000","",""
"WBC","WABCO HLDGS INC","COM","92927K102","346,110","0.3%","3,237,094","",""
"GL","TORCHMARK CORP","COM","891027104","344,118","0.3%","6,353,727","",""
"GE","GENERAL ELECTRIC CO","COM","369604103","336,514","0.3%","10,585,502","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","327,656","0.3%","8,438,225","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","275,952","0.2%","7,346,968","",""
"TFCFA","TWENTY FIRST CENTY FOX INC","CL A","90130A101","249,578","0.2%","8,951,869","",""
"SNY","SANOFI","SPONSORED ADR","80105N105","156,859","0.1%","3,905,875","",""
"VRSK","VERISK ANALYTICS INC","CL A","92345Y106","124,950","0.1%","1,563,434","",""
"","MEDIA GEN INC NEW","COM","58441K100","56,617","0.0%","3,471,309","",""
"GHC","GRAHAM HLDGS CO","COM","384637104","51,636","0.0%","107,575","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","35,392","0.0%","327,100","",""
"DNOW","NOW INC","COM","67011P100","32,349","0.0%","1,825,569","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","25,961","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","23,189","0.0%","578,000","",""
"LILA","LIBERTY GLOBAL PLC","LILAC SHS CL A","G5480U138","18,131","0.0%","517,139","",""
"LILAK","LIBERTY GLOBAL PLC","LILAC SHS CL C","G5480U153","13,915","0.0%","367,348","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","6,265","0.0%","59,400","",""
"LEE","LEE ENTERPRISES INC","COM","523768109","160","0.0%","88,863","",""
