Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
WFC,WELLS FARGO & CO NEW,COM,949746101,"24,039,574",22%,"463,458,123",,
KO,COCA COLA CO,COM,191216100,"17,064,001",16%,"400,000,000",,
IBM,INTERNATIONAL BUSINESS MACHS,COM,459200101,"13,378,840",12%,"70,478,012",,
AXP,AMERICAN EXPRESS CO,COM,25816109,"13,272,002",12%,"151,610,700",,
WMT,WAL MART STORES INC,COM,931142103,"4,617,663",4.30%,"60,385,293",,
PG,PROCTER & GAMBLE CO,COM,742718109,"4,420,893",4.10%,"52,793,078",,
XOM,EXXON MOBIL CORP,COM,30231G102,"3,868,243",3.60%,"41,129,643",,
USB,US BANCORP DEL,COM NEW,902973304,"3,350,353",3.10%,"80,094,497",,
DVA,DAVITA HEALTHCARE PARTNERS I,COM,23918K108,"2,751,611",2.60%,"37,621,152",,
DTV,DIRECTV,COM,25490A309,"2,595,600",2.40%,"30,000,000",,
MCO,MOODYS CORP,COM,615369105,"2,331,294",2.20%,"24,669,778",,
GS,GOLDMAN SACHS GROUP INC,COM,38141G104,"2,318,769",2.20%,"12,631,531",,
GM,GENERAL MTRS CO,COM,37045V100,"1,277,600",1.20%,"40,000,000",,
USG,U S G CORP,COM NEW,903293405,"1,072,166",1.00%,"39,002,016",,
BK,BANK OF NEW YORK MELLON CORP,COM,64058100,"905,413",0.80%,"23,377,603",,
VZ,VERIZON COMMUNICATIONS INC,COM,92343V104,"749,897",0.70%,"15,000,928",,
LBRDA,CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,"749,296",0.70%,"4,950,096",,
VRSN,VERISIGN INC,COM,9.23E+106,"715,733",0.70%,"12,985,000",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"667,970",0.60%,"18,477,730",,
MTB,M & T BK CORP,COM,55261F104,"663,552",0.60%,"5,382,040",,
CBI,CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,"619,059",0.60%,"10,701,110",,
VIAB,VIACOM INC NEW,CL B,92553P201,"593,069",0.60%,"7,708,200",,
COST,COSTCO WHSL CORP NEW,COM,22160K105,"543,057",0.50%,"4,333,363",,
PSX,PHILLIPS 66,COM,718546104,"504,317",0.50%,"6,202,400",,
PCP,PRECISION CASTPARTS CORP,COM,740189105,"493,237",0.50%,"2,082,222",,
NOV,NATIONAL OILWELL VARCO INC,COM,637071101,"485,698",0.50%,"6,382,360",,
V,VISA INC,COM CL A,92826C839,"457,954",0.40%,"2,146,290",,
LBTYA,LIBERTY GLOBAL PLC,SHS CL A,G5480U104,"442,459",0.40%,"10,401,007",,
FWONK,LIBERTY MEDIA CORP DELAWARE,COM SER C,531229300,"375,920",0.30%,"8,000,000",,
WBC,WABCO HLDGS INC,COM,92927K102,"370,742",0.30%,"4,076,325",,
MA,MASTERCARD INC,CL A,57636Q104,"348,562",0.30%,"4,715,400",,
GL,TORCHMARK CORP,COM,891027104,"332,745",0.30%,"6,353,727",,
LBTYK,LIBERTY GLOBAL PLC,SHS CL C,G5480U120,"301,336",0.30%,"7,346,968",,
GE,GENERAL ELECTRIC CO,COM,369604103,"271,200",0.30%,"10,585,502",,
SNY,SANOFI,SPONSORED ADR,80105N105,"220,410",0.20%,"3,905,875",,
,LIBERTY MEDIA CORP DELAWARE,CL A,531229102,"188,720",0.20%,"4,000,000",,
VRSK,VERISK ANALYTICS INC,CL A,92345Y106,"95,197",0.10%,"1,563,434",,
GHC,GRAHAM HLDGS CO,COM,384637104,"75,259",0.10%,"107,575",,
MEG,MEDIA GEN INC,CL A,584404107,"60,912",0.10%,"4,646,220",,
DNOW,NOW INC,COM,67011P100,"55,515",0.10%,"1,825,569",,
COP,CONOCOPHILLIPS,COM,20825C104,"36,117",0.00%,"471,994",,
JNJ,JOHNSON & JOHNSON,COM,478160104,"34,866",0.00%,"327,100",,
ESRX,EXPRESS SCRIPTS HLDG CO,COM,30219G108,"31,747",0.00%,"449,489",,
MDLZ,MONDELEZ INTL INC,CL A,609207105,"19,805",0.00%,"578,000",,
KRFT,KRAFT FOODS GROUP INC,COM,50076Q106,"10,866",0.00%,"192,666",,
UPS,UNITED PARCEL SERVICE INC,CL B,911312106,"5,838",0.00%,"59,400",,
LEE,LEE ENTERPRISES INC,COM,523768109,300,0.00%,"88,863",,
DE,DEERE & CO,COM,244199105,"620,451",100%,"7,567,397",,
