"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"KHC","KRAFT HEINZ CO","COM","500754106","28,434,432","19%","325,634,818","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","26,436,503","18%","479,704,270","",""
"KO","COCA COLA CO","COM","191216100","16,584,000","11%","400,000,000","",""
"IBM","INTERNATIONAL BUSINESS MACHS","COM","459200101","13,483,751","9.1%","81,232,303","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","11,231,321","7.6%","151,610,700","",""
"PSX","PHILLIPS 66","COM","718546104","6,972,414","4.7%","80,689,892","",""
"AAPL","APPLE INC","COM","037833100","6,643,394","4.5%","57,359,652","",""
"USB","US BANCORP DEL","COM NEW","902973304","4,369,696","3.0%","85,063,167","",""
"DAL","DELTA AIR LINES INC DEL","COM NEW","247361702","2,952,679","2.0%","60,025,995","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","2,718,970","1.8%","9,443,491","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","2,624,257","1.8%","10,959,519","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","2,475,910","1.7%","38,565,570","",""
"MCO","MOODYS CORP","COM","615369105","2,325,620","1.6%","24,669,778","",""
"LUV","SOUTHWEST AIRLS CO","COM","844741108","2,153,276","1.5%","43,203,775","",""
"AAL","AMERICAN AIRLS GROUP INC","COM","02376R102","2,126,489","1.4%","45,544,854","",""
"UAL","UNITED CONTL HLDGS INC","COM","910047109","2,109,975","1.4%","28,951,353","",""
"GM","GENERAL MTRS CO","COM","37045V100","1,741,999","1.2%","50,000,000","",""
"USG","U S G CORP","COM NEW","903293405","1,126,378","0.8%","39,002,016","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","1,026,818","0.7%","21,671,969","",""
"VRSN","VERISIGN INC","COM","92343E102","985,315","0.7%","12,952,745","",""
"MON","MOSANTO CO NEW","COM","61166W101","846,076","0.6%","8,041,784","",""
"MTB","M & T BK CORP","COM","55261F104","841,913","0.6%","5,382,040","",""
"V","VISA INC","COM CL A","92826C839","824,083","0.6%","10,562,460","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","754,249","0.5%","22,236,109","",""
"SIRI","SIRIUS XM HLDGS INC","COM","82968B103","741,547","0.5%","166,639,941","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","693,815","0.5%","4,333,363","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","634,413","0.4%","23,324,000","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","617,334","0.4%","20,180,897","",""
"MA","MASTERCARD INC","CL A","57636Q104","509,514","0.3%","4,934,756","",""
"GL","TORCHMARK CORP","COM","891027104","468,651","0.3%","6,353,727","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","402,166","0.3%","8,438,225","",""
"WBC","WABCO HLDGS INC","COM","92927K102","357,555","0.2%","3,368,394","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","347,230","0.2%","10,058,800","",""
"GE","GENERAL ELECTRIC CO","COM","369604103","334,501","0.2%","10,585,502","",""
"TFCFA","TWENTY FIRST CENTY FOX INC","CL A","90130A101","251,011","0.2%","8,951,869","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","218,205","0.1%","7,346,968","",""
"SNY","SANOFI","SPONSORED ADR","80105N105","157,953","0.1%","3,905,875","",""
"VRSK","VERISK ANALYTICS INC","CL A","92345Y106","126,904","0.1%","1,563,434","",""
"WMT","WAL MART STORES INC","COM","931142103","96,320","0.1%","1,393,513","",""
"LILA","LIBERTY GLOBAL PLC","LILAC SHS CL A","G5480U138","59,618","0.0%","2,714,854","",""
"GHC","GRAHAM HLDGS CO","COM","384637104","55,073","0.0%","107,575","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","37,685","0.0%","327,100","",""
"LILAK","LIBERTY GLOBAL PLC","LILAC SHS CL C","G5480U153","27,183","0.0%","1,284,020","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","26,519","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","25,623","0.0%","578,000","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","6,810","0.0%","59,400","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","50","0.0%","928","",""
