"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"WFC","WELLS FARGO & CO NEW","COM","949746101","25,602,410","14%","464,232,268","",""
"KHC","KRAFT HEINZ CO","COM","500754106","25,252,980","14%","325,634,818","",""
"AAPL","APPLE INC","COM","037833100","20,666,379","12%","134,092,782","",""
"KO","COCA COLA CO","COM","191216100","18,004,001","10%","400,000,000","",""
"BAC","BANK AMER CORP","COM","060505104","17,205,859","9.7%","679,000,000","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","13,714,704","7.7%","151,610,700","",""
"PSX","PHILLIPS 66","COM","718546104","7,392,000","4.2%","80,689,892","",""
"IBM","INTERNATIONAL BUSINESS MACHS","COM","459200101","5,371,833","3.0%","37,026,698","",""
"USB","US BANCORP DEL","COM NEW","902973304","4,558,535","2.6%","85,063,167","",""
"MCO","MOODYS CORP","COM","615369105","3,434,280","1.9%","24,669,778","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","3,085,214","1.7%","8,489,391","",""
"LUV","SOUTHWEST AIRLS CO","COM","844741108","2,667,976","1.5%","47,659,456","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","2,663,173","1.5%","50,229,588","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","2,599,488","1.5%","10,959,519","",""
"DAL","DELTA AIR LINES INC DEL","COM NEW","247361702","2,560,983","1.4%","53,110,395","",""
"GM","GENERAL MTRS CO","COM","37045V100","2,422,799","1.4%","60,000,000","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","2,290,410","1.3%","38,565,570","",""
"AAL","AMERICAN AIRLS GROUP INC","COM","02376R102","2,232,031","1.3%","47,000,000","",""
"UAL","UNITED CONTL HLDGS INC","COM","910047109","1,717,519","1.0%","28,211,563","",""
"VRSN","VERISIGN INC","COM","92343E102","1,378,042","0.8%","12,952,745","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","1,301,779","0.7%","31,090,985","",""
"USG","U S G CORP","COM NEW","903293405","1,273,416","0.7%","39,002,016","",""
"V","VISA INC","COM CL A","92826C839","1,111,593","0.6%","10,562,460","",""
"MON","MOSANTO CO NEW","COM","61166W101","1,063,219","0.6%","8,873,469","",""
"MTB","M & T BK CORP","COM","55261F104","866,724","0.5%","5,382,040","",""
"SIRI","SIRIUS XM HLDGS INC","COM","82968B103","761,295","0.4%","137,915,729","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","711,928","0.4%","4,333,363","",""
"MA","MASTERCARD INC","CL A","57636Q104","696,788","0.4%","4,934,756","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","684,334","0.4%","20,180,897","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","674,530","0.4%","23,324,000","",""
"SYF","SYNCHRONY FINL","COM","87165B103","645,933","0.4%","20,803,000","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","622,649","0.4%","14,860,360","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","539,034","0.3%","8,438,225","",""
"GL","TORCHMARK CORP","COM","891027104","508,871","0.3%","6,353,727","",""
"STOR","STORE CAP CORP","COM","862121100","463,121","0.3%","18,621,674","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","240,246","0.1%","7,346,968","",""
"SNY","SANOFI","SPONSORED ADR","80105N105","194,474","0.1%","3,905,875","",""
"VRSK","VERISK ANALYTICS INC","CL A","92345Y106","130,062","0.1%","1,563,434","",""
"WMT","WAL MART STORES INC","COM","931142103","108,889","0.1%","1,393,513","",""
"LILA","LIBERTY GLOBAL PLC","LILAC SHS CL A","G5480U138","64,505","0.0%","2,714,854","",""
"GHC","GRAHAM HLDGS CO","COM","384637104","62,942","0.0%","107,575","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","42,526","0.0%","327,100","",""
"LILAK","LIBERTY GLOBAL PLC","LILAC SHS CL C","G5480U153","29,918","0.0%","1,284,020","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","28,695","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","23,501","0.0%","578,000","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","7,133","0.0%","59,400","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","46","0.0%","928","",""
