Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
WFC,WELLS FARGO & CO NEW,COM,949746101,"26,449,243",25%,"470,292,359",,
KO,COCA COLA CO,COM,191216100,"15,692,001",15%,"400,000,000",,
IBM,INTERNATIONAL BUSINESS MACHS,COM,459200101,"12,942,062",12%,"79,565,115",,
AXP,AMERICAN EXPRESS CO,COM,25816109,"11,783,184",11%,"151,610,700",,
WMT,WAL MART STORES INC,COM,931142103,"4,283,129",4.00%,"60,385,293",,
PG,PROCTER & GAMBLE CO,COM,742718109,"4,130,531",3.90%,"52,793,078",,
USB,US BANCORP DEL,COM NEW,902973304,"3,691,742",3.40%,"85,063,167",,
DVA,DAVITA HEALTHCARE PARTNERS I,COM,23918K108,"3,064,805",2.90%,"38,565,570",,
DTV,DIRECTV,COM,25490A309,"2,909,288",2.70%,"31,353,468",,
MCO,MOODYS CORP,COM,615369105,"2,663,349",2.50%,"24,669,778",,
GS,GOLDMAN SACHS GROUP INC,COM,38141G104,"2,637,337",2.50%,"12,631,531",,
DE,DEERE & CO,COM,244199105,"1,679,944",1.60%,"17,310,090",,
LBRDA,CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,"1,458,139",1.40%,"8,514,678",,
GM,GENERAL MTRS CO,COM,37045V100,"1,366,530",1.30%,"41,000,000",,
USG,U S G CORP,COM NEW,903293405,"1,083,866",1.00%,"39,002,016",,
BK,BANK OF NEW YORK MELLON CORP,COM,64058100,"867,957",0.80%,"20,680,420",,
PCP,PRECISION CASTPARTS CORP,COM,740189105,"839,612",0.80%,"4,200,792",,
VRSN,VERISIGN INC,COM,9.23E+106,"801,434",0.70%,"12,985,000",,
VZ,VERIZON COMMUNICATIONS INC,COM,92343V104,"699,193",0.70%,"15,000,928",,
MTB,M & T BK CORP,COM,55261F104,"672,379",0.60%,"5,382,040",,
V,VISA INC,COM CL A,92826C839,"663,788",0.60%,"9,885,160",,
AXTA,AXALTA COATING SYS LTD,COM,G0750C108,"661,600",0.60%,"20,000,000",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"615,191",0.60%,"22,354,294",,
COST,COSTCO WHSL CORP NEW,COM,22160K105,"585,264",0.50%,"4,333,363",,
LBTYA,LIBERTY GLOBAL PLC,SHS CL A,G5480U104,"559,234",0.50%,"10,342,793",,
MA,MASTERCARD INC,CL A,57636Q104,"488,878",0.50%,"5,229,756",,
WBC,WABCO HLDGS INC,COM,92927K102,"467,315",0.40%,"3,777,195",,
CBI,CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,"466,719",0.40%,"9,326,921",,
LBTYK,LIBERTY GLOBAL PLC,SHS CL C,G5480U120,"371,977",0.30%,"7,346,968",,
GL,TORCHMARK CORP,COM,891027104,"369,915",0.30%,"6,353,727",,
VIAB,VIACOM INC NEW,CL B,92553P201,"365,004",0.30%,"5,646,721",,
QSR,RESTAURANT BRANDS INTL INC,COM,76131D103,"322,425",0.30%,"8,438,225",,
FWONK,LIBERTY MEDIA CORP DELAWARE,COM SER C,531229300,"287,200",0.30%,"8,000,000",,
GE,GENERAL ELECTRIC CO,COM,369604103,"281,257",0.30%,"10,585,502",,
TFCFA,TWENTY FIRST CENTY FOX INC,CL A,90130A101,"202,693",0.20%,"6,228,097",,
SNY,SANOFI,SPONSORED ADR,80105N105,"193,458",0.20%,"3,905,875",,
,LIBERTY MEDIA CORP DELAWARE,CL A,531229102,"144,160",0.10%,"4,000,000",,
GHC,GRAHAM HLDGS CO,COM,384637104,"115,649",0.10%,"107,575",,
VRSK,VERISK ANALYTICS INC,CL A,92345Y106,"113,755",0.10%,"1,563,434",,
,MEDIA GEN INC NEW,COM,58441K100,"76,756",0.10%,"4,646,220",,
DNOW,NOW INC,COM,67011P100,"36,348",0.00%,"1,825,569",,
JNJ,JOHNSON & JOHNSON,COM,478160104,"31,879",0.00%,"327,100",,
MDLZ,MONDELEZ INTL INC,CL A,609207105,"23,779",0.00%,"578,000",,
KRFT,KRAFT FOODS GROUP INC,COM,50076Q106,"16,404",0.00%,"192,666",,
UPS,UNITED PARCEL SERVICE INC,CL B,911312106,"5,756",0.00%,"59,400",,
LEE,LEE ENTERPRISES INC,COM,523768109,296,0.00%,"88,863",,
PSX,PHILLIPS 66,COM,718546104,"2,392,467",100%,"29,697,948",,
