"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","40,194,658","21%","239,567,633","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","23,925,858","13%","456,513,244","",""
"BAC","BANK AMER CORP","COM","060505104","20,363,209","11%","679,000,000","",""
"KHC","KRAFT HEINZ CO","COM","500754106","20,283,793","11%","325,634,818","",""
"KO","COCA COLA CO","COM","191216100","17,371,999","9.2%","400,000,000","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","14,142,245","7.5%","151,610,700","",""
"USB","US BANCORP DEL","COM NEW","902973304","4,587,811","2.4%","90,847,721","",""
"PSX","PHILLIPS 66","COM","718546104","4,382,575","2.3%","45,689,892","",""
"MCO","MOODYS CORP","COM","615369105","3,979,236","2.1%","24,669,778","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","3,204,724","1.7%","62,191,448","",""
"DAL","DELTA AIR LINES INC DEL","COM NEW","247361702","2,937,781","1.6%","53,599,357","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","2,760,264","1.5%","10,959,519","",""
"LUV","SOUTHWEST AIRLS CO","COM","844741108","2,729,934","1.4%","47,659,456","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","2,559,122","1.4%","8,222,873","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","2,543,014","1.3%","38,565,570","",""
"AAL","AMERICAN AIRLS GROUP INC","COM","02376R102","2,390,159","1.3%","46,000,000","",""
"MON","MOSANTO CO NEW","COM","61166W101","2,213,625","1.2%","18,970,134","",""
"UAL","UNITED CONTL HLDGS INC","COM","910047109","1,924,733","1.0%","27,705,963","",""
"GM","GENERAL MTRS CO","COM","37045V100","1,816,999","1.0%","50,000,000","",""
"USG","U S G CORP","COM NEW","903293405","1,576,461","0.8%","39,002,016","",""
"VRSN","VERISIGN INC","COM","92343E102","1,535,678","0.8%","12,952,745","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","1,270,067","0.7%","31,090,985","",""
"V","VISA INC","COM CL A","92826C839","1,263,481","0.7%","10,562,460","",""
"MTB","M & T BK CORP","COM","55261F104","992,234","0.5%","5,382,040","",""
"MA","MASTERCARD INC","CL A","57636Q104","864,372","0.5%","4,934,756","",""
"SIRI","SIRIUS XM HLDGS INC","COM","82968B103","860,594","0.5%","137,915,729","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","816,536","0.4%","4,333,363","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","704,152","0.4%","23,324,000","",""
"SYF","SYNCHRONY FINL","COM","87165B103","697,524","0.4%","20,803,000","",""
"TEVA","TEVA PHARMACEUTICAL INDS LTD","SPONSORED ADR","881624209","692,824","0.4%","40,539,710","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","610,761","0.3%","14,860,360","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","570,042","0.3%","18,206,408","",""
"GL","TORCHMARK CORP","COM","891027104","534,794","0.3%","6,353,727","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","480,304","0.3%","8,438,225","",""
"STOR","STORE CAP CORP","COM","862121100","462,190","0.2%","18,621,674","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","223,568","0.1%","7,346,968","",""
"SNY","SANOFI","SPONSORED ADR","80105N105","148,337","0.1%","3,701,012","",""
"WMT","WAL MART STORES INC","COM","931142103","123,981","0.1%","1,393,513","",""
"LILA","LIBERTY LATIN AMERICA LTD","COM CL A","G9001E102","52,804","0.0%","2,714,854","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","41,918","0.0%","327,100","",""
"VRSK","VERISK ANALYTICS INC","CL A","92345Y106","29,617","0.0%","284,778","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","25,005","0.0%","315,400","",""
"LILAK","LIBERTY LATIN AMERICA LTD","COM CL C","G9001E128","24,512","0.0%","1,284,020","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","24,120","0.0%","578,000","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","6,217","0.0%","59,400","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","44","0.0%","928","",""
