"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"KHC","KRAFT HEINZ CO","COM","500754106","27,887,366","17%","325,634,818","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","25,931,175","16%","467,987,270","",""
"AAPL","APPLE INC","COM","037833100","18,750,246","12%","130,191,960","",""
"KO","COCA COLA CO","COM","191216100","17,939,999","11%","400,000,000","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","12,771,685","7.9%","151,610,700","",""
"IBM","INTERNATIONAL BUSINESS MACHS","COM","459200101","8,319,845","5.1%","54,084,673","",""
"PSX","PHILLIPS 66","COM","718546104","6,672,247","4.1%","80,689,892","",""
"USB","US BANCORP DEL","COM NEW","902973304","4,416,478","2.7%","85,063,167","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","3,181,040","2.0%","9,443,491","",""
"MCO","MOODYS CORP","COM","615369105","3,001,819","1.9%","24,669,778","",""
"LUV","SOUTHWEST AIRLS CO","COM","844741108","2,961,559","1.8%","47,659,456","",""
"DAL","DELTA AIR LINES INC DEL","COM NEW","247361702","2,854,152","1.8%","53,110,395","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","2,562,715","1.6%","50,229,588","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","2,497,506","1.5%","38,565,570","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","2,431,917","1.5%","10,959,519","",""
"AAL","AMERICAN AIRLS GROUP INC","COM","02376R102","2,365,039","1.5%","47,000,000","",""
"UAL","UNITED CONTL HLDGS INC","COM","910047109","2,122,920","1.3%","28,211,563","",""
"GM","GENERAL MTRS CO","COM","37045V100","2,095,800","1.3%","60,000,000","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","1,296,494","0.8%","31,090,985","",""
"VRSN","VERISIGN INC","COM","92343E102","1,204,088","0.7%","12,952,745","",""
"USG","U S G CORP","COM NEW","903293405","1,131,838","0.7%","39,002,016","",""
"V","VISA INC","COM CL A","92826C839","990,547","0.6%","10,562,460","",""
"MON","MOSANTO CO NEW","COM","61166W101","951,826","0.6%","8,041,784","",""
"MTB","M & T BK CORP","COM","55261F104","871,622","0.5%","5,382,040","",""
"SIRI","SIRIUS XM HLDGS INC","COM","82968B103","754,399","0.5%","137,915,729","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","747,301","0.5%","23,324,000","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","693,035","0.4%","4,333,363","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","648,210","0.4%","20,180,897","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","623,838","0.4%","14,860,360","",""
"MA","MASTERCARD INC","CL A","57636Q104","599,326","0.4%","4,934,756","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","527,727","0.3%","8,438,225","",""
"SYF","SYNCHRONY FINL","COM","87165B103","520,747","0.3%","17,463,000","",""
"GL","TORCHMARK CORP","COM","891027104","486,059","0.3%","6,353,727","",""
"STOR","STORE CAP CORP","COM","862121100","418,057","0.3%","18,621,674","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","229,078","0.1%","7,346,968","",""
"SNY","SANOFI","SPONSORED ADR","80105N105","187,130","0.1%","3,905,875","",""
"VRSK","VERISK ANALYTICS INC","CL A","92345Y106","131,907","0.1%","1,563,434","",""
"WMT","WAL MART STORES INC","COM","931142103","105,461","0.1%","1,393,513","",""
"GHC","GRAHAM HLDGS CO","COM","384637104","64,507","0.0%","107,575","",""
"LILA","LIBERTY GLOBAL PLC","LILAC SHS CL A","G5480U138","59,102","0.0%","2,714,854","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","43,272","0.0%","327,100","",""
"LILAK","LIBERTY GLOBAL PLC","LILAC SHS CL C","G5480U153","27,491","0.0%","1,284,020","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","27,487","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","24,964","0.0%","578,000","",""
"WBC","WABCO HLDGS INC","COM","92927K102","8,058","0.0%","63,195","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","6,569","0.0%","59,400","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","41","0.0%","928","",""
