"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","55,732,400","26%","248,838,679","",""
"BAC","BANK AMER CORP","COM","060505104","27,047,843","13%","927,248,600","",""
"KO","COCA COLA CO","COM","191216100","21,776,000","10%","400,000,000","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","19,084,935","8.9%","378,369,018","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","17,932,512","8.4%","151,610,700","",""
"KHC","KRAFT HEINZ CO","COM","500754106","9,096,609","4.2%","325,634,818","",""
"USB","US BANCORP DEL","COM NEW","902973304","7,330,315","3.4%","132,459,618","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","7,004,312","3.3%","59,514,932","",""
"MCO","MOODYS CORP","COM","615369105","5,053,111","2.4%","24,669,778","",""
"DAL","DELTA AIR LINES INC DEL","COM NEW","247361702","4,084,442","1.9%","70,910,456","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","3,803,424","1.8%","18,353,635","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","3,659,172","1.7%","80,937,250","",""
"LUV","SOUTHWEST AIRLS CO","COM","844741108","2,897,595","1.3%","53,649,213","",""
"GM","GENERAL MTRS CO","COM","37045V100","2,708,669","1.3%","72,269,696","",""
"VRSN","VERISIGN INC","COM","92343E102","2,443,276","1.1%","12,952,745","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","2,236,414","1.0%","5,426,609","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","2,200,937","1.0%","38,565,570","",""
"UAL","UNITED CONTL HLDGS INC","COM","910047109","1,939,595","0.9%","21,938,642","",""
"V","VISA INC","COM CL A","92826C839","1,816,849","0.8%","10,562,460","",""
"MA","MASTERCARD INC","CL A","57636Q104","1,340,132","0.6%","4,934,756","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","1,304,578","0.6%","31,090,985","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","1,248,485","0.6%","4,333,363","",""
"PNC","PNC FINL SVCS GROUP INC","COM","693475105","1,215,335","0.6%","8,671,054","",""
"AAL","AMERICAN AIRLS GROUP INC","COM","02376R102","1,178,589","0.5%","43,700,000","",""
"AMZN","AMAZON COM INC","COM","023135106","932,705","0.4%","537,300","",""
"TRV","TRAVELERS COMPANIES INC","COM","89417E109","885,953","0.4%","5,958,391","",""
"SIRI","SIRIUS XM HLDGS INC","COM","82968B103","852,404","0.4%","136,275,729","",""
"MTB","M & T BK CORP","COM","55261F104","850,202","0.4%","5,382,040","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","731,560","0.3%","24,264,000","",""
"SYF","SYNCHRONY FINL","COM","87165B103","709,175","0.3%","20,803,000","",""
"STOR","STORE CAP CORP","COM","862121100","696,637","0.3%","18,621,674","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","617,744","0.3%","14,860,360","",""
"GL","GLOBE LIFE INC","COM","37959E102","608,433","0.3%","6,353,727","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","600,295","0.3%","8,438,225","",""
"PSX","PHILLIPS 66","COM","718546104","530,702","0.2%","5,182,637","",""
"STNE","STONECO LTD","COM CL A","G85158106","492,719","0.2%","14,166,748","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","489,827","0.2%","19,791,000","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","339,738","0.2%","10,758,000","",""
"OXY","OCCIDENTAL PETE CORP","COM","674599105","332,079","0.2%","7,467,508","",""
"TEVA","TEVA PHARMACEUTICAL INDS LTD","SPONSORED ADR","881624209","297,555","0.1%","43,249,295","",""
"RH","RH","COM","74967X103","206,336","0.1%","1,207,844","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","174,784","0.1%","7,346,968","",""
"LILA","LIBERTY LATIN AMERICA LTD","COM CL A","G9001E102","46,343","0.0%","2,714,854","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","42,320","0.0%","327,100","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","39,229","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","31,975","0.0%","578,000","",""
"LILAK","LIBERTY LATIN AMERICA LTD","COM CL C","G9001E128","21,950","0.0%","1,284,020","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","7,117","0.0%","59,400","",""
