"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","71,989,933","30%","245,155,566","",""
"BAC","BANK AMER CORP","COM","060505104","32,578,803","14%","925,008,600","",""
"KO","COCA COLA CO","COM","191216100","22,140,000","9.1%","400,000,000","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","18,874,016","7.8%","151,610,700","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","17,388,855","7.2%","323,212,918","",""
"KHC","KRAFT HEINZ CO","COM","500754106","10,462,647","4.3%","325,634,818","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","8,296,382","3.4%","59,514,932","",""
"USB","US BANCORP DEL","COM NEW","902973304","7,853,532","3.2%","132,459,618","",""
"MCO","MOODYS CORP","COM","615369105","5,856,852","2.4%","24,669,778","",""
"DAL","DELTA AIR LINES INC DEL","COM NEW","247361702","4,146,844","1.7%","70,910,456","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","4,014,575","1.7%","79,765,057","",""
"LUV","SOUTHWEST AIRLS CO","COM","844741108","2,895,985","1.2%","53,649,213","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","2,893,575","1.2%","38,565,570","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","2,760,252","1.1%","12,004,751","",""
"GM","GENERAL MTRS CO","COM","37045V100","2,745,000","1.1%","75,000,000","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","2,632,339","1.1%","5,426,609","",""
"VRSN","VERISIGN INC","COM","92343E102","2,495,735","1.0%","12,952,745","",""
"V","VISA INC","COM CL A","92826C839","1,984,686","0.8%","10,562,460","",""
"UAL","UNITED CONTL HLDGS INC","COM","910047109","1,932,575","0.8%","21,938,642","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","1,496,721","0.6%","31,090,985","",""
"MA","MASTERCARD INC","CL A","57636Q104","1,473,469","0.6%","4,934,756","",""
"PNC","PNC FINL SVCS GROUP INC","COM","693475105","1,384,160","0.6%","8,671,054","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","1,273,662","0.5%","4,333,363","",""
"AAL","AMERICAN AIRLS GROUP INC","COM","02376R102","1,218,900","0.5%","42,500,000","",""
"AMZN","AMAZON COM INC","COM","023135106","992,844","0.4%","537,300","",""
"SIRI","SIRIUS XM HLDGS INC","COM","82968B103","974,372","0.4%","136,275,729","",""
"MTB","M & T BK CORP","COM","55261F104","913,602","0.4%","5,382,040","",""
"OXY","OCCIDENTAL PETE CORP","COM","674599105","780,231","0.3%","18,933,054","",""
"SYF","SYNCHRONY FINL","COM","87165B103","749,116","0.3%","20,803,000","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","737,626","0.3%","24,264,000","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","718,350","0.3%","14,860,360","",""
"STOR","STORE CAP CORP","COM","862121100","693,471","0.3%","18,621,674","",""
"GL","GLOBE LIFE INC","COM","37959E102","668,730","0.3%","6,353,727","",""
"STNE","STONECO LTD","COM CL A","G85158106","565,112","0.2%","14,166,748","",""
"KR","KROGER CO","COM","501044101","549,073","0.2%","18,940,079","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","538,106","0.2%","8,438,225","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","492,624","0.2%","15,019,031","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","450,047","0.2%","19,791,000","",""
"TEVA","TEVA PHARMACEUTICAL INDS LTD","SPONSORED ADR","881624209","423,843","0.2%","43,249,295","",""
"RH","RH","COM","74967X103","364,732","0.2%","1,708,348","",""
"BIIB","BIOGEN INC","COM","09062X103","192,414","0.1%","648,447","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","160,127","0.1%","7,346,968","",""
"LILA","LIBERTY LATIN AMERICA LTD","COM CL A","G9001E102","52,397","0.0%","2,714,854","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","47,714","0.0%","327,100","",""
"TRV","TRAVELERS COMPANIES INC","COM","89417E109","42,780","0.0%","312,379","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","39,393","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","31,836","0.0%","578,000","",""
"PSX","PHILLIPS 66","COM","718546104","25,339","0.0%","227,436","",""
"LILAK","LIBERTY LATIN AMERICA LTD","COM CL C","G9001E128","24,987","0.0%","1,284,020","",""
"VOO","VANGUARD INDEX FDS","S&P 500 ETF SHS","922908363","12,719","0.0%","43,000","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","12,681","0.0%","39,400","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","6,953","0.0%","59,400","",""
