,Sym,Value ($000)
2013-12-01,FFIV,5258.0
2013-12-01,MUR,5220.0
2013-12-01,HES,5138.0
2013-12-01,TIF,5134.0
2013-12-01,FNV.TO,5102.0
2013-12-01,NTAP,4968.0
2013-12-01,HFC,4891.0
2013-12-01,EXPD,4849.0
2013-12-01,NVDA,4814.0
2013-12-01,EQIX,4798.0
2013-12-01,OVV,4719.0
2013-12-01,PXD,4712.0
2013-12-01,EGO,4661.0
2013-12-01,IP,4590.0
2013-12-01,MRO,4536.0
2013-12-01,AGN,4523.0
2013-12-01,NBL,4397.0
2013-12-01,DNR,4347.0
2013-12-01,KMX,4326.0
2013-12-01,TJX,4325.0
2013-12-01,MCO,4261.0
2013-12-01,TLM,4218.0
2013-12-01,AU,4177.0
2013-12-01,PTR,4170.0
2013-12-01,SPLS,4075.0
2013-12-01,AZO,4019.0
2013-12-01,T,3959.0
2013-12-01,EMN,3905.0
2013-12-01,MSI,3878.0
2013-12-01,TECK-B.TO,3854.0
2013-12-01,FE,3720.0
2013-12-01,WFM,3695.0
2013-12-01,JNPR,3638.0
2013-12-01,K,3591.0
2013-12-01,TXN,3537.0
2013-12-01,PTEN,3501.0
2013-12-01,LUV,3485.0
2013-12-01,PFE,3382.0
2013-12-01,EXC,3311.0
2013-12-01,GOOGL,3126.0
2013-12-01,VAR,3076.0
2013-12-01,GWW,3016.0
2013-12-01,M,3010.0
2013-12-01,CTRA,2954.0
2013-12-01,GPS,2930.0
2013-12-01,GILD,2900.0
2013-12-01,BA,2872.0
2013-12-01,ANF,2787.0
2013-12-01,CERN,2767.0
2013-12-01,BBBY,2757.0
2013-12-01,LO,2750.0
2013-12-01,BCR,2650.0
2013-12-01,MO,2538.0
2013-12-01,RGLD,2538.0
2013-12-01,RRC,2479.0
2013-12-01,SWN,2470.0
2013-12-01,LLY,2460.0
2013-12-01,AKAM,2445.0
2013-12-01,EQT,2424.0
2013-12-01,CSX,2377.0
2013-12-01,HAL,2365.0
2013-12-01,GFI,2351.0
2013-12-01,NGD.TO,2323.0
2013-12-01,INTC,2130.0
2013-12-01,GLW,2063.0
2013-12-01,FLT,1828.0
2013-12-01,JBL,1809.0
2013-12-01,UNP,1743.0
2013-12-01,SLB,1729.0
2013-12-01,CAH,1713.0
2013-12-01,JWN,1675.0
2013-12-01,ALB,1620.0
2013-12-01,CXO,1588.0
2013-12-01,NSC,1580.0
2013-12-01,CNX,1560.0
2013-12-01,NOV,1544.0
2013-12-01,PEG,1495.0
2013-12-01,BSX,1485.0
2013-12-01,CCO.TO,1481.0
2013-12-01,LBTYA,1460.0
2013-12-01,MJN,1441.0
2013-12-01,BKNG,1395.0
2013-12-01,XRX,1387.0
2013-12-01,UAL,1377.0
2013-12-01,CREE,1369.0
2013-12-01,MA,1313.0
2013-12-01,CIEIQ,1291.0
2013-12-01,STZ,1226.0
2013-12-01,IMG.TO,1196.0
2013-12-01,TRQ,1155.0
2013-12-01,PPG,1141.0
2013-12-01,CELG,1132.0
2013-12-01,SYY,1126.0
2013-12-01,AGI,1055.0
2013-12-01,CBRE,1044.0
2013-12-01,LAMR,1029.0
2013-12-01,KR,1028.0
2013-12-01,CVC,1025.0
2013-12-01,CF,1025.0
2013-12-01,AGO,1021.0
2013-12-01,SYK,1019.0
2013-12-01,UHS,1016.0
2013-12-01,PMCS,1012.0
2013-12-01,CFX,1010.0
2013-12-01,PVH,998.0
2013-12-01,BKS,990.0
2013-12-01,NCR,975.0
2013-12-01,HMY,973.0
2013-12-01,BTU,967.0
2013-12-01,BEAM,960.0
2013-12-01,CACI,960.0
2013-12-01,ULTA,956.0
2013-12-01,WLTW,932.0
2013-12-01,BGC,930.0
2013-12-01,OC,930.0
2013-12-01,TNL,928.0
2013-12-01,CPRT,927.0
2013-12-01,GT,923.0
2013-12-01,URI,920.0
2013-12-01,LPNT,917.0
2013-12-01,THC,915.0
2013-12-01,ROK,914.0
2013-12-01,TGI,913.0
2013-12-01,ACAS,898.0
2013-12-01,HRB,896.0
2013-12-01,ENDP,895.0
2013-12-01,BRCD,891.0
2013-12-01,WOOF,891.0
2013-12-01,CHS,884.0
2013-12-01,DOV,882.0
2013-12-01,LM,880.0
2013-12-01,FLEX,878.0
2013-12-01,ROC,875.0
2013-12-01,AAP,874.0
2013-12-01,ATGE,872.0
2013-12-01,GRA,870.0
2013-12-01,COL,869.0
2013-12-01,CYH,868.0
2013-12-01,CYT,866.0
2013-12-01,INFA,863.0
2013-12-01,SWI,859.0
2013-12-01,AMGN,857.0
2013-12-01,PGR,847.0
2013-12-01,BEAV,840.0
2013-12-01,LNG,840.0
2013-12-01,LXK,840.0
2013-12-01,UFS,833.0
2013-12-01,TWC,827.0
2013-12-01,CE,826.0
2013-12-01,MCRS,820.0
2013-12-01,NUAN,820.0
2013-12-01,CSC,817.0
2013-12-01,ICE,810.0
2013-12-01,NRG,810.0
2013-12-01,HUN,806.0
2013-12-01,URS,801.0
2013-12-01,RSG,791.0
2013-12-01,ASH,757.0
2013-12-01,MSCI,738.0
2013-12-01,WDC,730.0
2013-12-01,NVR,715.0
2013-12-01,OIS,713.0
2013-12-01,TWTC,713.0
2013-12-01,TIBX,692.0
2013-12-01,DOW,680.0
2013-12-01,NBR,679.0
2013-12-01,RAD,670.0
2013-12-01,ZBH,633.0
2013-12-01,QRTEA,503.0
2013-12-01,PAAS.TO,503.0
2013-12-01,BDX,475.0
2013-12-01,V,468.0
2013-12-01,CTSH,458.0
2013-12-01,ALK,454.0
2013-12-01,TEL,443.0
2013-12-01,BHI,421.0
2013-12-01,LNKD,412.0
2013-12-01,ABC,372.0
2013-12-01,TOC,295.0
2013-12-01,TROW,288.0
2013-12-01,SDRLF,283.0
2013-12-01,PSX,274.0
2013-12-01,AEP,202.0
2013-12-01,BRK-B,0.0
2013-12-01,ED,0.0
2013-12-01,PRGO,0.0
2013-12-01,WU,0.0
2013-12-01,EMR,0.0
2013-12-01,PCP,0.0
2013-12-01,CCL,0.0
2013-12-01,ALXN,0.0
2013-12-01,MON,0.0
2013-12-01,UNH,0.0
2013-12-01,CI,0.0
2013-12-01,MHK,0.0
2013-12-01,TMO,0.0
2013-12-01,ADBE,0.0
2013-12-01,DHR,0.0
2013-12-01,DGX,0.0
2013-12-01,MET,0.0
2013-12-01,NOC,0.0
2013-12-01,N,0.0
2013-12-01,PH,0.0
2013-12-01,ALTR,0.0
2013-12-01,WLL,0.0
2013-12-01,CNQR,0.0
2013-12-01,VMW,0.0
2013-12-01,WM,0.0
2013-12-01,LMT,0.0
2013-12-01,RTN,0.0
2013-12-01,PRU,0.0
