,Sym,Value ($000)
2016-03-01,JWN,0.0
2016-03-01,EWW,0.0
2016-03-01,HOUS,0.0
2016-03-01,BABA,0.0
2016-03-01,VFC,0.0
2016-03-01,GIB-A.TO,0.0
2016-03-01,TRI.TO,0.0
2016-03-01,BIDU,0.0
2016-03-01,JD,0.0
2016-03-01,VRTX,0.0
2016-03-01,NTES,0.0
2016-03-01,0A2I.IL,0.0
2016-03-01,OTEX,0.0
2016-03-01,EXPE,0.0
2016-03-01,HOG,0.0
2016-03-01,CVI,0.0
2016-03-01,YUMC,0.0
2016-03-01,TCOM,0.0
2016-03-01,ATHM,0.0
2016-03-01,EDU,0.0
2016-03-01,0A2X.IL,0.0
2016-03-01,JBGS,0.0
2016-03-01,NVT,0.0
2016-03-01,WH,0.0
2016-03-01,LOGM,0.0
2016-03-01,INDA,0.0
2016-03-01,TRN,0.0
2016-03-01,NTRS,0.0
2016-03-01,WP,0.0
2016-03-01,NYT,0.0
2016-03-01,QEP,0.0
2016-03-01,MOMO,0.0
2016-03-01,0LQ0.IL,0.0
2016-03-01,SINA,0.0
2016-03-01,PTC,0.0
2016-03-01,JOBS,0.0
2016-03-01,DPZ,0.0
2016-03-01,LNG,0.0
2016-03-01,YY,0.0
2016-03-01,GDS,0.0
2016-03-01,JACK,0.0
2016-03-01,CL,0.0
2016-03-01,MCHI,0.0
2016-03-01,FXI,0.0
2016-03-01,TRP.TO,0.0
2016-03-01,0A2S.IL,0.0
2016-03-01,APTV,0.0
2016-03-01,ODFL,0.0
2016-03-01,GPC,0.0
2016-03-01,UBER,0.0
2016-03-01,DG,0.0
2016-03-01,DD,0.0
2016-03-01,HCA,0.0
2016-03-01,KHC,0.0
2016-03-01,ZTO,0.0
2016-03-01,AOS,0.0
2016-03-01,UHAL,0.0
2016-03-01,GNTX,0.0
2016-03-01,KNX,0.0
2016-03-01,EQR,0.0
2016-03-01,AVB,0.0
2016-03-01,INFO,0.0
2016-03-01,UAA,0.0
2016-03-01,AXTA,0.0
2016-03-01,0XWG.IL,0.0
2016-03-01,SRE,0.0
2016-03-01,GM,0.0
2016-03-01,DLTR,0.0
2016-03-01,WDAY,0.0
2016-03-01,0A2Z.IL,0.0
2016-03-01,CRI,0.0
2016-03-01,MKL,0.0
2016-03-01,WUBA,0.0
2016-03-01,PEAK,0.0
2016-03-01,POOL,0.0
2016-03-01,ZBH,0.0
2016-03-01,ACGL,0.0
2016-03-01,CDW,0.0
2016-03-01,TPX,0.0
2016-03-01,THO,0.0
2016-03-01,OMC,0.0
2016-03-01,WB,0.0
2016-03-01,LYFT,0.0
2016-03-01,HLT,0.0
2016-03-01,LW,0.0
2016-03-01,FAST,0.0
2016-03-01,SNAP,0.0
2016-03-01,DOX,0.0
2016-03-01,AGR,0.0
2016-03-01,LDOS,0.0
2016-03-01,KBH,0.0
2016-03-01,ANET,0.0
2016-03-01,EVRG,0.0
2016-03-01,MDC,0.0
2016-03-01,R,0.0
2016-03-01,SSW,0.0
2016-03-01,VC,0.0
2016-03-01,NSC,0.0
2016-03-01,NI,0.0
2016-03-01,HCM,0.0
2016-03-01,ADSK,0.0
2016-03-01,FTV,0.0
2016-03-01,BZUN,0.0
2016-03-01,PPC,0.0
2016-03-01,NOAH,0.0
2016-03-01,LANC,0.0
2016-03-01,CW,0.0
2016-03-01,HTZGQ,0.0
2016-03-01,OVV.TO,0.0
2016-03-01,USFD,0.0
2016-03-01,CTB,0.0
2016-03-01,FANG,0.0
2016-03-01,ADNT,0.0
2016-03-01,ZNGA,0.0
2016-03-01,SSRM.TO,0.0
2016-03-01,COTY,0.0
2016-03-01,ODP,0.0
2016-03-01,CCO,0.0
2016-03-01,BEKE,0.0
2016-03-01,VEEV,0.0
2016-03-01,TT,0.0
2016-03-01,LU,0.0
2016-03-01,BILI,0.0
2016-03-01,49BA.SG,0.0
2016-03-01,XPEV,0.0
2016-03-01,SAM,0.0
2016-03-01,AON,0.0
2016-03-01,DAR,0.0
2016-03-01,CHGG,0.0
2016-03-01,BK,0.0
2016-03-01,WST,0.0
2016-03-01,CARR,0.0
2016-03-01,DXCM,0.0
2016-03-01,ZLAB,0.0
2016-03-01,ARMK,0.0
2016-03-01,BFAM,0.0
2016-03-01,CASY,0.0
2016-03-01,STE,0.0
2016-03-01,GH,0.0
2016-03-01,ABMD,0.0
2016-03-01,BYND,0.0
2016-03-01,TXRH,0.0
2016-03-01,FRC,0.0
2016-03-01,TFX,0.0
2016-03-01,MASI,0.0
2016-03-01,FRPT,0.0
2016-03-01,SIVB,0.0
2016-03-01,OLLI,0.0
2016-03-01,HELE,0.0
2016-03-01,LOPE,0.0
2016-03-01,MKTX,0.0
2016-03-01,PFGC,0.0
2016-03-01,PEN,0.0
2016-03-01,HLF,0.0
2016-03-01,CFG,0.0
2016-03-01,LI,0.0
2016-03-01,AMED,0.0
2016-03-01,EQH,0.0
2016-03-01,FIZZ,0.0
2016-03-01,BRO,0.0
2016-03-01,CVNA,0.0
2016-03-01,LPLA,0.0
2016-03-01,SEIC,0.0
2016-03-01,TREX,0.0
2016-03-01,CHE,0.0
2016-03-01,FHN,0.0
2016-03-01,DY8A.F,0.0
2016-03-01,CBSH,0.0
2016-03-01,VOYA,0.0
2016-03-01,ARCC,0.0
2016-03-01,WEED.TO,0.0
2016-03-01,QDEL,0.0
2016-03-01,TFSL,0.0
2016-03-01,FOXA,0.0
2016-03-01,HUYA,0.0
2016-03-01,SNV,0.0
2016-03-01,INOV,0.0
2016-03-01,VRM,0.0
2016-03-01,TDOC,0.0
2016-03-01,BOKF,0.0
2016-03-01,BPOP,0.0
2016-03-01,VLY,0.0
2016-03-01,SHOP,0.0
2016-03-01,OZK,0.0
2016-03-01,SIRI,0.0
2016-03-01,STN.TO,0.0
2016-03-01,PACW,0.0
2016-03-01,CRON.TO,0.0
2016-03-01,KMI,0.0
2016-03-01,BOH,0.0
2016-03-01,WFG.TO,0.0
2016-03-01,217A.SG,0.0
2016-03-01,ASB,0.0
2016-03-01,SUI,0.0
2016-03-01,PANW,0.0
2016-03-01,FHI,0.0
2016-03-01,WAFD,0.0
2016-03-01,INVH,0.0
2016-03-01,ELS,0.0
2016-03-01,MAA,0.0
2016-03-01,BERY,0.0
2016-03-01,ELD.TO,0.0
2016-03-01,TFII.TO,0.0
2016-03-01,CAE.TO,0.0
2016-03-01,CFFN,0.0
2016-03-01,INSP,0.0
2016-03-01,WPC,0.0
2016-03-01,RNG,0.0
2016-03-01,BKR,0.0
2016-03-01,AYX,0.0
2016-03-01,VTRS,0.0
2016-03-01,SHAK,0.0
2016-03-01,CBOE,0.0
2016-03-01,OMCL,0.0
2016-03-01,BBY,0.0
2016-03-01,ALSN,0.0
2016-03-01,DOO.TO,0.0
2016-03-01,RBA,0.0
2016-03-01,HII,0.0
2016-03-01,EQX.TO,0.0
2016-03-01,PAYC,0.0
2016-03-01,CSGP,0.0
2016-03-01,HAIN,0.0
2016-03-01,CACC,0.0
2016-03-01,VER,0.0
2016-03-01,OHI,0.0
2016-03-01,CRWD,0.0
2016-03-01,CIGI.TO,0.0
2016-03-01,CDAY,0.0
2016-03-01,PYPL,0.0
2016-03-01,SRPT,0.0
2016-03-01,HTA,0.0
2016-03-01,WWE,0.0
2016-03-01,DECK,0.0
2016-03-01,EHC,0.0
2016-03-01,HHC,0.0
2016-03-01,MX.TO,0.0
2016-03-01,VET.TO,0.0
2016-03-01,SRC,0.0
2016-03-01,FCN,0.0
2016-03-01,MA,0.0
2016-03-01,NKTR,0.0
2016-03-01,NEPT.TO,0.0
2016-03-01,SEB,0.0
2016-03-01,PRMW.TO,0.0
2016-03-01,CELH,0.0
2016-03-01,ERF.TO,0.0
2016-03-01,CIM,0.0
2016-03-01,TA.TO,0.0
2016-03-01,NG.TO,0.0
2016-03-01,BEST,0.0
2016-03-01,LIN,0.0
2016-03-01,MBB,0.0
2016-03-01,ABNB,0.0
2016-03-01,BZ,0.0
2016-03-01,PODD,0.0
2016-03-01,A,0.0
2016-03-01,CTVA,0.0
2016-03-01,DIDI,0.0
2016-03-01,LEGN,0.0
2016-03-01,HPQ,0.0
2016-03-01,KEYS,0.0
2016-03-01,AMD,0.0
2016-03-01,NET,0.0
2016-03-01,ZS,0.0
2016-03-01,ZBRA,0.0
2016-03-01,IBKR,0.0
2016-03-01,ABBV,0.0
2016-03-01,AVGO,0.0
2016-03-01,DOCS,0.0
2016-03-01,AMH,0.0
2016-03-01,HPE,0.0
2016-03-01,NVST,0.0
2016-03-01,NVCR,0.0
2016-03-01,TNDM,0.0
2016-03-01,UI,0.0
2016-03-01,SAFM,0.0
2016-03-01,SWAV,0.0
2016-03-01,SFM,0.0
2016-03-01,XYL,0.0
2016-03-01,PZZA,0.0
2016-03-01,SI,0.0
2016-03-01,GMED,0.0
2016-03-01,DADA,0.0
2016-03-01,SMPL,0.0
2016-03-01,MRNA,0.0
2016-03-01,SPB,0.0
2016-03-01,U,0.0
2016-03-01,TWNK,0.0
2016-03-01,LSI,0.0
2016-03-01,OLED,0.0
2016-03-01,AMN,0.0
2016-03-01,CBRL,0.0
2016-03-01,CGNX,0.0
2016-03-01,LHCG,0.0
2016-03-01,EVH,0.0
2016-03-01,ICUI,0.0
2016-03-01,MMSI,0.0
2016-03-01,PLTR,0.0
2016-03-01,QFIN,0.0
2016-03-01,WDFC,0.0
2016-03-01,AGL,0.0
2016-03-01,ENSG,0.0
2016-03-01,GRMN,0.0
2016-03-01,IART,0.0
2016-03-01,Z,0.0
2016-03-01,IRTC,0.0
2016-03-01,CERT,0.0
2016-03-01,NUS,0.0
2016-03-01,GHC,0.0
2016-03-01,ACHC,0.0
2016-03-01,COUR,0.0
2016-03-01,PINC,0.0
2016-03-01,ACI,0.0
2016-03-01,FSLR,0.0
2016-03-01,EPC,0.0
2016-03-01,COKE,0.0
2016-03-01,CALM,0.0
2016-03-01,CENTA,0.0
2016-03-01,IR,0.0
2016-03-01,TER,0.0
2016-03-01,STAA,0.0
2016-03-01,DT,0.0
2016-03-01,HUBS,0.0
2016-03-01,LNTH,0.0
2016-03-01,MED,0.0
2016-03-01,LEVI,0.0
2016-03-01,RELX,0.0
2016-03-01,PSMT,0.0
2016-03-01,DELL,0.0
2016-03-01,XPO,0.0
2016-03-01,AZN,0.0
2016-03-01,SDGR,0.0
2016-03-01,GKOS,0.0
2016-03-01,THS,0.0
2016-03-01,NARI,0.0
2016-03-01,MPWR,0.0
2016-03-01,NEOG,0.0
2016-03-01,OSH,0.0
2016-03-01,GDRX,0.0
2016-03-01,HAE,0.0
2016-03-01,JJSF,0.0
2016-03-01,IRBT,0.0
2016-03-01,RUN,0.0
2016-03-01,REYN,0.0
2016-03-01,IPAR,0.0
2016-03-01,ARW,0.0
2016-03-01,CD,0.0
2016-03-01,SKIN,0.0
2016-03-01,GSK,0.0
2016-03-01,ATRC,0.0
2016-03-01,NUVA,0.0
2016-03-01,SNN,0.0
2016-03-01,STRA,0.0
2016-03-01,ENTG,0.0
2016-03-01,BR,0.0
2016-03-01,SKX,0.0
2016-03-01,INCY,0.0
2016-03-01,LRN,0.0
2016-03-01,QRVO,0.0
2016-03-01,SNOW,0.0
2016-03-01,ITGR,0.0
2016-03-01,OKE,0.0
2016-03-01,IPGP,0.0
2016-03-01,WOLF,0.0
2016-03-01,NVRO,0.0
2016-03-01,PHR,0.0
2016-03-01,ELF,0.0
2016-03-01,OLPX,0.0
2016-03-01,WMK,0.0
2016-03-01,IQV,0.0
2016-03-01,BSY,0.0
2016-03-01,IMKTA,0.0
2016-03-01,AXNX,0.0
2016-03-01,GEN,0.0
2016-03-01,HCAT,0.0
2016-03-01,MGPI,0.0
2016-03-01,GWRE,0.0
2016-03-01,API,0.0
2016-03-01,LBRDA,0.0
2016-03-01,NXGN,0.0
2016-03-01,OM,0.0
2016-03-01,CWEN,0.0
2016-03-01,MIDD,0.0
2016-03-01,DUOL,0.0
2016-03-01,PNR,0.0
2016-03-01,FIGS,0.0
2016-03-01,KC,0.0
2016-03-01,SEDG,0.0
2016-03-01,TWOU,0.0
2016-03-01,MSA,0.0
2016-03-01,ONEM,0.0
2016-03-01,BRBR,0.0
2016-03-01,USNA,0.0
2016-03-01,CYRX,0.0
2016-03-01,NVTA,0.0
2016-03-01,MODV,0.0
2016-03-01,RH,0.0
2016-03-01,CWT,0.0
2016-03-01,CRVL,0.0
2016-03-01,AVNS,0.0
2016-03-01,QGEN,0.0
2016-03-01,FND,0.0
2016-03-01,SLP,0.0
2016-03-01,REGI,0.0
2016-03-01,TTWO,0.0
2016-03-01,BIG,0.0
2016-03-01,DASH,0.0
2016-03-01,ARES,0.0
2016-03-01,ADUS,0.0
2016-03-01,AMWL,0.0
2016-03-01,AMEH,0.0
2016-03-01,CUBE,0.0
2016-03-01,HSKA,0.0
2016-03-01,CTLT,0.0
2016-03-01,TDG,0.0
2016-03-01,RUTH,0.0
2016-03-01,SILK,0.0
2016-03-01,TTD,0.0
2016-03-01,MLAB,0.0
2016-03-01,USPH,0.0
2016-03-01,LAD,0.0
2016-03-01,FLGT,0.0
2016-03-01,CMC,0.0
2016-03-01,LAZR,0.0
2016-03-01,PRVA,0.0
2016-03-01,CAR,0.0
2016-03-01,BJRI,0.0
2016-03-01,ITRI,0.0
2016-03-01,EPAM,0.0
2016-03-01,CSTM,0.0
2016-03-01,OPRX,0.0
2016-03-01,VIVO,0.0
2016-03-01,CVGW,0.0
2016-03-01,CNC,0.0
2016-03-01,MDB,0.0
2016-03-01,RPRX,0.0
2016-03-01,CNS,0.0
2016-03-01,LYV,0.0
2016-03-01,AHCO,0.0
2016-03-01,SPWR,0.0
2016-03-01,NFLX,0.0
2016-03-01,STOR,0.0
2016-03-01,BNR,0.0
2016-03-01,SPTN,0.0
2016-03-01,CSTL,0.0
2016-03-01,ATRI,0.0
2016-03-01,TIGO,0.0
2016-03-01,ACCD,0.0
2016-03-01,SII.TO,0.0
2016-03-01,CERS,0.0
2016-03-01,LMAT,0.0
2016-03-01,NTUS,0.0
2016-03-01,CSII,0.0
2016-03-01,BLFS,0.0
2016-03-01,NHC,0.0
2016-03-01,HZNP,0.0
2016-03-01,ZI,0.0
2016-03-01,TDY,0.0
2016-03-01,TIGR,0.0
2016-03-01,ANGO,0.0
2016-03-01,AVTR,0.0
2016-03-01,OCFT,0.0
2016-03-01,HEI,0.0
2016-03-01,AA,0.0
2016-03-01,WMG,0.0
2016-03-01,CC,0.0
2016-03-01,MOH,0.0
2016-03-01,TRU,0.0
2016-03-01,KIDS,0.0
2016-03-01,CCRN,0.0
2016-03-01,NRC,0.0
2016-03-01,TYL,0.0
2016-03-01,LUNG,0.0
2016-03-01,SIBN,0.0
2016-03-01,VIRT,0.0
2016-03-01,VRAY,0.0
2016-03-01,WAL,0.0
2016-03-01,ROKU,0.0
2016-03-01,WT,0.0
2016-03-01,HWM,0.0
2016-03-01,PINS,0.0
2016-03-01,MAC,0.0
2016-03-01,CHWY,0.0
2016-03-01,DKS,0.0
2016-03-01,LAC.TO,0.0
2016-03-01,ETSY,0.0
2016-03-01,RYN,0.0
2016-03-01,CLS.TO,0.0
2016-03-01,JNK,0.0
2016-03-01,GDDY,0.0
2016-03-01,ALKS,0.0
2016-03-01,JYNT,0.0
2016-03-01,ZIMV,0.0
2016-03-01,HSC,0.0
2016-03-01,EXAS,0.0
2016-03-01,AGNC,0.0
2016-03-01,BURL,0.0
2016-03-01,AMC,0.0
2016-03-01,CG.TO,0.0
2016-03-01,HAS,0.0
2016-03-01,GLPI,0.0
2016-03-01,MTN,0.0
2016-03-01,BKD,0.0
2016-03-01,BAH,0.0
2016-03-01,CNO,0.0
2016-03-01,CMP,0.0
2016-03-01,HE,0.0
2016-03-01,RGEN,0.0
2016-03-01,POST,0.0
2016-03-01,OCDX,0.0
2016-03-01,BLDR,0.0
2016-03-01,WTS,0.0
2016-03-01,HBM.TO,0.0
2016-03-01,FIVE,0.0
2016-03-01,TCMD,0.0
2016-03-01,ZTS,0.0
2016-03-01,CABO,0.0
2016-03-01,PTON,0.0
2016-03-01,AXON,0.0
2016-03-01,NBIX,0.0
2016-03-01,TXG,0.0
2016-03-01,DBX,0.0
2016-03-01,DLB,0.0
2016-03-01,SR,0.0
2016-03-01,WEX,0.0
2016-03-01,QS,0.0
2016-03-01,TTEC,0.0
2016-03-01,FDP,0.0
2016-03-01,MAT,0.0
2016-03-01,EEFT,0.0
2016-03-01,ALE,0.0
2016-03-01,TSP,0.0
2016-03-01,USM,0.0
2016-03-01,AVA,0.0
2016-03-01,CDXS,0.0
2016-03-01,EXEL,0.0
2016-03-01,ITT,0.0
2016-03-01,PDM,0.0
2016-03-01,NTLA,0.0
2016-03-01,PII,0.0
2016-03-01,BC,0.0
2016-03-01,SQ,0.0
2016-03-01,SLAB,0.0
2016-03-01,NTNX,0.0
2016-03-01,SPR,0.0
2016-03-01,NCR,0.0
2016-03-01,NVAX,0.0
2016-03-01,TDC,0.0
2016-03-01,RHP,0.0
2016-03-01,NKE,0.0
2016-03-01,IONS,0.0
2016-03-01,WEN,0.0
2016-03-01,SXT,0.0
2016-03-01,UVV,0.0
2016-03-01,TWLO,0.0
2016-03-01,SIX,0.0
2016-03-01,DNLI,0.0
2016-03-01,NTRA,0.0
2016-03-01,ACAD,0.0
2016-03-01,SIL.TO,0.0
2016-03-01,ANGI,0.0
2016-03-01,DENN,0.0
2016-03-01,SPCE,0.0
2016-03-01,LGO.TO,0.0
2016-03-01,BLDP.TO,0.0
2016-03-01,SKLZ,0.0
2016-03-01,HWP,0.0
2016-03-01,TIF,0.0
2016-03-01,AXLL,0.0
2016-03-01,CVC,0.0
2016-03-01,TIBX,0.0
2016-03-01,WOOF,0.0
2016-03-01,BGC,0.0
2016-03-01,ADT,0.0
2016-03-01,TCO,0.0
2016-03-01,ATG,0.0
2016-03-01,AVT,0.0
2016-03-01,DDS,0.0
2016-03-01,COL,0.0
2016-03-01,CHTR,0.0
2016-03-01,GNW,0.0
2016-03-01,H,0.0
2016-03-01,TIME,0.0
2016-03-01,UFS,0.0
2016-03-01,GES,0.0
2016-03-01,CBLAQ,0.0
2016-03-01,ATI,0.0
2016-03-01,SON,0.0
2016-03-01,AXE,0.0
2016-03-01,MUSA,0.0
2016-03-01,PAG,0.0
2016-03-01,ULTA,0.0
2016-03-01,AIV,0.0
2016-03-01,VSM,0.0
2016-03-01,REZI,0.0
2016-03-01,MANH,0.0
2016-03-01,ACM,0.0
2016-03-01,HDS,0.0
2016-03-01,CDK,0.0
2016-03-01,NAV,0.0
2016-03-01,FEYE,0.0
2016-03-01,AMKR,0.0
2016-03-01,TGNA,0.0
2016-03-01,KMT,0.0
2016-03-01,WOR,0.0
2016-03-01,VIAV,0.0
2016-03-01,OLN,0.0
2016-03-01,RMBS,0.0
2016-03-01,GEF,0.0
2016-03-01,SCS,0.0
2016-03-01,MLKN,0.0
2016-03-01,WSO,0.0
2016-03-01,CRS,0.0
2016-03-01,SSYS,0.0
2016-03-01,DDD,0.0
2016-03-01,SGFY,0.0
2016-03-01,OTIS,0.0
2016-03-01,VCRA,0.0
2016-03-01,VOD,0.0
2016-03-01,OKTA,0.0
2016-03-01,JBSS,0.0
2016-03-01,EAR,0.0
2016-03-01,PRDO,0.0
2016-03-01,INGN,0.0
2016-03-01,ALNY,0.0
2016-03-01,COUP,0.0
2016-03-01,TMDX,0.0
2016-03-01,OSUR,0.0
2016-03-01,COLD,0.0
2016-03-01,CONE,0.0
2016-03-01,MPW,0.0
2016-03-01,NXPI,0.0
2016-03-01,AER,0.0
2016-03-01,CVA,0.0
2016-03-01,CLH,0.0
2016-03-01,RAMP,0.0
2016-03-01,WBD,0.0
2016-03-01,LBRDK,0.0
2016-03-01,PDCE,0.0
2016-03-01,LPX,0.0
2016-03-01,SLM,0.0
2016-03-01,DXC,0.0
2016-03-01,NXST,0.0
2016-03-01,STX,0.0
2016-03-01,BBWI,0.0
2016-03-01,EVR,0.0
2016-03-01,CROX,0.0
2016-03-01,KOS,0.0
2016-03-01,ZM,0.0
2016-03-01,SANM,0.0
2016-03-01,ATUS,0.0
2016-03-01,LCID,0.0
2016-03-01,SHOO,0.0
2016-03-01,RCM,0.0
2016-03-01,TROX,0.0
2016-03-01,EXP,0.0
2016-03-01,RDFN,0.0
2016-03-01,GPI,0.0
2016-03-01,ENOV,0.0
2016-03-01,MATX,0.0
2016-03-01,WWW,0.0
2016-03-01,BLMN,0.0
2016-03-01,GTN,0.0
2016-03-01,MTH,0.0
2016-03-01,ABG,0.0
2016-03-01,MLI,0.0
2016-03-01,PRGS,0.0
2016-03-01,SPOT,0.0
2016-03-01,BNTX,0.0
2016-03-01,RIVN,0.0
2016-03-01,TRGP,0.0
2016-03-01,DOCU,0.0
2016-03-01,CUTR,0.0
2016-03-01,NSP,0.0
2016-03-01,UFPI,0.0
2016-03-01,DNA,0.0
2016-03-01,COIN,0.0
2016-03-01,IAC,0.0
2016-03-01,LSTR,0.0
2016-03-01,HOOD,0.0
2016-03-01,VST,0.0
2016-03-01,MRVL,0.0
2016-03-01,VICI,0.0
2016-03-01,PEGA,0.0
2016-03-01,MRTX,0.0
2016-03-01,AUR,0.0
2016-03-01,LFST,0.0
2016-03-01,SABR,0.0
2016-03-01,ANF,0.0
2016-03-01,MYL,0.0
2016-03-01,RDC,0.0
2016-03-01,DISCK,0.0
2016-03-01,KRFT,0.0
2016-03-01,CVD,0.0
2016-03-01,FSL,0.0
2016-03-01,OCR,0.0
2016-03-01,WDR,0.0
2016-03-01,AAL,0.0
2016-03-01,PRE,0.0
2016-03-01,EGN,0.0
2016-03-01,QLGC,0.0
2016-03-01,TECD,0.0
2016-03-01,TDS,0.0
2016-03-01,PLCM,0.0
2016-03-01,GHL,0.0
2016-03-01,EV,0.0
2016-03-01,JHG,0.0
2016-03-01,HXL,0.0
2016-03-01,CLC,0.0
2016-03-01,DOFSQ,0.0
2016-03-01,GNCIQ,0.0
2016-03-01,CSRA,0.0
2016-03-01,LVGO,0.0
2016-03-01,PLAN,0.0
2016-03-01,COHR,0.0
2016-03-01,PCTY,0.0
2016-03-01,COMM,0.0
2016-03-01,W,0.0
2016-03-01,JAZZ,0.0
2016-03-01,AUPH,0.0
2016-03-01,ESTC,0.0
2016-03-01,GOOS.TO,0.0
2016-03-01,NXE.TO,0.0
2016-03-01,DML.TO,0.0
2016-03-01,BJ,0.0
2016-03-01,TSM,0.0
2016-03-01,COOP,0.0
2016-03-01,ADC,0.0
2016-03-01,WERN,0.0
2016-03-01,AR,0.0
2016-03-01,0FUT.IL,0.0
2016-03-01,LITE,0.0
2016-03-01,RUSHA,0.0
2016-03-01,SEAS,0.0
2016-03-01,MTG,0.0
2016-03-01,GSKN.MX,0.0
2016-03-01,NAVI,0.0
2016-03-01,BX,0.0
2016-03-01,GPK,0.0
2016-03-01,EPR,0.0
2016-03-01,MELI,0.0
2016-03-01,HMN,0.0
2016-03-01,CHDN,0.0
2016-03-01,SMTC,0.0
2016-03-01,DK,0.0
2016-03-01,LSXMA,0.0
2016-03-01,FRSH,0.0
2016-03-01,CLVT,0.0
2016-03-01,OPK,0.0
2016-03-01,FRX,0.0
2016-03-01,LO,0.0
2016-03-01,BEAM,0.0
2016-03-01,WLTW,0.0
2016-03-01,TGI,0.0
2016-03-01,ROC,0.0
2016-03-01,TWC,0.0
2016-03-01,TWTC,0.0
2016-03-01,NBR,0.0
2016-03-01,CVG,0.0
2016-03-01,TWX,0.0
2016-03-01,WW,0.0
2016-03-01,NCLH,0.0
2016-03-01,BWXT,0.0
2016-03-01,JBLU,0.0
2016-03-01,MIC,0.0
2016-03-01,BYD,0.0
2016-03-01,PENN,0.0
2016-03-01,SAVE,0.0
2016-03-01,STAY,0.0
2016-03-01,TIVO,0.0
2016-03-01,KELYA,0.0
2016-03-01,DDOG,0.0
2016-03-01,PARA,0.0
2016-03-01,GNRC,0.0
2016-03-01,ENPH,0.0
2016-03-01,ZG,0.0
2016-03-01,ARNA,0.0
2016-03-01,TLRY,0.0
2016-03-01,OGI.TO,0.0
2016-06-01,VWO,2466142.0
2016-06-01,SPY,2141086.0
2016-06-01,EEM,1312271.0
2016-06-01,EWZ,125444.0
2016-06-01,LQD,110161.0
2016-06-01,ABX.TO,45112.0
2016-06-01,IVV,36838.0
2016-06-01,GG,32891.0
2016-06-01,BFH,32768.0
2016-06-01,INTC,32408.0
2016-06-01,GILD,31255.0
2016-06-01,LYB,26279.0
2016-06-01,ABC,25310.0
2016-06-01,AEM,24558.0
2016-06-01,ESRX,23621.0
2016-06-01,SPLS,22736.0
2016-06-01,SU.TO,22320.0
2016-06-01,WPM,19888.0
2016-06-01,PFE,19740.0
2016-06-01,BBBY,19687.0
2016-06-01,JNPR,19589.0
2016-06-01,LUMN,18809.0
2016-06-01,CNQ.TO,16565.0
2016-06-01,MET,16531.0
2016-06-01,RIO,16304.0
2016-06-01,TOL,16271.0
2016-06-01,BP,16114.0
2016-06-01,FDX,16018.0
2016-06-01,BHP,15763.0
2016-06-01,JNJ,15733.0
2016-06-01,CVX,15305.0
2016-06-01,MSFT,15302.0
2016-06-01,XOM,15298.0
2016-06-01,OXY,15180.0
2016-06-01,COP,14979.0
2016-06-01,MRK,14492.0
2016-06-01,PH,14446.0
2016-06-01,DISCA,14335.0
2016-06-01,CVS,14332.0
2016-06-01,URI,14177.0
2016-06-01,MDLZ,13821.0
2016-06-01,BMY,13714.0
2016-06-01,EOG,13603.0
2016-06-01,KSS,13405.0
2016-06-01,IMO.TO,13236.0
2016-06-01,MSI,13077.0
2016-06-01,MCD,12875.0
2016-06-01,PBR,12873.0
2016-06-01,VALPQ,12812.0
2016-06-01,BIIB,12444.0
2016-06-01,M,12176.0
2016-06-01,TXN,12053.0
2016-06-01,ANDV,11950.0
2016-06-01,AAPL,11587.0
2016-06-01,DISH,11381.0
2016-06-01,SBUX,11377.0
2016-06-01,NEM,11352.0
2016-06-01,AMAT,11256.0
2016-06-01,CAH,11201.0
2016-06-01,FL,11063.0
2016-06-01,PEP,10965.0
2016-06-01,LNC,10941.0
2016-06-01,NTAP,10934.0
2016-06-01,CSCO,10558.0
2016-06-01,TGT,10290.0
2016-06-01,YRI.TO,10191.0
2016-06-01,NUE,10178.0
2016-06-01,WU,10032.0
2016-06-01,FFIV,9956.0
2016-06-01,VFC,9955.0
2016-06-01,RCL,9688.0
2016-06-01,MXIM,9595.0
2016-06-01,EMN,9425.0
2016-06-01,FNV.TO,9390.0
2016-06-01,DHI,9089.0
2016-06-01,VLO,8634.0
2016-06-01,PVH,8273.0
2016-06-01,EMR,8258.0
2016-06-01,VMW,8077.0
2016-06-01,APC,7954.0
2016-06-01,AMT,7930.0
2016-06-01,PXD,7757.0
2016-06-01,IVZ,7683.0
2016-06-01,GPS,7635.0
2016-06-01,BA,7462.0
2016-06-01,VALE,7285.0
2016-06-01,PPG,7188.0
2016-06-01,LRCX,6816.0
2016-06-01,UTHR,6789.0
2016-06-01,HYG,6751.0
2016-06-01,DIS,6730.0
2016-06-01,ETN,6707.0
2016-06-01,SWKS,6611.0
2016-06-01,CTSH,6440.0
2016-06-01,PRU,6415.0
2016-06-01,ADBE,6341.0
2016-06-01,SCCO,6340.0
2016-06-01,MCK,6226.0
2016-06-01,APA,6174.0
2016-06-01,IP,6167.0
2016-06-01,DRI,6154.0
2016-06-01,LLY,6100.0
2016-06-01,TEL,6048.0
2016-06-01,CCL,5959.0
2016-06-01,DVA,5874.0
2016-06-01,AMGN,5827.0
2016-06-01,SPGI,5818.0
2016-06-01,MHK,5798.0
2016-06-01,TRP,5798.0
2016-06-01,GD,5792.0
2016-06-01,MLM,5777.0
2016-06-01,CVE.TO,5754.0
2016-06-01,MAS,5737.0
2016-06-01,FTI,5707.0
2016-06-01,YUM,5672.0
